symbol,price,price_change,price_percent_change
HSAI,22.43,6.42,40.1
PAY,30.76,6.08,24.66
GH,40.78,4.94,13.76
XPEV,26.06,3.11,13.55
ZK,31.25,3.53,12.73
LKNCY,31.03,2.99,10.66
RDDT,118.72,11.43,10.65
KC,17.87,1.57,9.63
KFY,68.36,5.84,9.33
OKLO,25.96,2.27,9.59
LUV,30.67,2.49,8.85
TEVA,15.95,1.28,8.76
LITE,62.12,4.71,8.2
GRND,16.5,1.26,8.27
MTN,165.71,12.12,7.89
IAG,5.51,0.39,7.73
QFIN,41.1,2.68,6.96
SARO,28.11,1.82,6.9
CRWD,329.37,20.51,6.64
CRDO,42.1,2.65,6.72
ROOT,136.44,8.53,6.67
SMCI,39.36,2.46,6.67
TXNM,51.01,3.14,6.55
ORLA,7.73,0.48,6.62
LEGN,36.24,2.21,6.49
MDB,192.27,11.95,6.63
AROC,24.18,1.47,6.45
LI,29.29,1.73,6.28
COIN,190.59,11.36,6.34
IMPUY,6.6,0.38,6.11
GEV,287.34,17.21,6.37
BE,24.05,1.43,6.32
ESTC,96.53,5.35,5.87
VRT,82.74,4.72,6.05
NXT,44.26,2.55,6.12
SATS,26.61,1.43,5.68
FTAI,103.29,5.6,5.74
KGS,35.12,1.86,5.58
SMNEY,58.15,3.07,5.57
CORZ,8.46,0.45,5.62
COKE,1292.24,64.64,5.27
TDS,33.93,1.75,5.44
TKAMY,9.47,0.46,5.11
TLN,174.33,8.58,5.18
APP,250.5,12.42,5.22
OR,18.86,0.91,5.07
CDE,5.38,0.25,4.91
IRTC,102.84,4.84,4.94
CRK,18.58,0.91,5.15
JBLU,5.8,0.29,5.17
SM,28.7,1.33,4.86
COHR,65.83,3.02,4.82
IOT,35.7,1.64,4.82
HOOD,37.31,1.68,4.72
CALX,30.79,1.39,4.73
CYBR,327.57,14.77,4.72
PRIM,63.28,2.77,4.58
FUTU,110.89,4.83,4.55
BURBY,13.42,0.57,4.44
NOW,817.34,33.51,4.28
CRS,179.95,7.56,4.38
MTZ,113.22,4.56,4.2
HBM,6.88,0.28,4.24
MMYT,88.51,3.56,4.19
BABA,137.75,5.21,3.93
KGC,11.0,0.44,4.13
NRG,88.3,3.48,4.1
BILI,22.69,0.89,4.06
TWST,38.24,1.53,4.17
XIACY,34.48,1.3,3.92
SPOT,508.65,19.41,3.97
X,36.52,1.38,3.93
FIX,325.56,12.3,3.93
ECG,39.74,1.5,3.94
LMND,33.99,1.29,3.94
PTEN,7.67,0.29,3.93
GWRE,173.38,6.64,3.98
NFLX,898.98,32.3,3.73
CLS,84.29,3.14,3.87
HL,5.34,0.19,3.79
DTM,90.24,3.29,3.78
ZS,202.12,7.43,3.82
BHF,52.49,2.01,3.99
AR,35.99,1.31,3.76
ALAB,64.0,2.3,3.73
SMTC,32.6,1.16,3.69
RRC,37.8,1.34,3.68
RGEN,141.98,4.99,3.64
STRL,115.12,4.04,3.64
HIMS,35.69,1.22,3.54
HMY,11.91,0.4,3.48
PANW,179.9,6.07,3.49
EME,374.81,13.65,3.78
ODD,44.26,1.84,4.34
WRBY,21.01,0.73,3.62
MTDR,46.69,1.67,3.71
FLR,35.57,1.28,3.73
STEP,49.58,1.77,3.7
LIVN,38.24,1.22,3.3
AVGO,191.19,6.74,3.65
LNSTY,36.12,1.22,3.5
MSTR,247.58,8.31,3.47
AGI,23.85,0.8,3.47
FSLR,137.65,4.54,3.41
ATAT,29.76,0.97,3.37
INTA,59.11,1.9,3.32
AS,26.46,0.86,3.36
AEM,100.21,3.18,3.28
ATGE,92.79,2.91,3.23
BEKE,23.17,0.7,3.14
ADMA,17.15,0.53,3.22
EQT,49.07,1.58,3.32
TPG,48.01,1.51,3.25
NTRA,136.82,4.19,3.16
YMM,12.58,0.39,3.2
NET,120.3,3.69,3.16
RKLB,17.7,0.58,3.39
ET,17.81,0.55,3.19
PR,12.73,0.4,3.29
PRCT,59.38,1.79,3.12
PLTR,78.79,2.42,3.16
GTLS,146.4,4.4,3.1
BZ,17.92,0.51,2.93
PWR,244.52,7.81,3.3
OKTA,108.54,3.35,3.18
GLNG,32.01,0.92,2.94
KNTK,51.08,1.57,3.17
ACVA,13.53,0.43,3.28
ICUI,134.02,3.97,3.05
DASH,183.5,5.64,3.17
AU,31.58,0.94,3.07
