symbol,price,price_change,price_percent_change
RDFN,9.77,3.95,67.87
CKPT,3.98,1.51,61.13
PTGX,55.95,17.6,45.89
BALY,17.25,5.13,42.33
MLYS,14.96,4.44,42.21
TRVI,6.07,1.77,41.16
PTHL,3.2,0.9,39.13
ATLN,4.87,1.3,36.41
LZMH,15.66,3.62,30.07
DWTX,8.44,1.84,27.88
SKBL,10.85,2.18,25.14
SUUN,4.49,0.8,21.68
CURR,2.63,0.38,16.89
WLGS,4.42,0.62,16.32
MCTR,5.55,0.75,15.62
VRN,5.68,0.77,15.58
KPTI,7.66,0.77,11.18
PDEX,44.37,4.29,10.7
NVCT,7.62,0.69,9.96
EMBC,13.96,1.21,9.49
KLG,21.95,1.9,9.48
MASS,3.02,0.26,9.42
ELVA,2.45,0.21,9.37
OZ,79.25,6.25,8.56
XERS,4.59,0.35,8.25
IH,2.25,0.17,8.17
CRI,44.0,3.27,8.03
MGIC,12.85,0.95,7.98
PHH,8.3,0.61,7.93
PLAY,20.81,1.51,7.85
QSG,2.66,0.19,7.69
RMNI,3.96,0.28,7.61
MWA,26.92,1.86,7.45
ODP,17.81,1.2,7.22
STAA,19.65,1.31,7.14
KTOS,29.18,1.89,6.93
OCX,4.17,0.27,6.92
BECN,118.52,7.42,6.68
GHRS,11.2,0.7,6.67
MDCX,3.25,0.2,6.56
BLMN,9.35,0.56,6.37
CNR,71.59,4.27,6.34
WSC,29.76,1.69,6.02
ELAB,5.34,0.3,5.95
BLTE,66.95,3.76,5.95
ARQ,5.17,0.29,5.94
OFS,9.45,0.52,5.82
POLA,3.15,0.17,5.7
TTC,77.32,4.07,5.55
TTEC,3.73,0.19,5.37
REGN,744.83,37.32,5.27
TSVT,2.8,0.14,5.26
ARIS,28.08,1.34,5.03
STVN,22.62,1.06,4.92
AES,11.79,0.54,4.8
ACDC,7.38,0.33,4.68
ELF,73.98,3.3,4.67
AMPY,3.96,0.17,4.62
NEE,76.18,3.35,4.6
ORKA,10.94,0.48,4.59
MED,15.07,0.63,4.36
EQNR,24.16,0.99,4.27
ALDX,6.62,0.27,4.25
CMTG,3.2,0.13,4.23
NSP,94.17,3.81,4.22
EUDA,3.76,0.15,4.16
FIZZ,42.56,1.69,4.14
WES,40.52,1.6,4.11
nan,26.98,1.06,4.09
SCI,84.14,3.28,4.06
HOG,27.14,1.05,4.02
MEC,14.94,0.57,4.0
ICFI,88.0,3.35,3.96
ETSY,48.65,1.85,3.95
SNDK,53.0,2.0,3.92
APGE,37.54,1.4,3.87
HOFT,12.88,0.48,3.87
SGHT,2.45,0.09,3.81
ARRY,6.38,0.23,3.74
CWEN,28.65,1.03,3.73
AVXL,8.99,0.32,3.69
RRC,36.49,1.27,3.61
INR,16.21,0.56,3.58
CBRL,44.34,1.52,3.55
AVD,4.84,0.17,3.53
RVLV,24.88,0.84,3.49
BEPC,28.64,0.96,3.49
TNXP,13.47,0.45,3.46
LNTH,110.01,3.67,3.45
BTU,12.9,0.42,3.41
AAP,36.57,1.2,3.39
EPWK,4.89,0.16,3.38
BMY,63.15,2.06,3.37
GOLF,70.78,2.27,3.31
ORA,72.98,2.34,3.31
DVA,151.88,4.86,3.31
SOBO,24.84,0.79,3.28
CABO,286.52,8.87,3.19
EXE,99.09,3.06,3.19
AR,34.71,1.07,3.18
