symbol,price,price_change,price_percent_change
QBTS,10.13,3.22,46.6
RGTI,11.22,2.47,28.23
RBRK,70.56,15.28,27.64
SMTC,39.6,6.89,21.06
IONQ,25.02,3.65,17.08
PTON,7.05,0.98,16.14
SOUN,10.34,1.43,16.05
OKLO,27.67,3.72,15.53
DOCU,85.76,11.06,14.81
WXXWY,6.86,0.86,14.65
ULTA,357.48,43.01,13.68
WRD,18.4,2.13,13.09
ROOT,151.73,17.5,13.04
MSTR,297.49,34.23,13.0
TEM,47.17,5.0,11.87
FNMA,6.13,0.65,11.86
VNET,11.65,1.25,12.02
CAR,61.95,6.46,11.64
AUR,6.97,0.71,11.34
BOLSY,6.69,0.67,11.13
RSI,10.71,1.03,10.64
FMCC,5.09,0.49,10.65
ASR,285.86,27.37,10.59
CCI,103.2,9.67,10.34
ALAB,72.18,6.86,10.5
MP,26.87,2.49,10.21
WGS,98.47,9.15,10.24
FUTU,118.47,10.95,10.18
TNXP,15.0,1.36,9.97
TGTX,40.84,3.78,10.2
NBIS,28.75,2.58,9.86
CRDO,49.15,4.2,9.34
NU,11.73,0.98,9.07
FNMAH,8.9,0.75,9.2
PATH,10.88,0.91,9.13
FMCKM,8.65,0.71,8.94
HOOD,39.24,3.22,8.94
FNMAJ,9.49,0.77,8.83
NFE,9.26,0.76,8.88
ELF,68.2,5.23,8.31
BEKE,24.4,1.95,8.71
CVNA,181.16,14.49,8.69
ACHR,7.9,0.65,8.97
FMCKI,8.7,0.69,8.61
PONY,13.92,1.11,8.67
MARA,13.18,1.02,8.39
PLTR,86.24,6.62,8.31
SMMT,20.79,1.6,8.34
ASAN,13.89,0.98,7.59
QFIN,43.19,3.22,8.06
ATEYY,57.02,4.22,7.99
SMCI,42.17,3.09,7.91
FINMY,25.96,1.9,7.9
FUN,37.81,2.74,7.83
MDGL,348.35,25.33,7.84
ASTS,28.15,2.03,7.77
APP,292.89,20.89,7.68
OMAB,81.1,5.52,7.3
CE,57.07,3.98,7.5
LB,72.49,5.05,7.49
IEP,9.5,0.63,7.1
FNMAL,17.45,1.2,7.38
CVLT,159.17,10.86,7.32
FNMAS,10.96,0.71,6.93
FNMAT,9.9,0.65,7.03
OMF,48.66,3.31,7.3
LMND,34.95,2.35,7.21
FMCKJ,10.61,0.71,7.17
SPOT,574.67,36.76,6.83
CSAN,5.28,0.35,7.1
RXRX,6.35,0.41,6.9
RKLB,18.81,1.24,7.06
RIOT,7.82,0.51,6.98
TGS,27.32,1.76,6.89
SAABY,19.77,1.27,6.86
CLF,10.4,0.67,6.83
AFRM,50.08,3.18,6.78
LKNCY,33.69,1.98,6.24
CRWD,353.73,21.2,6.38
BRZE,35.28,2.17,6.55
TMDX,68.53,4.18,6.5
AVPT,14.66,0.87,6.31
INTR,5.91,0.36,6.49
MKSI,86.32,5.08,6.25
SOFI,12.09,0.7,6.15
DAL,46.76,2.84,6.45
FG,42.75,2.48,6.16
ENVA,92.59,5.4,6.19
MU,100.79,5.91,6.23
DAY,55.4,3.22,6.17
MPWR,606.06,34.85,6.1
SMMYY,5.53,0.32,6.14
YPF,35.77,2.06,6.11
VEON,42.04,2.26,5.68
RUM,8.03,0.46,6.08
WDC,44.53,2.5,5.95
CLS,91.6,5.19,6.01
HRI,129.46,7.21,5.9
NE,23.78,1.32,5.88
STR,19.8,1.12,6.0
RGEN,150.62,8.18,5.74
LYFT,11.92,0.65,5.77
BYDDY,99.85,5.49,5.82
GKOS,102.14,5.54,5.73
HPE,15.62,0.85,5.79
CLBT,18.25,0.97,5.61
PNGAY,12.85,0.7,5.76
THLLY,54.72,2.98,5.76
ZLAB,38.2,2.06,5.7
BYDDF,49.95,2.71,5.72
KNF,93.3,5.01,5.67
TOST,34.47,1.86,5.72
SHAK,87.52,4.75,5.74
MNDY,255.87,13.5,5.57
KTB,62.74,3.23,5.43
DJTWW,12.25,0.66,5.69
OKTA,112.55,5.92,5.55
XP,14.67,0.78,5.62
PEGA,71.99,3.85,5.65
EDU,50.73,2.69,5.6
GH,42.89,2.25,5.54
SITM,167.03,8.61,5.43
VAL,38.33,2.02,5.56
DJT,20.21,1.04,5.43
LITE,63.61,3.32,5.51
ATAT,31.25,1.63,5.5
VST,124.4,6.4,5.42
OVV,40.55,2.14,5.57
GWRE,185.67,9.66,5.49
DY,155.55,8.08,5.48
OTLY,8.84,0.53,6.38
MANH,172.5,9.0,5.5
RRR,45.04,2.35,5.5
DAN,14.36,0.76,5.55
PBR,13.44,0.71,5.58
BILL,46.44,2.41,5.47
PBF,20.73,1.06,5.39
PR,13.62,0.69,5.34
DB,24.21,1.23,5.35
UAL,73.67,3.77,5.39
CZR,28.07,1.44,5.41
SYM,21.65,1.09,5.3
VICR,53.66,2.66,5.22
FLR,36.8,1.86,5.32
CYBR,339.47,17.33,5.38
MGM,31.75,1.59,5.27
TREX,56.87,2.87,5.31
STNE,9.72,0.5,5.42
RDDT,127.98,6.45,5.31
PENN,17.09,0.86,5.3
VRT,87.61,4.52,5.45
PETRY,6.07,0.3,5.2
ORLA,8.72,0.43,5.19
SPSC,129.43,6.38,5.18
INFA,18.3,0.91,5.23
ARM,117.94,5.89,5.26
PBR-A,12.45,0.61,5.15
CC,14.4,0.7,5.15
ZK,31.25,1.5,5.04
GDS,35.27,1.75,5.22
NVDA,121.67,6.09,5.27
ANF,79.77,3.84,5.06
AAON,82.14,3.83,4.89
OSIS,184.24,8.93,5.09
BL,49.89,2.43,5.12
TPL,1318.2,63.36,5.05
HIMS,33.15,1.61,5.1
SCHW,77.1,3.58,4.88
MRX,32.92,1.56,4.97
TEAM,218.44,10.44,5.02
UI,319.05,15.2,5.0
TLN,204.93,9.73,4.98
MNSO,20.7,0.98,4.97
THO,80.6,3.83,4.99
SAN,6.77,0.32,4.96
UMC,6.79,0.32,4.95
FINV,8.71,0.41,4.94
GME,23.03,1.08,4.92
PAM,82.51,3.85,4.89
RNMBY,299.51,14.21,4.98
MPNGY,44.9,2.1,4.91
AMBA,54.78,2.58,4.94
URI,623.21,29.04,4.89
PSTG,50.9,2.36,4.86
NRG,95.33,4.41,4.85
HWKN,108.0,4.92,4.77
BROS,62.42,2.81,4.71
UPST,48.54,2.23,4.82
BZ,19.75,0.89,4.72
WNS,62.12,2.86,4.82
LSCC,60.79,2.81,4.85
APPF,216.74,10.08,4.88
PEN,273.06,12.43,4.77
CXT,54.57,2.46,4.72
SHOP,94.89,4.3,4.75
STEP,53.67,2.46,4.8
MUR,26.04,1.16,4.66
MTSI,109.07,4.86,4.66
WSC,29.95,1.35,4.72
ITUB,5.99,0.27,4.72
