,Unnamed: 0,Volume,Last,Chg,% Chg
50,B&G Foods Inc. (BGS),1.3M,8.01,0.36,4.71
51,Cabot Corp. (CBT),260.4K,88.87,3.99,4.7
52,Belite Bio Inc. ADR (BLTE),117.7K,66.16,2.97,4.7
53,Equinor ASA ADR (EQNR),3.4M,24.23,1.06,4.57
54,Claros Mortgage Trust Inc. (CMTG),720.3K,3.21,0.14,4.56
55,Western Midstream Partners L.P. (WES),880.3K,40.68,1.76,4.52
56,Archer Daniels Midland Co. (ADM),3.2M,51.66,2.23,4.5
57,Service Corp. International (SCI),825.4K,84.49,3.63,4.49
58,HCA Healthcare Inc. (HCA),1.2M,344.93,14.78,4.48
59,Dream Finders Homes Inc. (DFH),259.9K,26.5,1.13,4.43
60,ResMed Inc. (RMD),708.0K,242.65,10.21,4.39
61,Etsy Inc. (ETSY),2.4M,48.84,2.04,4.37
62,Sight Sciences Inc. (SGHT),276.8K,2.46,0.1,4.24
63,EUDA Health Holdings Ltd. (EUDA),89.2K,3.76,0.15,4.16
64,Sally Beauty Holdings Inc. (SBH),1.3M,9.7,0.39,4.14
65,Lantheus Holdings Inc. (LNTH),706.9K,110.66,4.32,4.06
66,National Beverage Corp. (FIZZ),147.1K,42.47,1.6,3.91
67,Xeris Biopharma Holdings Inc. (XERS),2.4M,4.4,0.17,3.89
68,Medifast Inc. (MED),110.8K,15.0,0.56,3.88
69,American Vanguard Corp. (AVD),55.3K,4.86,0.18,3.85
70,Mayville Engineering Co. Inc. (MEC),76.0K,14.91,0.55,3.83
71,American Water Works Co. (AWK),1.4M,150.93,5.53,3.8
72,Park Ha Biological Technology Co. Ltd. (PHH),266.0K,7.98,0.29,3.77
73,Tractor Supply Co. (TSCO),2.9M,59.02,2.13,3.74
74,ICF International Inc. (ICFI),176.4K,87.81,3.16,3.73
75,GH Research PLC (GHRS),176.4K,10.88,0.39,3.67
76,Aardvark Therapeutics Inc. (AARD),66.4K,10.5,0.37,3.65
77,Enhabit Inc. (EHAB),203.1K,8.84,0.31,3.63
78,Postal Realty Trust Inc. Cl A (PSTL),143.1K,14.5,0.51,3.61
79,Biogen Inc. (BIIB),1.1M,155.79,5.41,3.6
80,Pilgrim's Pride Corp. (PPC),479.8K,56.57,1.95,3.57
81,Clearway Energy Inc. Cl A (CWEN.A),269.5K,26.84,0.93,3.57
82,agilon health inc. (AGL),3.5M,3.64,0.13,3.56
83,McCormick & Co. Inc. (MKC),1.8M,85.55,2.93,3.55
84,Moderna Inc. (MRNA),6.8M,36.87,1.26,3.54
85,Columbia Sportswear Co. (COLM),442.2K,86.93,2.97,3.54
86,Northern Oil & Gas Inc. (NOG),1.2M,28.46,0.97,3.53
87,Northrop Grumman Corp. (NOC),733.5K,503.5,16.98,3.49
88,Cognizant Technology Solutions Corp. (CTSH),4.7M,86.08,2.85,3.42
89,Kestra Medical Technologies Ltd. (KMTS),196.1K,21.7,0.71,3.41
90,ACCO Brands Corp. (ACCO),490.4K,4.87,0.16,3.4
91,Medpace Holdings Inc. (MEDP),267.3K,344.02,11.21,3.37
92,ACRES Commercial Realty Corp. (ACR),52.8K,21.84,0.71,3.36
93,NextEra Energy Inc. (NEE),8.3M,75.27,2.44,3.35
94,Anavex Life Sciences Corp. (AVXL),481.6K,8.96,0.29,3.34
95,Safehold Inc. (SAFE),155.9K,19.27,0.62,3.32
96,OneConnect Financial Technology Co. Ltd. ADR (OCFT),160.1K,6.61,0.21,3.32
97,Paccar Inc. (PCAR),2.3M,113.71,3.65,3.32
98,Quanex Building Products Corp. (NX),357.5K,20.89,0.67,3.31
99,Clearway Energy Inc. Cl C (CWEN),666.8K,28.52,0.9,3.27
