,Unnamed: 0,Volume,Last,Chg,% Chg
0,Mineralys Therapeutics Inc. (MLYS),11.2M,17.33,6.81,64.76
1,Redfin Corp. (RDFN),73.0M,9.54,3.73,64.0
2,Checkpoint Therapeutics Inc. (CKPT),44.5M,4.03,1.55,62.96
3,Protagonist Therapeutics Inc. (PTGX),3.4M,56.63,18.28,47.67
4,LZ Technology Holdings Ltd. Cl B (LZMH),389.4K,17.01,4.97,41.28
5,Trevi Therapeutics Inc. (TRVI),50.7M,5.9,1.6,37.21
6,Pheton Holdings Ltd. Cl A (PTHL),291.0K,2.99,0.69,30.0
7,Dogwood Therapeutics Inc. (DWTX),8.8M,8.44,1.84,27.9
8,SolarBank Corp. (SUUN),386.5K,4.52,0.83,22.38
9,Skyline Builders Group Holding Ltd. Cl A (SKBL),284.6K,10.4,1.73,19.95
10,Karyopharm Therapeutics Inc. (KPTI),188.4K,7.94,1.04,15.17
11,Nuvectis Pharma Inc. (NVCT),99.5K,7.97,1.04,15.08
12,Veren Inc. (VRN),44.0M,5.64,0.73,14.87
13,Wang & Lee Group Inc. (WLGS),616.4K,4.35,0.55,14.47
14,iHuman Inc. ADR (IH),99.7K,2.3,0.22,10.58
15,Pro-Dex Inc. (PDEX),56.4K,44.05,3.97,9.91
16,Electrovaya Inc. (ELVA),98.3K,2.46,0.22,9.82
17,Staar Surgical Co. (STAA),1.1M,20.1,1.76,9.6
18,Currenc Group Inc. (CURR),403.9K,2.46,0.21,9.33
19,WK Kellogg Co. (KLG),910.6K,21.91,1.86,9.28
20,Kratos Defense & Security Solutions Inc. (KTOS),3.4M,29.56,2.27,8.33
21,Hooker Furnishings Corp. (HOFT),75.7K,13.42,1.01,8.19
22,e.l.f. Beauty Inc. (ELF),2.7M,76.26,5.58,7.9
23,Mueller Water Products Inc. (MWA),2.4M,26.98,1.93,7.7
24,Carter's Inc. (CRI),947.2K,43.82,3.08,7.57
25,Beacon Roofing Supply Inc. (BECN),2.7M,119.42,8.32,7.49
26,Dave & Buster's Entertainment Inc. (PLAY),874.2K,20.72,1.43,7.39
27,Tonix Pharmaceuticals Holding Corp. (TNXP),1.9M,13.96,0.94,7.22
28,Arq Inc. (ARQ),229.7K,5.22,0.34,6.97
29,DBV Technologies S.A. ADR (DBVT),58.8K,4.46,0.28,6.81
30,Medicus Pharma Ltd. (MDCX),122.8K,3.25,0.2,6.56
31,Array Technologies Inc. (ARRY),3.1M,6.54,0.4,6.42
32,Embecta Corp. (EMBC),271.3K,13.56,0.81,6.35
33,908 Devices Inc. (MASS),767.9K,2.94,0.17,6.34
34,Bloomin' Brands Inc. (BLMN),1.4M,9.35,0.56,6.31
35,TTEC Holdings Inc. (TTEC),322.0K,3.76,0.22,6.21
36,Enphase Energy Inc. (ENPH),3.6M,65.38,3.75,6.08
37,ProFrac Holding Corp. (ACDC),224.7K,7.47,0.42,5.96
38,ODP Corp. (ODP),322.9K,17.56,0.95,5.72
39,Core Natural Resources Inc. (CNR),478.3K,70.89,3.57,5.3
40,Insperity Inc. (NSP),333.1K,95.14,4.78,5.28
41,Amplify Energy Corp. (AMPY),612.2K,3.99,0.2,5.28
42,Toro Co. (TTC),829.7K,77.04,3.79,5.17
43,Regeneron Pharmaceuticals Inc. (REGN),656.8K,743.93,36.42,5.15
44,AES Corp. (AES),9.2M,11.82,0.57,5.11
45,Cracker Barrel Old Country Store Inc. (CBRL),854.6K,44.97,2.15,5.02
46,Advance Auto Parts Inc. (AAP),2.3M,37.13,1.76,4.98
47,WillScot Holdings Corp. (WSC),3.8M,29.46,1.39,4.95
48,Verastem Inc. (VSTM),561.8K,7.34,0.34,4.93
49,2seventy bio Inc. (TSVT),216.4K,2.79,0.13,4.89
