,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),20.9M,14.09,9.89,235.48
1,Micropolis Holding Co. (MCRP),3.5M,4.2,1.65,64.98
2,Heidmar Maritime Holdings Corp. (HMR),82.3M,4.08,1.53,60.0
3,LZ Technology Holdings Ltd. Cl B (LZMH),805.1K,13.01,4.83,59.05
4,Aveanna Healthcare Holdings Inc. (AVAH),3.3M,5.14,1.4,37.43
5,E.W. Scripps Co. Cl A (SSP),8.8M,2.73,0.68,33.17
6,Quantum Corp. (QMCO),4.1M,14.82,3.56,31.62
7,Wang & Lee Group Inc. (WLGS),1.4M,4.04,0.92,29.49
8,MeiraGTx Holdings PLC (MGTX),6.1M,8.27,1.86,29.02
9,Exicure Inc. (XCUR),68.9K,13.22,2.65,25.07
10,CTRL Group Ltd. (MCTR),168.8K,7.18,1.43,24.87
11,U-BX Technology Ltd. (UBXG),107.4K,3.88,0.76,24.37
12,Yoshiharu Global Co. (YOSH),131.7K,18.0,3.12,20.97
13,Amber International Holding Ltd. ADR (AMBR),286.2K,11.0,1.76,19.05
14,D-Wave Quantum Inc. (QBTS),125.4M,6.91,1.09,18.73
15,iHuman Inc. ADR (IH),276.5K,2.6,0.39,17.65
16,FreightCar America Inc. (RAIL),1.2M,7.32,1.09,17.5
17,Algorhythm Holdings Inc. (RIME),606.0K,2.46,0.35,16.59
18,First Financial Northwest Inc. (FFNW),253.3K,22.64,3.09,15.81
19,Currenc Group Inc. (CURR),1.0M,3.46,0.47,15.72
20,COSCIENS Biopharma Inc. (CSCI),666.7K,3.11,0.42,15.61
21,Edible Garden AG Inc. (EDBL),97.9K,2.4,0.31,14.83
22,Atlantic International Corp. (ATLN),71.3K,5.9,0.76,14.79
23,Intel Corp. (INTC),244.6M,23.7,3.02,14.6
24,AvidXchange Holdings Inc. (AVDX),6.3M,7.85,0.96,13.93
25,OptimizeRx Corp. (OPRX),2.4M,7.15,0.87,13.85
26,Professional Diversity Network Inc. (IPDN),124.7K,2.39,0.29,13.65
