symbol,price,price_change,price_percent_change
RGC,14.09,9.89,235.48
MCRP,4.2,1.65,64.98
HMR,4.08,1.53,60.0
LZMH,13.01,4.83,59.05
AVAH,5.14,1.4,37.43
SSP,2.73,0.68,33.17
QMCO,14.82,3.56,31.62
WLGS,4.04,0.92,29.49
MGTX,8.27,1.86,29.02
XCUR,13.22,2.65,25.07
MCTR,7.18,1.43,24.87
UBXG,3.88,0.76,24.37
YOSH,18.0,3.12,20.97
AMBR,11.0,1.76,19.05
QBTS,6.91,1.09,18.73
IH,2.6,0.39,17.65
RAIL,7.32,1.09,17.5
RIME,2.46,0.35,16.59
FFNW,22.64,3.09,15.81
CURR,3.46,0.47,15.72
CSCI,3.11,0.42,15.61
EDBL,2.4,0.31,14.83
ATLN,5.9,0.76,14.79
INTC,23.7,3.02,14.6
AVDX,7.85,0.96,13.93
OPRX,7.15,0.87,13.85
IPDN,2.39,0.29,13.65
ZSPC,11.19,1.33,13.49
YSG,4.88,0.57,13.23
SUUN,4.92,0.57,13.1
CNL,7.77,0.86,12.45
ATYR,3.99,0.44,12.39
CYN,4.88,0.5,11.42
UFG,4.52,0.46,11.33
FN,223.52,21.64,10.72
SHLS,3.26,0.32,10.88
KRRO,24.66,2.29,10.24
BBCP,5.46,0.5,10.08
PHLT,2.77,0.25,9.92
NABL,7.84,0.69,9.72
IDR,12.62,1.11,9.64
AZ,6.53,0.57,9.56
NN,11.2,0.93,9.06
AG,6.68,0.55,8.88
METC,9.63,0.77,8.69
ARMN,4.4,0.34,8.5
CPRI,21.12,1.64,8.42
YALA,4.79,0.37,8.37
BMEA,2.66,0.2,8.13
NVCT,8.35,0.61,7.88
JG,9.71,0.69,7.65
MWYN,4.3,0.3,7.5
CNSP,2.71,0.18,7.11
ASTL,6.24,0.42,7.22
MRCY,45.11,3.01,7.15
BLDE,3.03,0.2,7.07
PHR,25.46,1.66,6.97
FWRD,18.87,1.22,6.91
JUNE,5.13,0.33,6.88
DG,79.99,5.14,6.87
BWMN,23.5,1.49,6.77
LOGC,7.51,0.47,6.68
DLTR,66.0,4.08,6.59
ZBIO,8.73,0.52,6.33
GRPN,14.86,0.88,6.29
SVRA,2.76,0.16,6.15
NG,3.46,0.2,6.13
SRDX,28.32,1.61,6.03
CMTG,3.62,0.2,5.99
EUDA,3.84,0.21,5.79
PHVS,16.91,0.9,5.62
ORLA,8.29,0.44,5.61
SUP,2.12,0.11,5.47
MOMO,7.17,0.37,5.44
BZAI,3.49,0.18,5.44
AVDL,8.39,0.43,5.4
FLD,6.87,0.35,5.37
TIL,19.06,0.97,5.36
SCHL,20.05,1.02,5.36
BTG,2.9,0.14,5.25
ALGM,26.24,1.3,5.21
MTEN,4.78,0.23,5.05
NGD,3.24,0.15,5.03
SLNO,49.03,2.33,4.99
NIU,2.57,0.12,4.9
ANIX,2.81,0.13,4.85
NYXH,10.05,0.32,3.29
SKBL,10.73,0.49,4.79
ACNT,12.34,0.56,4.75
TRML,17.04,0.77,4.73
GDOT,6.64,0.3,4.73
NEM,45.67,2.04,4.68
CBUS,2.26,0.1,4.63
MDCX,3.44,0.15,4.56
SSRM,10.7,0.46,4.49
HAIN,4.34,0.18,4.45
EGO,15.3,0.65,4.44
VOXR,2.6,0.11,4.42
XYF,11.75,0.49,4.35
SNES,2.4,0.1,4.35
