symbol,price,price_change,price_percent_change
PTGX,56.2,17.85,46.54
VRN,5.62,0.72,14.55
KTOS,29.83,2.54,9.31
ELF,77.01,6.33,8.96
DNBBF,25.62,1.99,8.42
MWA,27.09,2.04,8.13
BECN,119.5,8.4,7.56
TNXP,13.99,0.97,7.47
ENPH,66.1,4.47,7.25
AAP,37.42,2.06,5.81
AMKBY,9.62,0.5,5.48
HOG,27.45,1.36,5.21
WSC,29.52,1.45,5.17
BLTE,66.35,3.16,5.0
TTC,76.79,3.54,4.84
SCI,84.76,3.9,4.82
REGN,740.36,32.85,4.64
NSP,94.44,4.08,4.52
ETSY,49.0,2.2,4.7
AES,11.74,0.49,4.36
HCA,344.46,14.31,4.33
COTY,6.11,0.26,4.44
DRPRY,6.19,0.25,4.21
CBT,88.64,3.76,4.43
RMD,242.2,9.76,4.2
EQNR,24.14,0.97,4.16
MKC,86.12,3.5,4.24
CTSH,86.62,3.39,4.07
DFH,26.46,1.09,4.3
COLM,87.27,3.31,3.94
MEDP,345.82,13.01,3.91
SMCAY,19.6,0.75,3.98
TSCO,59.09,2.2,3.87
WES,40.41,1.49,3.83
NOG,28.54,1.05,3.82
ADM,51.33,1.89,3.82
CWEN-A,26.88,0.96,3.7
BF-B,38.31,1.38,3.74
CPB,43.36,1.55,3.71
NOC,503.54,17.02,3.5
LNTH,110.07,3.73,3.51
MRNA,36.9,1.29,3.62
RRC,36.46,1.24,3.52
PAYC,219.93,7.28,3.43
CAG,28.19,0.97,3.54
GIS,66.74,2.24,3.47
PPC,56.39,1.77,3.24
AWK,150.4,5.0,3.44
CWEN,28.5,0.88,3.17
FND,93.93,2.72,2.98
PCAR,113.51,3.46,3.14
OGN,15.95,0.51,3.3
DVA,151.79,4.77,3.24
EXEL,39.89,1.31,3.4
FIZZ,42.23,1.36,3.33
ORA,72.85,2.21,3.13
AR,34.68,1.04,3.09
HSY,190.98,5.92,3.2
LKQ,44.66,1.28,2.95
MOH,337.18,9.85,3.01
KVUE,24.14,0.72,3.05
TAP,63.78,1.92,3.1
