symbol,price,price_change,price_percent_change
CXM,9.48,1.4,17.33
IONQ,21.7,3.0,16.04
TLN,197.64,21.08,11.94
RGTI,8.9,0.85,10.62
VKTX,29.32,2.8,10.54
SOUN,9.4,0.86,10.08
FNMA,5.68,0.49,9.44
VST,124.43,10.07,8.8
VIST,46.38,3.68,8.62
RDDT,133.2,10.47,8.53
VRNA,67.98,5.28,8.42
SMMT,20.03,1.53,8.27
RNMBY,274.35,20.7,8.16
APP,277.92,20.16,7.82
ACHR,7.34,0.53,7.79
CLF,9.73,0.71,7.93
TSLA,249.4,18.82,8.16
ONTO,134.43,9.86,7.92
CRDO,46.79,3.43,7.91
IOT,38.71,2.81,7.83
DJTWW,11.72,0.81,7.42
NBIS,27.32,1.87,7.35
RBRK,57.74,3.92,7.27
MU,95.67,6.62,7.43
SMNEY,63.28,4.31,7.31
RNA,31.66,2.08,7.03
PLTR,83.28,5.23,6.7
TGS,25.94,1.67,6.88
KGS,37.63,2.33,6.6
HOOD,38.79,2.43,6.68
NVDA,115.86,7.11,6.54
CVNA,183.89,11.67,6.78
SOC,24.53,1.48,6.42
CASY,403.65,24.94,6.59
VICR,53.36,3.27,6.53
AKRO,46.51,2.69,6.15
GEV,301.33,17.12,6.03
ADMA,18.36,1.01,5.85
MTSI,107.04,6.11,6.05
PINS,33.29,1.9,6.05
GEO,24.99,1.38,5.84
PTON,6.09,0.35,6.01
AMTM,18.02,0.98,5.75
SRRK,36.52,2.02,5.86
MOD,84.65,4.58,5.73
SPOT,535.1,26.66,5.24
GLNG,33.81,1.82,5.67
SOFI,11.86,0.6,5.33
DUOL,290.14,15.23,5.54
BBAR,18.34,0.91,5.22
SITM,164.92,8.52,5.45
AMBA,52.32,2.7,5.44
GGAL,57.27,2.88,5.3
PAM,80.01,4.11,5.42
ALAB,69.68,3.63,5.5
RKT,13.88,0.7,5.31
FIX,341.62,17.04,5.25
IESC,179.6,10.05,5.93
ALVO,11.33,0.52,4.81
VRT,87.28,4.15,5.0
NRG,92.91,4.29,4.84
MNSO,20.92,1.0,5.02
PCVX,73.31,3.46,4.95
SMCI,42.85,2.01,4.92
CXW,19.6,0.87,4.64
OKLO,26.73,1.26,4.95
RH,241.85,11.27,4.89
BROS,63.08,2.92,4.84
AFRM,49.11,2.34,5.0
YPF,33.42,1.53,4.8
GH,44.69,2.06,4.85
WGS,91.3,4.13,4.74
AXON,552.04,25.4,4.82
BTSG,17.58,0.79,4.71
CRWD,344.42,14.67,4.45
UPST,49.0,2.35,5.04
CLS,90.7,4.11,4.75
DTM,94.08,4.18,4.65
SHOP,97.43,4.48,4.82
MRVL,70.1,2.94,4.38
U,22.0,1.03,4.89
LITE,64.94,2.89,4.66
NTRA,146.48,6.46,4.61
MPW,5.95,0.26,4.47
LRCX,76.67,3.31,4.51
BURL,245.38,9.95,4.23
AVPT,14.23,0.61,4.48
SMTC,33.62,1.42,4.41
INTC,20.64,0.85,4.32
CIVI,34.45,1.45,4.39
CEG,217.13,8.55,4.1
GLBE,38.39,1.66,4.52
AMD,100.81,4.05,4.18
CDE,5.71,0.24,4.39
TSEM,38.28,1.44,3.89
CRH,98.4,3.77,3.98
GRND,16.98,0.67,4.08
DFS,164.15,6.38,4.04
UI,314.8,12.22,4.04
ETN,293.52,11.21,3.97
BRZE,34.94,1.34,3.99
GXO,38.47,1.47,3.99
BEAM,27.42,1.01,3.82
ASAN,13.15,0.51,4.03
DNLI,15.62,0.58,3.86
ORCL,149.81,5.63,3.9
CIEN,66.43,2.48,3.89
RHHBY,43.61,1.64,3.91
SONY,23.82,0.87,3.79
PKX,52.78,1.97,3.88
ICLR,182.32,6.54,3.72
ONON,46.96,1.79,3.95
MLTX,39.2,1.46,3.87
DELL,95.01,3.44,3.76
CROX,102.04,3.72,3.78
NOW,838.89,30.48,3.77
RBLX,56.82,2.07,3.78
AVGO,197.38,7.29,3.84
NVMI,219.5,7.86,3.71
CORZ,8.96,0.33,3.82
VERX,33.34,1.19,3.7
SAFRY,68.45,2.44,3.7
GKOS,101.41,3.62,3.7
WFRD,54.16,1.9,3.64
TSM,177.34,6.37,3.72
HUBS,613.08,22.41,3.79
VRN,6.07,0.21,3.58
EME,386.31,13.71,3.68
ACVA,14.27,0.49,3.56
INTR,5.34,0.18,3.59
RARE,39.73,1.4,3.66
APO,135.01,4.6,3.52
MTZ,118.54,4.07,3.56
CNM,48.19,1.64,3.52
JCI,79.58,2.59,3.36
TECK,39.92,1.4,3.65
DOCS,63.86,2.15,3.48
TRGP,187.31,6.12,3.38
CDNS,242.25,8.0,3.42
WRD,16.89,0.58,3.55
RYCEY,10.25,0.33,3.33
ET,18.42,0.59,3.28
SYF,53.79,1.8,3.46
FLEX,34.85,1.12,3.32
TLK,15.05,0.48,3.33
TAC,9.63,0.31,3.33
PCOR,67.33,2.12,3.26
WAL,76.11,2.46,3.34
CAMT,65.56,2.17,3.42
BMA,84.27,2.65,3.25
ARM,115.15,3.66,3.29
S,19.39,0.64,3.41
JBSAY,11.25,0.35,3.21
RUM,8.03,0.24,3.08
DY,148.65,4.53,3.14
FRPT,86.52,2.74,3.27
WCC,163.18,4.99,3.15
SNOW,154.62,4.72,3.15
ASX,9.77,0.3,3.17
FHN,18.76,0.57,3.16
TEO,11.31,0.34,3.1
ODD,45.78,1.48,3.35
FLS,48.85,1.48,3.11
DIOD,46.87,1.39,3.06
INSM,75.89,2.19,2.97
FICO,1775.1,52.25,3.03
RIVN,11.1,0.31,2.87
JLL,253.21,7.44,3.03
