symbol,price,price_change,price_percent_change
IONQ,21.77,-0.05,0.23
CXM,9.59,0.17,1.8
INTC,23.5,2.82,13.64
TLN,195.5,-3.59,1.8
DJTWW,12.75,0.58,4.77
VKTX,29.25,-0.3,1.0
RGTI,9.02,0.07,0.78
RNA,33.95,1.34,4.11
ACHR,7.66,0.18,2.47
GEO,26.1,0.18,0.7
CRDO,46.44,-1.09,2.29
FNMA,5.65,0.46,8.86
AMTM,18.47,0.05,0.27
VRNA,68.32,0.72,1.07
SMMT,20.02,0.11,0.58
CXW,20.26,0.17,0.85
PLTR,82.76,-0.89,1.06
HOOD,38.14,-0.78,2.0
ADMA,18.6,0.1,0.54
VST,120.61,-1.31,1.07
BBAR,18.66,0.08,0.43
RDDT,129.52,-1.16,0.89
UPST,49.22,-0.44,0.88
SITM,166.37,-0.1,0.06
VICR,52.97,-0.34,0.63
GLNG,34.12,0.08,0.24
ACLX,72.31,-0.41,0.56
PTON,6.07,-0.03,0.49
YPF,33.89,2.0,6.27
GGAL,57.89,0.11,0.19
NVMI,223.99,-0.76,0.34
CASY,402.4,0.33,0.08
DNLI,15.91,-0.04,0.25
PINS,33.35,0.07,0.21
BRZE,35.44,-0.16,0.45
IOT,38.32,0.3,0.79
SOC,24.21,-0.2,0.82
SOFI,12.0,0.08,0.67
DUOL,287.25,-3.77,1.3
INTR,5.47,0.01,0.18
IESC,183.16,3.81,2.12
APP,271.95,-0.64,0.24
RUM,8.16,-0.05,0.61
SPOT,534.36,-1.48,0.28
MOD,84.73,0.37,0.44
USLM,93.28,0.55,0.59
ALVO,11.27,-0.1,0.88
CRWD,344.6,-2.16,0.62
AVPT,14.39,0.1,0.7
DG,78.51,3.66,4.89
PCVX,71.69,-1.55,2.12
KGS,37.6,0.59,1.59
AMBA,52.25,0.25,0.48
PKX,52.78,-0.45,0.85
ORCL,149.7,-1.19,0.79
AKRO,45.17,-0.68,1.49
RYCEY,10.37,0.45,4.54
RH,237.15,-3.87,1.61
LRCX,75.93,-0.66,0.86
NRG,92.37,-0.1,0.11
SLNO,46.82,0.12,0.26
DOCS,64.3,2.59,4.2
ALAB,68.14,-0.68,0.99
AMD,99.18,-1.61,1.59
ODD,45.75,-0.39,0.85
TSEM,38.24,-0.13,0.34
MRVL,69.82,-0.03,0.04
DIOD,47.28,-0.01,0.03
CRH,98.13,-0.25,0.25
TECK,40.42,0.4,1.0
CIEN,65.43,-0.97,1.45
FLG,11.7,0.04,0.34
BEAM,27.32,-0.1,0.37
GXO,37.96,-0.42,1.09
SRRK,35.71,-0.08,0.22
MMYT,92.57,-0.44,0.48
DFS,163.66,5.89,3.73
CORZ,8.9,-0.05,0.5
MRNA,35.84,0.83,2.37
TAC,9.66,0.34,3.65
ACVA,14.0,-0.28,1.96
TSM,172.49,-4.68,2.64
CROX,101.43,-0.45,0.44
CNTA,16.94,-0.11,0.67
WCC,163.76,5.56,3.51
ONON,46.79,0.06,0.13
CLS,89.49,-0.1,0.11
HUBS,605.53,-5.53,0.9
RKLB,18.34,-0.09,0.49
AI,21.45,-0.17,0.79
SSRM,10.35,0.11,1.07
CRNX,35.23,-0.17,0.48
SPGYF,5.95,0.19,3.3
PRMB,30.91,-0.41,1.3
DELL,94.21,-0.37,0.39
FICO,1779.0,56.15,3.26
CEG,215.63,0.28,0.13
TRGP,188.06,1.02,0.55
SONY,23.49,-0.2,0.84
ASND,148.92,-1.39,0.92
NTRA,143.07,-1.43,0.99
ET,18.42,0.02,0.14
MAC,16.8,-0.05,0.27
CRGY,10.64,-0.08,0.75
LITE,62.5,-1.52,2.37
BAESY,84.37,2.52,3.08
BA,160.28,1.48,0.93
COMP,8.72,-0.08,0.91
BANC,13.75,0.05,0.36
