symbol,price,price_change,price_percent_change
CRVO,5.77,3.41,144.44
GRPN,13.82,4.05,41.45
OPRX,5.69,1.55,37.44
SATL,3.88,0.94,31.69
ZENA,3.67,0.86,30.6
SNCR,9.15,2.02,28.33
HMR,2.71,0.58,27.23
GV,6.14,1.19,24.03
CURI,2.61,0.5,23.7
ECX,2.99,0.5,20.04
AAOI,18.08,3.02,20.01
ATYR,3.68,0.6,19.71
CXM,9.56,1.48,18.25
IONQ,21.76,3.06,16.35
CRDF,4.16,0.58,16.2
XGN,3.9,0.53,15.73
ICLK,9.62,1.23,14.58
CYN,4.38,0.55,14.34
BWMN,21.48,2.68,14.26
RAPP,10.2,1.25,13.9
QBTS,6.12,0.73,13.66
QUBT,5.35,0.62,13.09
FTK,8.35,0.94,12.69
BDMD,5.18,0.56,12.12
TLN,197.72,21.16,11.98
VG,10.83,1.16,12.0
NOTV,2.88,0.3,11.63
APPS,3.21,0.33,11.42
BLBX,3.05,0.31,11.31
RGTI,8.96,0.91,11.24
TG,7.54,0.76,11.21
MASS,3.83,0.37,10.77
QMCO,11.32,1.09,10.7
VKTX,29.35,2.83,10.67
WKEY,4.9,0.47,10.59
PSNL,3.96,0.37,10.32
SOUN,9.41,0.88,10.25
CXDO,6.5,0.59,9.98
ARQQ,12.95,1.14,9.62
TECX,24.74,2.14,9.47
SEI,24.3,2.06,9.29
INOD,45.77,3.89,9.29
EBS,6.03,0.5,9.04
VST,124.64,10.28,8.99
VIST,46.46,3.77,8.82
AMLX,4.05,0.32,8.58
RDDT,133.21,10.47,8.53
ETNB,8.18,0.64,8.49
VRNA,67.98,5.28,8.42
SMMT,20.06,1.55,8.41
TSLA,249.42,18.84,8.17
CLF,9.76,0.73,8.15
ACHR,7.36,0.55,8.0
CRDO,46.82,3.46,7.99
APP,278.35,20.59,7.99
VSCO,17.54,1.29,7.94
ONTO,134.41,9.84,7.9
UNFI,26.51,1.94,7.9
IOT,38.72,2.82,7.86
CEPU,12.62,0.91,7.77
SIGA,6.04,0.43,7.77
REPL,12.32,0.88,7.69
CLOV,3.62,0.26,7.59
MU,95.74,6.69,7.51
SVC,2.58,0.18,7.5
RBRK,57.83,4.01,7.45
IBTA,41.97,2.89,7.4
ADVM,4.8,0.33,7.38
NESR,8.16,0.56,7.37
TGS,26.05,1.78,7.33
UCTT,24.66,1.69,7.33
NBIS,27.32,1.86,7.33
ATOM,5.87,0.4,7.23
ARCT,14.16,0.95,7.23
POET,3.71,0.25,7.23
CURR,2.98,0.2,7.19
LUNR,6.94,0.47,7.18
GPCR,22.0,1.47,7.16
TVTX,19.42,1.29,7.14
EVTL,3.63,0.24,7.08
PRCH,6.0,0.39,7.05
RNA,31.66,2.08,7.03
CENX,19.38,1.27,7.01
LTBR,8.87,0.58,7.0
SUPV,13.48,0.88,6.97
SHIP,7.42,0.47,6.83
PLTR,83.38,5.33,6.84
ARCO,8.33,0.53,6.79
KGS,37.69,2.39,6.77
CVNA,183.88,11.66,6.77
PDYN,6.55,0.41,6.76
BWAY,10.27,0.65,6.76
AEVA,2.77,0.17,6.74
XPOF,12.29,0.77,6.68
HOOD,38.81,2.45,6.73
NVDA,115.96,7.21,6.63
SOC,24.57,1.52,6.59
CASY,403.65,24.94,6.59
MYGN,10.92,0.68,6.59
SSSS,5.62,0.34,6.55
