symbol,price,price_change,price_percent_change
RGC,10.2,6.0,142.75
HMR,4.41,1.86,72.92
MCRP,3.85,1.3,51.24
LZMH,10.88,2.7,33.05
SSP,2.69,0.64,31.22
AVAH,4.89,1.15,30.75
WLGS,4.06,0.94,30.13
QMCO,14.63,3.37,29.93
MGTX,8.12,1.71,26.6
UBXG,3.79,0.67,21.49
RAIL,7.46,1.23,19.74
CURR,3.57,0.58,19.4
XCUR,12.5,1.93,18.26
QBTS,6.82,1.0,17.18
OPRX,7.3,1.02,16.24
FFNW,22.57,3.02,15.45
AMBR,10.66,1.42,15.38
INTC,23.83,3.15,15.23
YSG,4.96,0.65,15.08
IH,2.52,0.31,14.03
RIME,2.4,0.29,13.89
YOSH,16.81,1.93,12.97
BLDE,3.19,0.36,12.78
PESI,8.16,0.92,12.71
FN,225.9,24.02,11.9
BBCP,5.54,0.58,11.69
IPDN,2.33,0.23,10.79
PHLT,2.78,0.26,10.32
YALA,4.84,0.42,9.5
PTHL,4.2,0.35,9.09
BDMD,5.76,0.47,8.94
ARMN,4.42,0.36,8.87
MLGO,4.31,0.35,8.84
NN,11.15,0.88,8.59
JG,9.78,0.76,8.37
CMTG,3.7,0.28,8.31
AG,6.62,0.48,7.9
IDR,12.4,0.89,7.69
SHLS,3.16,0.23,7.65
CBUS,2.32,0.16,7.41
NABL,7.68,0.53,7.34
PHR,25.52,1.72,7.23
CLCO,5.7,0.38,7.14
BZAI,3.53,0.22,6.65
SVRA,2.76,0.17,6.35
DLTR,65.8,3.88,6.26
NGD,3.27,0.19,6.17
CRNT,2.64,0.15,6.02
BLBX,3.18,0.18,6.0
NG,3.45,0.19,5.83
AZ,6.3,0.34,5.7
METC,9.36,0.5,5.64
XPOF,12.81,0.68,5.61
HNRG,10.39,0.55,5.59
BTG,2.91,0.15,5.56
GTN,4.34,0.23,5.47
PCRX,23.24,1.2,5.44
TELO,5.2,0.27,5.36
LEGH,26.02,1.27,5.13
DG,78.68,3.83,5.12
NEM,45.84,2.21,5.06
MRCY,44.16,2.06,4.89
MOMO,7.12,0.33,4.78
GIII,26.52,1.18,4.66
SUUN,4.55,0.2,4.6
SKE,10.21,0.44,4.5
BBW,37.08,1.58,4.46
ATYR,3.7,0.15,4.37
BVN,14.24,0.59,4.36
XTIA,2.88,0.12,4.35
GENK,6.08,0.25,4.29
SSRM,10.66,0.42,4.15
XPEV,25.75,1.02,4.12
GDOT,6.6,0.26,4.1
ALGM,25.94,0.99,3.99
FCX,38.22,1.45,3.93
SCHL,19.77,0.74,3.89
AES,12.29,0.46,3.89
EUDA,3.77,0.14,3.87
SLNO,48.48,1.78,3.82
CDE,5.92,0.21,3.77
VOD,9.5,0.34,3.69
UGP,2.83,0.1,3.66
BMEA,2.55,0.09,3.66
CSAN,4.97,0.17,3.65
ORLA,8.14,0.28,3.63
ACNT,12.2,0.42,3.57
SA,11.65,0.4,3.56
ABUS,3.3,0.11,3.55
TBH,4.4,0.15,3.53
AMRK,27.8,0.94,3.52
SVM,4.12,0.14,3.5
ALKT,25.12,0.84,3.46
EGO,15.16,0.51,3.45
JUNE,4.96,0.16,3.33
FIS,70.38,2.26,3.32
MTEN,4.7,0.15,3.3
HYMC,2.82,0.09,3.3
SNES,2.38,0.07,3.26
JELD,6.03,0.19,3.25
