,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),23.3M,14.09,9.89,235.48
1,Micropolis Holding Co. (MCRP),3.6M,4.24,1.7,66.66
2,Heidmar Maritime Holdings Corp. (HMR),84.7M,4.08,1.53,60.0
3,LZ Technology Holdings Ltd. Cl B (LZMH),860.8K,13.01,4.83,59.05
4,Aveanna Healthcare Holdings Inc. (AVAH),3.4M,5.14,1.4,37.43
5,E.W. Scripps Co. Cl A (SSP),9.0M,2.73,0.68,33.17
6,Quantum Corp. (QMCO),4.1M,14.82,3.56,31.62
7,Wang & Lee Group Inc. (WLGS),1.4M,4.04,0.92,29.49
8,MeiraGTx Holdings PLC (MGTX),6.3M,8.25,1.84,28.71
9,Exicure Inc. (XCUR),70.5K,13.22,2.65,25.07
10,U-BX Technology Ltd. (UBXG),110.9K,3.84,0.72,23.09
11,CTRL Group Ltd. (MCTR),169.6K,7.01,1.26,21.87
12,Yoshiharu Global Co. (YOSH),134.5K,18.0,3.12,20.97
13,Amber International Holding Ltd. ADR (AMBR),289.7K,11.0,1.76,19.05
14,D-Wave Quantum Inc. (QBTS),130.9M,6.91,1.09,18.73
15,FreightCar America Inc. (RAIL),1.2M,7.32,1.09,17.5
16,iHuman Inc. ADR (IH),280.3K,2.59,0.38,17.19
17,Atlantic International Corp. (ATLN),73.0K,6.0,0.86,16.73
18,Algorhythm Holdings Inc. (RIME),628.7K,2.46,0.35,16.59
19,First Financial Northwest Inc. (FFNW),264.1K,22.64,3.09,15.81
20,Currenc Group Inc. (CURR),1.0M,3.46,0.47,15.72
21,COSCIENS Biopharma Inc. (CSCI),676.4K,3.11,0.42,15.61
22,Edible Garden AG Inc. (EDBL),104.3K,2.4,0.31,14.83
23,Uni-Fuels Holdings Ltd. (UFG),155.1K,4.66,0.6,14.78
24,Intel Corp. (INTC),243.3M,23.7,3.02,14.6
25,OptimizeRx Corp. (OPRX),2.5M,7.15,0.87,13.85
26,AvidXchange Holdings Inc. (AVDX),7.8M,7.84,0.95,13.79
27,Yatsen Holding Ltd. ADR (YSG),473.8K,4.9,0.59,13.69
28,zSpace Inc. (ZSPC),81.2K,11.19,1.33,13.49
29,SolarBank Corp. (SUUN),235.4K,4.92,0.57,13.1
30,Collective Mining Ltd. (CNL),65.8K,7.81,0.9,13.02
31,aTyr Pharma Inc. (ATYR),1.9M,3.99,0.44,12.39
32,Professional Diversity Network Inc. (IPDN),127.2K,2.36,0.26,12.22
33,Cyngn Inc. (CYN),163.2K,4.88,0.5,11.42
34,Shoals Technologies Group Inc. (SHLS),6.9M,3.26,0.32,10.88
35,Fabrinet (FN),1.8M,223.66,21.78,10.79
36,Korro Bio Inc. (KRRO),57.6K,24.66,2.29,10.24
37,Mingteng International Corp. Inc. (MTEN),111.5K,5.01,0.46,10.11
38,Concrete Pumping Holdings Inc. (BBCP),468.2K,5.46,0.5,10.08
39,Idaho Strategic Resources Inc. (IDR),216.4K,12.66,1.15,9.99
40,Performant Healthcare Inc. (PHLT),190.8K,2.77,0.25,9.92
41,N-able Inc. (NABL),2.1M,7.84,0.69,9.65
42,A2Z Cust2Mate Solutions Corp. (AZ),232.9K,6.53,0.57,9.56
43,Aurora Mobile Ltd. ADR (JG),186.4K,9.85,0.83,9.2
44,Aris Mining Corp. (ARMN),1.4M,4.43,0.37,9.11
45,NextNav Inc. (NN),3.6M,11.2,0.93,9.06
46,First Majestic Silver Corp. (AG),32.0M,6.68,0.54,8.79
47,Yalla Group Ltd. ADR (YALA),1.4M,4.8,0.38,8.6
48,Ramaco Resources Inc. Cl A (METC),1.3M,9.62,0.76,8.58
49,Capri Holdings Ltd. (CPRI),5.8M,21.12,1.64,8.42
50,Biomea Fusion Inc. (BMEA),919.7K,2.66,0.2,8.13
51,Nuvectis Pharma Inc. (NVCT),85.4K,8.35,0.61,7.88
52,Marwynn Holdings Inc. (MWYN),729.7K,4.3,0.3,7.5
53,Junee Ltd. (JUNE),57.7K,5.15,0.35,7.29
54,Algoma Steel Group Inc. (ASTL),3.7M,6.24,0.42,7.22
55,CNS Pharmaceuticals Inc. (CNSP),72.4K,2.71,0.18,7.11
56,Mercury Systems Inc. (MRCY),800.7K,45.08,2.98,7.08
57,Blade Air Mobility Inc. (BLDE),2.4M,3.03,0.2,7.07
58,Phreesia Inc. (PHR),1.2M,25.45,1.65,6.93
59,Forward Air Corp. (FWRD),679.2K,18.87,1.22,6.91
60,Dollar General Corp. (DG),8.6M,79.95,5.1,6.81
61,Bowman Consulting Group Ltd. (BWMN),235.9K,23.5,1.49,6.77
62,ContextLogic Inc. (LOGC),427.3K,7.51,0.47,6.68
63,Dollar Tree Inc. (DLTR),5.8M,66.0,4.08,6.59
64,Superior Industries International Inc. (SUP),99.1K,2.14,0.13,6.47
65,Zenas BioPharma Inc. (ZBIO),156.2K,8.73,0.52,6.33
66,Groupon Inc. (GRPN),4.4M,14.86,0.88,6.29
67,Savara Inc. (SVRA),1.2M,2.76,0.16,6.15
68,Surmodics Inc. (SRDX),197.6K,28.32,1.61,6.03
69,NovaGold Resources Inc. (NG),2.6M,3.45,0.19,5.83
70,Pharvaris N.V. (PHVS),66.4K,16.91,0.9,5.62
71,Orla Mining Ltd. (ORLA),1.4M,8.29,0.44,5.61
72,Claros Mortgage Trust Inc. (CMTG),3.0M,3.61,0.19,5.56
73,Hello Group Inc. ADR (MOMO),1.5M,7.17,0.37,5.44
