,Unnamed: 0,Volume,Last,Chg,% Chg
74,Blaize Holdings Inc. (BZAI),1.0M,3.49,0.18,5.44
75,Avadel Pharmaceuticals PLC (AVDL),809.9K,8.39,0.43,5.4
76,Fold Holdings Inc. (FLD),73.9K,6.87,0.35,5.37
77,Instil Bio Inc. (TIL),70.1K,19.06,0.97,5.36
78,Scholastic Corp. (SCHL),440.9K,20.05,1.02,5.36
79,Allegro MicroSystems Inc. (ALGM),3.8M,26.24,1.3,5.21
80,B2Gold Corp. (BTG),44.6M,2.9,0.14,5.07
81,Soleno Therapeutics Inc. (SLNO),1.1M,49.03,2.33,4.99
82,Niu Technologies ADR (NIU),661.6K,2.57,0.12,4.9
83,New Gold Inc. (NGD),28.5M,3.23,0.15,4.87
84,Anixa Biosciences Inc. (ANIX),55.4K,2.81,0.13,4.85
85,Wing Yip Food Holdings Group Ltd. ADR (WYHG),59.6K,10.18,0.47,4.84
86,Skyline Builders Group Holding Ltd. Cl A (SKBL),1.9M,10.73,0.49,4.79
87,Ascent Industries Co. (ACNT),124.0K,12.34,0.56,4.75
88,Tourmaline Bio Inc. (TRML),307.5K,17.04,0.77,4.73
89,Green Dot Corp. Cl A (GDOT),1.3M,6.64,0.3,4.73
90,Eason Technology Ltd. ADR (DXF),51.2K,6.26,0.28,4.68
91,Newmont Corp. (NEM),11.8M,45.65,2.02,4.63
92,Cibus Inc. (CBUS),515.2K,2.26,0.1,4.63
93,Medicus Pharma Ltd. (MDCX),54.2K,3.44,0.15,4.56
94,SSR Mining Inc. (SSRM),3.3M,10.7,0.46,4.49
95,Hain Celestial Group Inc. (HAIN),1.7M,4.34,0.18,4.45
96,Eldorado Gold Corp. (EGO),2.0M,15.3,0.65,4.44
97,Vox Royalty Corp. (VOXR),233.0K,2.6,0.11,4.42
98,Heritage Insurance Holdings Inc. (HRTG),250.2K,12.53,0.53,4.42
99,Hycroft Mining Holding Corp. (HYMC),239.7K,2.85,0.12,4.4
