symbol,price,price_change,price_percent_change
QBTS,9.48,2.57,37.12
RBRK,69.03,13.75,24.87
RGTI,10.39,1.64,18.71
DOCU,88.38,13.68,18.31
SMTC,38.12,5.42,16.55
WXXWY,6.89,0.89,14.83
PTON,6.88,0.81,13.33
FNMA,6.14,0.66,12.04
OKLO,26.7,2.75,11.47
WGS,99.38,10.06,11.26
ULTA,350.15,35.68,11.35
FMCKJ,10.99,1.09,11.01
SOUN,9.86,0.95,10.66
IONQ,23.66,2.29,10.72
FMCC,5.07,0.47,10.22
VNET,11.47,1.07,10.24
AUR,6.89,0.63,10.14
CCI,103.03,9.5,10.16
FNMAS,11.28,1.03,10.05
PONY,14.1,1.29,10.11
FNMAT,10.16,0.91,9.84
MSTR,288.61,25.35,9.63
ASR,283.28,24.79,9.59
TEM,46.2,4.03,9.56
FNMAJ,9.55,0.83,9.52
FNMAH,8.9,0.75,9.2
WRD,17.75,1.48,9.09
TNXP,14.85,1.2,8.83
RSI,10.52,0.84,8.68
FMCKI,8.7,0.69,8.61
NU,11.65,0.9,8.42
MARA,13.12,0.97,7.94
FUTU,116.21,8.69,8.08
TGTX,40.01,2.94,7.95
ALAB,70.32,5.0,7.65
FUN,37.73,2.67,7.62
HOOD,38.78,2.76,7.66
ROOT,144.28,10.05,7.49
APP,292.58,20.58,7.57
PLTR,85.37,5.75,7.22
SMMT,20.6,1.41,7.34
CAR,59.55,4.06,7.32
BOLSY,6.46,0.44,7.31
NBIS,28.0,1.83,6.99
FMCKM,8.5,0.56,7.05
CRDO,48.23,3.28,7.3
ACHR,7.76,0.51,6.96
CLF,10.41,0.69,7.04
BEKE,23.97,1.52,6.8
ELF,67.23,4.26,6.77
CE,56.68,3.59,6.76
ASAN,13.77,0.86,6.7
CSAN,5.26,0.33,6.59
OMAB,80.55,4.97,6.58
PETRY,6.14,0.37,6.41
RIOT,7.76,0.45,6.22
LKNCY,33.69,1.98,6.24
FINMY,25.57,1.51,6.28
MP,25.91,1.53,6.26
SMMYY,5.53,0.32,6.14
PSTG,51.48,2.94,6.06
WDC,44.56,2.53,6.02
CVNA,176.75,10.08,6.05
AFRM,49.71,2.81,5.99
MU,100.56,5.68,5.99
BYDDY,99.83,5.47,5.8
LYFT,11.94,0.66,5.9
CZR,28.22,1.59,5.97
BYDDF,50.0,2.76,5.84
CC,14.52,0.82,5.95
LMND,34.42,1.82,5.58
SPOT,568.98,31.08,5.78
STNE,9.76,0.53,5.8
TGS,27.0,1.44,5.63
CVLT,156.72,8.41,5.67
SMCI,41.18,2.1,5.36
OKTA,112.64,6.01,5.64
PEGA,71.96,3.82,5.6
BILL,46.44,2.41,5.47
RKLB,18.52,0.95,5.41
EDU,50.75,2.71,5.64
MANH,172.06,8.56,5.24
VEON,41.93,2.15,5.39
RDDT,127.97,6.44,5.3
PENN,17.12,0.89,5.5
KVYO,33.67,1.67,5.22
SCHW,77.44,3.93,5.35
OTLY,8.8,0.49,5.9
PATH,10.51,0.53,5.37
XP,14.61,0.72,5.22
SOFI,11.98,0.59,5.15
MPNGY,45.02,2.22,5.19
INFA,18.26,0.87,5.0
MKSI,85.4,4.16,5.12
CAVA,77.79,3.72,5.02
QFIN,42.12,2.15,5.37
PNGAY,12.77,0.62,5.1
GWRE,185.04,9.03,5.13
ZLAB,37.99,1.85,5.12
CLS,90.5,4.09,4.73
GKOS,101.47,4.87,5.04
ATAT,31.14,1.52,5.13
SYM,21.58,1.02,4.99
NE,23.59,1.13,5.03
STR,19.6,0.92,4.93
PBR,13.35,0.62,4.87
YPF,35.32,1.61,4.78
AVPT,14.48,0.69,5.0
PAC,192.1,8.85,4.83
MGM,31.65,1.49,4.94
TMDX,67.45,3.1,4.82
ITUB,5.99,0.27,4.72
AS,27.88,1.27,4.77
DAN,14.26,0.65,4.74
FLR,36.6,1.66,4.75
MRX,32.84,1.48,4.72
HPE,15.49,0.72,4.91
GH,42.62,1.99,4.88
CLBT,18.1,0.82,4.75
LW,50.99,2.33,4.8
MDGL,337.96,14.94,4.63
SPSC,128.74,5.68,4.62
FIVN,29.55,1.31,4.62
DAY,54.56,2.38,4.57
ACVA,14.65,0.65,4.64
CRWD,348.0,15.47,4.65
CYBR,336.64,14.49,4.5
VALE,9.85,0.43,4.56
UMC,6.78,0.31,4.71
PEN,272.46,11.83,4.54
DY,154.17,6.7,4.54
ORLA,8.65,0.36,4.34
TSEM,39.1,1.69,4.5
SRRK,36.05,1.5,4.34
CRTO,36.37,1.56,4.48
MPWR,596.04,24.83,4.35
TEAM,217.44,9.44,4.54
VICR,53.26,2.26,4.43
NFE,8.89,0.38,4.47
ARM,116.98,4.93,4.4
SITM,165.71,7.29,4.6
FINV,8.66,0.36,4.4
MNDY,253.22,10.85,4.48
APGE,40.0,1.67,4.36
NVDA,120.52,4.94,4.27
DB,23.99,1.01,4.39
SOC,24.68,1.02,4.33
ENVA,90.81,3.62,4.14
INTR,5.79,0.24,4.32
BL,49.51,2.05,4.32
MT,32.15,1.34,4.36
NUVL,77.74,3.25,4.37
TRMB,69.25,2.86,4.31
LRCX,78.51,3.25,4.33
DLO,8.6,0.37,4.5
AAON,81.69,3.38,4.31
URI,618.88,24.71,4.15
KD,35.16,1.41,4.18
OVV,40.06,1.65,4.31
PODD,255.0,10.33,4.22
RXRX,6.19,0.25,4.25
LSCC,60.38,2.4,4.13
FG,41.96,1.69,4.2
NTRA,148.49,5.98,4.2
PTCT,54.97,2.21,4.19
HWKN,107.33,4.25,4.12
WSC,29.79,1.19,4.16
LPLA,321.71,12.84,4.16
CHKP,223.82,8.93,4.15
LRLCY,80.06,3.19,4.15
IBKR,167.83,6.8,4.22
PTEN,7.93,0.32,4.14
ZK,30.98,1.23,4.13
ADBE,393.75,15.91,4.21
DELL,96.3,3.85,4.16
ACHC,29.33,1.16,4.12
OMF,47.21,1.86,4.1
PBR-A,12.32,0.48,4.08
WK,88.54,3.48,4.09
FRHC,127.15,4.99,4.08
MNSO,20.52,0.81,4.08
PRCT,58.37,2.34,4.18
GXO,40.74,1.6,4.1
UPST,48.16,1.85,3.99
NOW,845.02,33.4,4.12
ZETA,14.25,0.55,4.0
PAGS,7.8,0.31,4.07
TRGP,190.23,7.37,4.03
VAL,37.78,1.47,4.05
USAC,26.45,1.01,3.99
THO,79.87,3.1,4.04
WNS,61.45,2.19,3.7
VIV,8.88,0.34,3.92
KLAC,708.62,27.12,3.98
ONTO,140.01,5.34,3.97
RUM,7.86,0.29,3.9
ELP,7.22,0.28,3.96
AROC,25.01,0.95,3.97
LB,70.1,2.66,3.94
ACAD,17.44,0.66,3.96
