symbol,price,price_change,price_percent_change
INTC,23.84,3.16,15.28
FN,225.9,24.02,11.9
DLTR,65.81,3.89,6.27
DG,78.65,3.8,5.08
NEM,45.9,2.27,5.2
MRCY,44.16,2.06,4.89
BVN,14.26,0.61,4.51
SSRM,10.68,0.44,4.25
XPEV,25.7,0.97,3.92
ALGM,25.92,0.98,3.93
FCX,38.22,1.44,3.92
AES,12.27,0.44,3.72
ORLA,8.14,0.29,3.69
CDE,5.93,0.22,3.77
VOD,9.49,0.33,3.62
SLNO,48.49,1.78,3.82
EGO,15.16,0.52,3.52
ALKT,25.1,0.82,3.38
FIS,70.38,2.26,3.32
GOLD,18.93,0.59,3.24
AU,32.66,1.01,3.19
SCCO,93.15,2.82,3.12
HL,5.79,0.22,3.95
OR,19.56,0.59,3.11
