symbol,price,price_change,price_percent_change
AVAH,5.06,1.32,35.25
CRVO,7.61,1.44,23.34
MGTX,7.9,1.49,23.24
INTC,23.65,2.97,14.36
HMR,2.87,0.32,12.56
CRNT,2.74,0.25,10.04
SSP,2.24,0.19,9.22
HCAT,4.64,0.21,4.74
GRRR,29.26,1.32,4.72
SHLS,3.08,0.14,4.59
EH,22.43,0.8,3.7
FNKO,7.64,0.26,3.52
TARS,48.5,1.41,2.98
DLTR,63.75,1.83,2.96
MRNA,35.89,0.88,2.51
QUBT,5.55,0.13,2.38
SOUN,9.34,0.21,2.3
ACHR,7.62,0.14,1.8
SSRM,10.41,0.17,1.66
DJT,20.39,0.32,1.59
IREN,7.15,0.11,1.56
AZN,76.51,0.94,1.24
MSTR,265.21,2.67,1.02
SNV,45.24,0.45,1.0
NGD,3.11,0.03,0.98
MU,96.46,0.82,0.86
SOFI,12.02,0.1,0.84
VOD,9.24,0.07,0.82
EOSE,4.14,0.03,0.73
NVDA,116.49,0.75,0.65
MARA,13.19,0.08,0.61
AAL,10.99,0.06,0.59
RGTI,9.0,0.05,0.56
JBLU,5.57,0.03,0.54
ADMA,18.6,0.1,0.54
TEM,45.74,0.24,0.53
HBAN,14.62,0.07,0.52
ARM,113.27,0.57,0.51
EXC,42.82,0.21,0.5
SFIX,4.02,0.02,0.5
CLSK,8.14,0.04,0.49
LUMN,5.0,0.02,0.4
BAC,40.06,0.15,0.39
AGNC,10.12,0.04,0.35
FCPT,27.78,0.1,0.34
JD,40.51,0.14,0.33
AVGO,194.83,0.6,0.31
UAL,72.68,0.22,0.3
CLOV,3.62,0.01,0.28
BTBT,2.34,0.01,0.21
PEP,148.38,0.2,0.14
AMAT,149.24,0.18,0.12
GRAB,4.22,0.01,0.12
ELAN,10.4,0.01,0.1
SBLK,16.52,0.01,0.09
MRVL,69.91,0.06,0.09
ARCC,21.76,0.01,0.07
KHC,30.31,0.01,0.03
VTRS,9.24,0.0,0.0
WBA,11.2,0.0,0.0
KDP,32.81,0.0,0.0
NU,10.89,0.0,0.0
KO,69.92,-0.02,-0.03
MSFT,383.07,-0.2,-0.05
PFE,25.69,-0.02,-0.08
CMCSA,35.16,-0.03,-0.09
DKNG,38.58,-0.05,-0.13
GILD,113.8,-0.19,-0.17
DXCM,70.62,-0.14,-0.19
SBUX,98.5,-0.19,-0.19
CCCS,9.11,-0.02,-0.22
LIN,448.56,-1.11,-0.25
QCOM,152.41,-0.39,-0.25
RIOT,7.83,-0.02,-0.25
BKR,42.37,-0.11,-0.26
GEN,26.63,-0.07,-0.26
CSX,29.47,-0.08,-0.27
NOK,5.19,-0.01,-0.27
APLD,6.6,-0.02,-0.3
NWL,6.56,-0.02,-0.3
CLF,9.76,-0.03,-0.31
RXRX,6.15,-0.02,-0.32
META,617.48,-2.08,-0.34
LYFT,11.57,-0.04,-0.34
CSCO,60.23,-0.23,-0.38
APP,271.53,-1.06,-0.39
MDLZ,64.7,-0.28,-0.43
ON,42.66,-0.18,-0.43
RKLB,18.32,-0.11,-0.6
CIFR,3.18,-0.01,-0.47
IONQ,21.71,-0.11,-0.5
SMCI,42.25,-0.22,-0.52
WDC,42.74,-0.23,-0.52
FAST,75.56,-0.43,-0.57
RDFN,10.32,-0.06,-0.58
APA,19.53,-0.12,-0.61
ERIC,7.97,-0.05,-0.63
AFRM,48.49,-0.32,-0.66
PYPL,68.17,-0.46,-0.66
AMZN,197.52,-1.36,-0.69
