symbol,price,price_change,price_percent_change
PTGX,55.95,17.6,45.89
VRN,5.68,0.77,15.68
DNBBF,25.62,1.99,8.42
MWA,26.92,1.87,7.45
KTOS,29.18,1.89,6.93
BECN,118.52,7.42,6.68
WSC,29.76,1.69,6.02
BLTE,66.95,3.76,5.95
TTC,77.32,4.07,5.55
LSRCY,19.95,1.04,5.5
REGN,744.83,37.32,5.27
AES,11.78,0.53,4.76
STVN,22.66,1.1,5.1
ELF,73.98,3.3,4.67
AMKBY,9.55,0.43,4.71
NEE,76.18,3.35,4.6
DRPRY,6.2,0.26,4.38
EQNR,24.16,0.99,4.27
NSP,94.21,3.85,4.26
SCI,84.15,3.29,4.07
WES,40.53,1.62,4.15
FIZZ,42.56,1.69,4.14
CWEN-A,26.98,1.06,4.09
APGE,37.54,1.4,3.87
HOG,27.14,1.05,4.02
NEE-PR,43.24,1.65,3.97
ENLT,17.11,0.5,3.01
ETSY,48.65,1.85,3.95
CWEN,28.65,1.03,3.73
RRC,36.48,1.26,3.58
ORA,73.03,2.39,3.38
GOLF,70.85,2.34,3.42
TNXP,13.47,0.45,3.46
LNTH,110.01,3.67,3.45
BEPC,28.64,0.97,3.49
SMCAY,19.48,0.63,3.34
AAP,36.58,1.21,3.42
DVA,151.9,4.88,3.32
BMY,63.15,2.06,3.37
SOBO,24.84,0.79,3.28
EXE,99.09,3.06,3.19
AR,34.71,1.07,3.18
CME,262.28,7.71,3.03
