,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,50.06 +11.71 (+30.52%),11.71,+30.52%,795037,725662,3.073B,11.83,27.32%,
1,VRN,Veren Inc.,,5.56 +0.65 (+13.22%),0.65,+13.22%,5.198M,16.737M,3.422B,17.38,-34.97%,
2,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.25 +1.23 (+9.45%),1.23,+9.45%,376875,1.975M,79.664M,-,-98.87%,
3,BECN,"Beacon Roofing Supply, Inc.",,120.50 +9.40 (+8.46%),9.4,+8.46%,496868,821962,7.421B,21.21,30.12%,
4,MOD,Modine Manufacturing Company,,77.14 -3.66 (-4.53%),-3.66,-4.53%,42074,1.284M,4.056B,25.97,-0.62%,
5,WSC,WillScot Holdings Corporation,,29.37 +1.30 (+4.64%),1.3,+4.64%,368274,2.445M,5.392B,195.82,-39.04%,
6,EQNR,Equinor ASA,,24.17 +1.00 (+4.30%),1.0,+4.30%,538338,3.958M,65.63B,7.77,-10.47%,
7,NSANY,"Nissan Motor Co., Ltd.",,5.95 +0.26 (+4.57%),0.26,+4.57%,30190,553934,10.39B,15.66,-17.70%,
8,IMPUY,Impala Platinum Holdings Limited,,6.35 +0.27 (+4.44%),0.27,+4.44%,1000,213374,5.808B,-,67.11%,
9,LKNCY,Luckin Coffee Inc.,,29.98 +1.11 (+3.84%),1.11,+3.84%,299875,1.797M,8.419B,23.61,54.54%,
10,NEE-PR,"NextEra Energy, Inc.",,41.59 +1.39 (+3.46%),1.39,+3.46%,34867,129112,--,-,14.73%,
11,ESI,Element Solutions Inc,,25.75 +0.90 (+3.61%),0.9,+3.61%,108959,1.476M,6.243B,25.75,3.63%,
