,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,55.51 +17.16 (+44.78%),17.16,+44.78%,3.968M,725662,3.407B,13.12,27.32%,
1,VRN,Veren Inc.,,5.60 +0.69 (+14.05%),0.69,+14.05%,55.256M,16.737M,3.447B,17.50,-34.97%,
2,ELF,"e.l.f. Beauty, Inc.",,76.32 +5.64 (+7.98%),5.64,+7.98%,3.331M,2.645M,4.304B,45.70,-63.56%,
3,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
4,MWA,"Mueller Water Products, Inc.",,26.83 +1.78 (+7.12%),1.78,+7.12%,3.246M,1.336M,4.202B,30.84,59.35%,
5,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.20 +1.91 (+6.99%),1.91,+6.99%,4.35M,2.069M,4.463B,265.44,50.44%,
6,BECN,"Beacon Roofing Supply, Inc.",,119.00 +7.90 (+7.11%),7.9,+7.11%,3.097M,821962,7.328B,20.95,30.12%,
7,WSC,WillScot Holdings Corporation,,29.74 +1.67 (+5.95%),1.67,+5.95%,4.981M,2.445M,5.46B,198.27,-39.04%,
8,BLTE,"Belite Bio, Inc",,67.00 +3.81 (+6.03%),3.81,+6.03%,123683,39818,2.133B,-,41.68%,
9,AES,The AES Corporation,,11.90 +0.65 (+5.73%),0.65,+5.73%,12.091M,15.023M,8.458B,5.02,-31.36%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.65 +0.53 (+5.81%),0.53,+5.81%,93063,201637,29.488B,5.00,31.27%,
11,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.74 +0.72 (+5.53%),0.72,+5.53%,2.034M,1.975M,76.813M,-,-98.87%,
12,LSRCY,Lasertec Corporation,,19.94 +1.03 (+5.45%),1.03,+5.45%,23287,116200,8.992B,16.62,-62.68%,
13,ENPH,"Enphase Energy, Inc.",,64.56 +2.93 (+4.76%),2.93,+4.76%,4.468M,4.035M,8.552B,86.08,-52.11%,
14,TTC,The Toro Company,,76.74 +3.49 (+4.76%),3.49,+4.76%,1.079M,1.078M,7.66B,19.63,-17.41%,
15,SCI,Service Corporation International,,84.75 +3.89 (+4.81%),3.89,+4.81%,1.203M,1.141M,12.222B,24.01,7.66%,
16,AAP,"Advance Auto Parts, Inc.",,37.01 +1.64 (+4.62%),1.64,+4.62%,2.717M,2.144M,2.213B,-,-53.32%,
17,FIZZ,National Beverage Corp.,,42.79 +1.92 (+4.70%),1.92,+4.70%,197024,185420,4.006B,21.50,-15.87%,
18,NSP,"Insperity, Inc.",,94.53 +4.17 (+4.61%),4.17,+4.61%,439559,439558,3.519B,39.06,-10.39%,
19,DFH,"Dream Finders Homes, Inc.",,26.42 +1.05 (+4.14%),1.05,+4.14%,374977,552039,2.469B,7.91,-33.85%,
20,REGN,"Regeneron Pharmaceuticals, Inc.",,738.40 +30.89 (+4.37%),30.89,+4.37%,863704,899898,80.726B,19.25,-26.64%,
21,LNTH,"Lantheus Holdings, Inc.",,110.78 +4.44 (+4.18%),4.44,+4.18%,1.008M,901577,7.586B,25.41,69.55%,
22,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.18 +0.24 (+4.04%),0.24,+4.04%,19053,264724,28.15B,13.15,-32.54%,
23,EQNR,Equinor ASA,,24.08 +0.91 (+3.91%),0.91,+3.91%,3.887M,3.958M,65.385B,7.74,-10.47%,
24,NEE,"NextEra Energy, Inc.",,75.62 +2.79 (+3.83%),2.79,+3.83%,12.648M,10.844M,155.553B,22.44,25.85%,
25,SMCAY,SMC Corporation,,19.58 +0.73 (+3.87%),0.73,+3.87%,69380,646891,24.961B,23.04,-35.33%,
26,AWK,"American Water Works Company, Inc.",,150.74 +5.34 (+3.67%),5.34,+3.67%,1.833M,1.32M,29.386B,27.97,20.83%,
27,ADM,Archer-Daniels-Midland Company,,51.20 +1.76 (+3.56%),1.76,+3.56%,3.944M,3.641M,24.561B,14.03,-9.96%,
28,RMD,ResMed Inc.,,240.84 +8.40 (+3.61%),8.4,+3.61%,935892,930212,35.371B,28.47,22.50%,
29,ETSY,"Etsy, Inc.",,48.47 +1.67 (+3.56%),1.67,+3.56%,3.184M,3.736M,5.189B,20.62,-35.82%,
30,ASO,"Academy Sports and Outdoors, Inc.",,50.83 +1.59 (+3.23%),1.59,+3.23%,1.847M,1.586M,3.527B,8.40,-28.02%,
31,CWEN-A,"Clearway Energy, Inc.",,26.76 +0.84 (+3.26%),0.84,+3.26%,318159,192033,5.63B,35.69,25.10%,
32,ENLT,Enlight Renewable Energy Ltd,,17.19 +0.58 (+3.52%),0.58,+3.52%,15451,19093,2.045B,47.76,-6.05%,
33,HCA,"HCA Healthcare, Inc.",,341.39 +11.24 (+3.40%),11.24,+3.40%,1.609M,1.613M,84.78B,15.52,2.77%,
34,NOC,Northrop Grumman Corporation,,503.03 +16.51 (+3.39%),16.51,+3.39%,932618,926800,72.817B,17.74,5.94%,
35,NEE-PR,"NextEra Energy, Inc.",,42.98 +1.39 (+3.34%),1.39,+3.34%,54991,129112,--,-,14.73%,
36,OTTR,Otter Tail Corporation,,83.64 +2.45 (+3.02%),2.45,+3.02%,226835,247098,3.502B,11.67,-2.47%,
