,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
37,KVUE,Kenvue Inc.,,24.18 +0.76 (+3.27%),0.76,+3.27%,9.209M,13.716M,46.223B,44.79,16.23%,
38,GIS,"General Mills, Inc.",,66.62 +2.12 (+3.29%),2.12,+3.29%,4.698M,4.883M,36.723B,14.48,-1.77%,
39,CWEN,"Clearway Energy, Inc.",,28.45 +0.83 (+3.02%),0.83,+3.02%,834648,856917,5.617B,37.94,23.91%,
40,ORA,"Ormat Technologies, Inc.",,72.85 +2.21 (+3.12%),2.21,+3.12%,519804,665472,4.407B,35.71,4.25%,
41,WES,"Western Midstream Partners, LP",,40.17 +1.25 (+3.21%),1.25,+3.21%,1.239M,1.329M,15.318B,9.99,14.50%,
42,MRNA,"Moderna, Inc.",,36.73 +1.12 (+3.15%),1.12,+3.15%,8.486M,11.547M,14.171B,-,-68.20%,
43,AEP,"American Electric Power Company, Inc.",,107.96 +3.34 (+3.19%),3.34,+3.19%,2.771M,3.197M,57.565B,19.35,24.95%,
44,GOLF,Acushnet Holdings Corp.,,70.71 +2.19 (+3.21%),2.19,+3.21%,312935,486168,4.237B,20.98,8.68%,
45,ED,"Consolidated Edison, Inc.",,106.83 +3.19 (+3.08%),3.19,+3.08%,1.877M,2.608M,37.72B,20.39,14.14%,
46,PPC,Pilgrim's Pride Corporation,,56.20 +1.58 (+2.88%),1.58,+2.88%,682561,1.171M,13.325B,12.30,66.22%,
47,NTOIY,Neste Oyj,,5.0000 +0.1500 (+3.09%),0.15,+3.09%,30443,168089,7.682B,-,-64.73%,
48,COTY,Coty Inc.,,6.01 +0.16 (+2.82%),0.16,+2.82%,4.266M,6.507M,5.245B,-,-53.86%,
49,MGEE,"MGE Energy, Inc.",,92.72 +2.76 (+3.07%),2.76,+3.07%,120346,164260,3.385B,27.85,13.73%,
50,D,"Dominion Energy, Inc.",,56.87 +1.65 (+2.98%),1.65,+2.98%,3.057M,4.609M,48.452B,25.85,15.91%,
51,CAG,"Conagra Brands, Inc.",,28.03 +0.80 (+2.94%),0.8,+2.94%,6.06M,5.714M,13.379B,27.21,-4.56%,
52,UAA,"Under Armour, Inc.",,7.28 +0.20 (+2.75%),0.2,+2.75%,8.122M,10.564M,2.991B,-,-14.70%,
53,MUSA,Murphy USA Inc.,,469.67 +14.22 (+3.12%),14.22,+3.12%,148411,218150,9.401B,19.50,12.27%,
