,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),13.0M,10.2,6.0,142.75
1,Heidmar Maritime Holdings Corp. (HMR),57.3M,4.41,1.86,72.92
2,Micropolis Holding Co. (MCRP),609.6K,3.85,1.3,51.24
3,LZ Technology Holdings Ltd. Cl B (LZMH),180.2K,10.88,2.7,33.05
4,E.W. Scripps Co. Cl A (SSP),6.6M,2.69,0.64,31.22
5,Aveanna Healthcare Holdings Inc. (AVAH),2.1M,4.89,1.15,30.75
6,Wang & Lee Group Inc. (WLGS),621.0K,4.06,0.94,30.13
7,Quantum Corp. (QMCO),1.9M,14.63,3.37,29.93
8,MeiraGTx Holdings PLC (MGTX),4.4M,8.12,1.71,26.6
9,U-BX Technology Ltd. (UBXG),83.1K,3.79,0.67,21.49
10,FreightCar America Inc. (RAIL),798.6K,7.46,1.23,19.74
11,Currenc Group Inc. (CURR),738.7K,3.57,0.58,19.4
12,Exicure Inc. (XCUR),54.3K,12.5,1.93,18.26
13,D-Wave Quantum Inc. (QBTS),79.9M,6.82,1.0,17.18
14,OptimizeRx Corp. (OPRX),1.9M,7.3,1.02,16.24
15,First Financial Northwest Inc. (FFNW),84.2K,22.57,3.02,15.45
16,Amber International Holding Ltd. ADR (AMBR),169.1K,10.66,1.42,15.38
17,Intel Corp. (INTC),160.8M,23.83,3.15,15.23
18,Yatsen Holding Ltd. ADR (YSG),327.6K,4.96,0.65,15.08
19,iHuman Inc. ADR (IH),241.4K,2.52,0.31,14.03
20,Algorhythm Holdings Inc. (RIME),374.0K,2.4,0.29,13.89
21,Yoshiharu Global Co. (YOSH),85.1K,16.81,1.93,12.97
22,Blade Air Mobility Inc. (BLDE),1.6M,3.19,0.36,12.78
23,Perma-Fix Environmental Services Inc. (PESI),102.7K,8.16,0.92,12.71
24,Fabrinet (FN),960.4K,225.9,24.02,11.9
25,Concrete Pumping Holdings Inc. (BBCP),302.4K,5.54,0.58,11.69
26,Professional Diversity Network Inc. (IPDN),106.6K,2.33,0.23,10.79
