,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,DOCU,"DocuSign, Inc.",,81.46 +6.76 (+9.05%),6.76,+9.05%,507516,2.476M,16.457B,16.04,31.58%,
1,ULTA,"Ulta Beauty, Inc.",,340.51 +26.04 (+8.30%),26.04,+8.30%,161500,922801,15.79B,13.43,-41.33%,
2,BEKE,KE Holdings Inc.,,24.27 +1.83 (+8.16%),1.83,+8.16%,684300,8.132M,29.066B,49.53,59.94%,
3,EDU,New Oriental Education & Technology Group Inc.,,51.66 +3.62 (+7.54%),3.62,+7.54%,67319,1.922M,8.448B,22.46,-47.70%,
4,OKLO,Oklo Inc.,,25.41 +1.46 (+6.09%),1.46,+6.09%,762477,18.59M,3.476B,-,123.00%,
5,IONQ,"IonQ, Inc.",,22.53 +1.16 (+5.42%),1.16,+5.42%,2.29M,25.857M,5.382B,-,129.54%,
6,ALGM,"Allegro MicroSystems, Inc.",,26.64 +0.40 (+1.52%),0.4,+1.52%,25250,3.078M,4.905B,-,-4.58%,
7,FUTU,Futu Holdings Limited,,115.04 +7.52 (+7.01%),7.52,+7.01%,294049,2.536M,15.867B,23.01,98.19%,
8,MNSO,MINISO Group Holding Limited,,20.73 +1.01 (+5.11%),1.01,+5.11%,42769,1.026M,6.545B,20.94,0.10%,
9,HSAI,Hesai Group,,21.05 +0.49 (+2.38%),0.49,+2.38%,256227,3.963M,2.683B,-,343.10%,
10,SSRM,SSR Mining Inc.,,10.69 -0.01 (-0.14%),-0.01,-0.14%,156334,2.754M,2.171B,-,168.84%,
11,APP,AppLovin Corporation,,284.44 +12.44 (+4.57%),12.44,+4.57%,299739,6.975M,96.698B,62.65,330.86%,
12,CVNA,Carvana Co.,,174.28 +7.61 (+4.57%),7.61,+4.57%,734188,4.085M,20.382B,110.30,109.44%,
13,JD,"JD.com, Inc.",,42.94 +1.70 (+4.12%),1.7,+4.12%,1.205M,12.423M,64.476B,11.61,50.24%,
14,SHOP,Shopify Inc.,,93.48 +2.89 (+3.19%),2.89,+3.19%,294676,8.033M,121.601B,60.31,17.42%,
15,SYM,Symbotic Inc.,,21.31 +0.75 (+3.61%),0.75,+3.61%,50542,2.089M,12.537B,-,-54.67%,
16,MSTR,MicroStrategy Incorporated,,274.66 +11.40 (+4.33%),11.4,+4.33%,680498,19.581M,71.527B,-,47.70%,
17,MU,"Micron Technology, Inc.",,100.24 +5.36 (+5.64%),5.36,+5.64%,1.509M,24.713M,111.679B,28.72,1.75%,
18,FINV,FinVolution Group,,8.61 +0.31 (+3.80%),0.31,+3.80%,28498,780386,2.239B,7.49,64.36%,
19,TEM,"Tempus AI, Inc.",,43.75 +1.58 (+3.76%),1.58,+3.76%,707230,12.337M,7.534B,-,4.76%,
20,RGTI,"Rigetti Computing, Inc.",,9.15 +0.40 (+4.57%),0.4,+4.57%,3.577M,138.127M,2.615B,-,345.29%,
21,PONY,Pony AI Inc.,,13.35 +0.54 (+4.22%),0.54,+4.22%,46268,1.333M,4.657B,-,6.75%,
22,CC,The Chemours Company,,14.24 +0.54 (+3.94%),0.54,+3.94%,49621,2.021M,2.128B,24.98,-49.52%,
23,VRT,Vertiv Holdings Co,,87.31 +4.22 (+5.08%),4.22,+5.08%,188071,9.808M,33.246B,68.21,12.04%,
24,AES,The AES Corporation,,12.43 +0.15 (+1.22%),0.15,+1.22%,219075,15.243M,8.849B,5.24,-18.19%,
25,PDD,PDD Holdings Inc.,,122.65 +3.89 (+3.28%),3.89,+3.28%,455880,8.613M,170.333B,12.12,-4.02%,
26,SMCI,"Super Micro Computer, Inc.",,40.63 +1.55 (+3.97%),1.55,+3.97%,2.71M,72.059M,24.113B,17.67,-63.44%,
27,VIST,"Vista Energy, S.A.B. de C.V.",,49.16 +1.81 (+3.82%),1.81,+3.82%,28122,916998,4.75B,10.62,16.20%,
28,ABM,ABM Industries Incorporated,,47.06 +1.55 (+3.41%),1.55,+3.41%,3665,412479,2.929B,37.06,11.23%,
29,ZTO,ZTO Express (Cayman) Inc.,,20.06 +0.65 (+3.35%),0.65,+3.35%,422552,2.565M,15.949B,13.93,-11.00%,
30,UPST,"Upstart Holdings, Inc.",,48.08 +1.77 (+3.82%),1.77,+3.82%,156596,5.871M,4.505B,-,95.98%,
31,SARO,"StandardAero, Inc.",,29.01 +0.03 (+0.12%),0.03,+0.12%,7619,1.586M,9.704B,725.38,-11.51%,
32,NOC,Northrop Grumman Corporation,,487.98 -2.61 (-0.53%),-2.61,-0.53%,12835,953698,70.639B,17.21,6.25%,
33,SAN,"Banco Santander, S.A.",,6.66 +0.21 (+3.26%),0.21,+3.26%,484567,4.633M,101.742B,7.93,45.93%,
34,BILL,"BILL Holdings, Inc.",,45.42 +1.39 (+3.16%),1.39,+3.16%,34664,3.514M,4.63B,116.46,-31.89%,
35,AFRM,"Affirm Holdings, Inc.",,48.54 +1.64 (+3.51%),1.64,+3.51%,132115,6.947M,15.539B,-,39.13%,
36,TEAM,Atlassian Corporation,,213.95 +5.95 (+2.86%),5.95,+2.86%,32564,2.135M,56.055B,-,6.98%,
37,TCOM,Trip.com Group Limited,,62.96 +2.16 (+3.55%),2.16,+3.55%,77017,3.688M,40.994B,18.46,40.03%,
