symbol,price,price_change,price_percent_change
RDUS,27.99,14.33,104.9
QBTS,10.17,3.26,47.18
AAOI,22.1,6.22,39.22
USAR,14.06,3.27,30.37
GRRR,33.63,7.72,29.8
QUBT,7.07,1.58,28.78
RGTI,11.24,2.48,28.4
HCAI,8.26,1.81,28.02
RBRK,70.53,15.25,27.59
AIFF,4.33,0.87,25.14
WEST,6.88,1.37,24.86
BTMD,3.76,0.69,22.48
LAES,3.34,0.59,21.72
KINS,16.62,2.95,21.58
DM,2.48,0.44,21.57
DXF,7.61,1.35,21.57
SMTC,39.58,6.87,21.0
JFIN,11.88,2.05,20.85
CJMB,5.31,0.91,20.77
JL,4.72,0.8,20.36
IRBT,3.66,0.61,19.97
PLCE,8.41,1.33,18.78
MAXN,3.69,0.58,18.65
CDLX,2.45,0.38,18.36
SNBR,7.33,1.12,18.04
PD,18.4,2.79,17.91
TSAT,25.2,3.81,17.81
IONQ,25.12,3.75,17.57
GDOT,7.76,1.11,16.79
CSAI,5.2,0.74,16.7
EDBL,2.8,0.4,16.67
PTON,7.07,1.0,16.43
SOUN,10.35,1.44,16.16
LX,10.53,1.46,16.1
CNSP,3.14,0.43,15.87
OKLO,27.75,3.8,15.87
ARQQ,14.98,2.01,15.5
RCAT,5.68,0.76,15.45
ZJK,5.02,0.67,15.4
MTEN,5.78,0.77,15.37
SHCO,5.98,0.79,15.22
PTHL,4.18,0.55,15.15
IH,2.98,0.39,15.06
SMR,17.5,2.29,15.06
WOLF,5.88,0.77,14.97
DOCU,85.71,11.01,14.74
LTBR,9.36,1.2,14.71
EGY,4.32,0.54,14.12
PDYN,7.36,0.91,14.11
SNOA,3.51,0.43,14.0
ULTA,357.65,43.18,13.73
NOTV,2.98,0.36,13.71
ALT,5.91,0.71,13.65
BNED,9.91,1.19,13.57
NRXP,2.35,0.28,13.48
FEIM,15.96,1.9,13.48
LSF,5.34,0.63,13.38
SNDK,54.9,6.46,13.33
WRD,18.43,2.16,13.28
RDW,10.62,1.24,13.22
HTZ,3.82,0.45,13.2
CANG,3.74,0.44,13.19
MSTR,297.77,34.51,13.11
TTAN,93.11,10.77,13.08
ALTS,4.62,0.53,12.99
UMAC,6.39,0.73,12.9
ROOT,151.34,17.11,12.75
PSQH,2.66,0.3,12.71
PANL,5.44,0.6,12.5
SGHT,2.7,0.3,12.47
HGBL,2.35,0.26,12.44
GENK,6.34,0.69,12.21
FLD,7.7,0.83,12.07
APLD,7.04,0.76,12.02
WRAP,2.25,0.24,12.0
VERI,2.62,0.28,11.97
CRVO,6.48,0.69,11.92
LASE,3.59,0.38,11.9
TEM,47.16,5.0,11.86
AUR,7.0,0.74,11.82
INOD,48.22,5.08,11.79
YOSH,20.11,2.12,11.75
ATLC,48.84,5.13,11.74
VNET,11.62,1.22,11.68
CAR,61.97,6.48,11.68
NVTS,2.5,0.26,11.61
BYON,5.62,0.58,11.61
OSS,2.9,0.3,11.54
ALGS,11.44,1.16,11.28
TBH,4.86,0.49,11.21
EEX,4.06,0.41,11.1
EH,24.18,2.41,11.07
POET,3.92,0.39,11.03
AFYA,18.0,1.78,11.0
MCTR,7.77,0.76,10.88
ASR,286.6,28.11,10.87
RSI,10.72,1.04,10.8
NBR,43.44,4.21,10.72
CRGO,2.44,0.23,10.68
CMTG,4.0,0.39,10.78
