,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
26,AWK,"American Water Works Company, Inc.",,150.71 +5.31 (+3.65%),5.31,+3.65%,1.838M,1.32M,29.381B,27.96,20.83%,
27,RMD,ResMed Inc.,,240.87 +8.43 (+3.63%),8.43,+3.63%,937634,930212,35.376B,28.47,22.50%,
28,ETSY,"Etsy, Inc.",,48.43 +1.63 (+3.48%),1.63,+3.48%,3.19M,3.736M,5.185B,20.61,-35.82%,
29,ADM,Archer-Daniels-Midland Company,,51.13 +1.69 (+3.43%),1.69,+3.43%,3.956M,3.641M,24.53B,14.01,-9.96%,
30,ENLT,Enlight Renewable Energy Ltd,,17.19 +0.58 (+3.52%),0.58,+3.52%,15451,19093,2.045B,47.76,-6.05%,
31,CWEN-A,"Clearway Energy, Inc.",,26.76 +0.84 (+3.24%),0.84,+3.24%,318349,192033,5.628B,35.68,25.10%,
32,HCA,"HCA Healthcare, Inc.",,341.22 +11.07 (+3.35%),11.07,+3.35%,1.613M,1.613M,84.739B,15.52,2.77%,
33,NOC,Northrop Grumman Corporation,,503.03 +16.51 (+3.39%),16.51,+3.39%,932883,926800,72.817B,17.74,5.94%,
34,NEE-PR,"NextEra Energy, Inc.",,42.98 +1.39 (+3.34%),1.39,+3.34%,54991,129112,--,-,14.73%,
35,KVUE,Kenvue Inc.,,24.17 +0.75 (+3.20%),0.75,+3.20%,9.234M,13.716M,46.195B,44.76,16.23%,
36,ORA,"Ormat Technologies, Inc.",,72.84 +2.20 (+3.11%),2.2,+3.11%,521575,665472,4.407B,35.71,4.25%,
37,GIS,"General Mills, Inc.",,66.59 +2.09 (+3.24%),2.09,+3.24%,4.714M,4.883M,36.706B,14.48,-1.77%,
38,ASO,"Academy Sports and Outdoors, Inc.",,50.87 +1.63 (+3.31%),1.63,+3.31%,1.848M,1.586M,3.53B,8.41,-28.02%,
39,WES,"Western Midstream Partners, LP",,40.16 +1.24 (+3.19%),1.24,+3.19%,1.24M,1.329M,15.314B,9.99,14.50%,
40,AEP,"American Electric Power Company, Inc.",,107.99 +3.36 (+3.22%),3.36,+3.22%,2.783M,3.197M,57.579B,19.35,24.95%,
41,GOLF,Acushnet Holdings Corp.,,70.61 +2.10 (+3.07%),2.1,+3.07%,314929,486168,4.232B,20.95,8.68%,
42,MRNA,"Moderna, Inc.",,36.66 +1.05 (+2.95%),1.05,+2.95%,8.503M,11.547M,14.144B,-,-68.20%,
43,ED,"Consolidated Edison, Inc.",,106.83 +3.19 (+3.08%),3.19,+3.08%,1.879M,2.608M,37.72B,20.39,14.14%,
44,MUSA,Murphy USA Inc.,,469.67 +14.22 (+3.12%),14.22,+3.12%,148749,218150,9.401B,19.50,12.27%,
45,OTTR,Otter Tail Corporation,,83.64 +2.45 (+3.02%),2.45,+3.02%,226880,247098,3.502B,11.67,-2.47%,
46,NTOIY,Neste Oyj,,5.0000 +0.1500 (+3.09%),0.15,+3.09%,30443,168089,7.682B,-,-64.73%,
47,COTY,Coty Inc.,,6.02 +0.17 (+2.83%),0.17,+2.83%,4.268M,6.507M,5.245B,-,-53.86%,
48,MGEE,"MGE Energy, Inc.",,92.72 +2.76 (+3.07%),2.76,+3.07%,120400,164260,3.385B,27.85,13.73%,
49,CWEN,"Clearway Energy, Inc.",,28.45 +0.83 (+3.01%),0.83,+3.01%,835481,856917,5.616B,37.93,23.91%,
