,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,55.40 +17.05 (+44.46%),17.05,+44.46%,3.97M,725662,3.401B,13.10,27.32%,
1,VRN,Veren Inc.,,5.59 +0.68 (+13.85%),0.68,+13.85%,55.278M,16.737M,3.441B,17.47,-34.97%,
2,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
3,ELF,"e.l.f. Beauty, Inc.",,76.32 +5.64 (+7.98%),5.64,+7.98%,3.335M,2.645M,4.304B,45.70,-63.56%,
4,MWA,"Mueller Water Products, Inc.",,26.82 +1.77 (+7.07%),1.77,+7.07%,3.252M,1.336M,4.2B,30.83,59.35%,
5,BECN,"Beacon Roofing Supply, Inc.",,119.00 +7.90 (+7.11%),7.9,+7.11%,3.097M,821962,7.328B,20.95,30.12%,
6,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.23 +1.94 (+7.11%),1.94,+7.11%,4.355M,2.069M,4.468B,265.73,50.44%,
7,BLTE,"Belite Bio, Inc",,67.00 +3.81 (+6.03%),3.81,+6.03%,123703,39818,2.133B,-,41.68%,
8,WSC,WillScot Holdings Corporation,,29.71 +1.64 (+5.84%),1.64,+5.84%,4.988M,2.445M,5.454B,198.07,-39.04%,
9,AES,The AES Corporation,,11.88 +0.63 (+5.60%),0.63,+5.60%,12.128M,15.023M,8.448B,5.01,-31.36%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.65 +0.53 (+5.81%),0.53,+5.81%,93063,201637,29.488B,5.00,31.27%,
11,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.72 +0.69 (+5.34%),0.69,+5.34%,2.035M,1.975M,76.673M,-,-98.87%,
12,LSRCY,Lasertec Corporation,,19.94 +1.03 (+5.45%),1.03,+5.45%,23287,116200,8.992B,16.62,-62.68%,
13,TTC,The Toro Company,,76.75 +3.50 (+4.78%),3.5,+4.78%,1.081M,1.078M,7.661B,19.63,-17.41%,
14,SCI,Service Corporation International,,84.93 +4.07 (+5.04%),4.07,+5.04%,1.209M,1.141M,12.249B,24.06,7.66%,
15,ENPH,"Enphase Energy, Inc.",,64.33 +2.70 (+4.38%),2.7,+4.38%,4.49M,4.035M,8.522B,85.77,-52.11%,
16,FIZZ,National Beverage Corp.,,42.79 +1.92 (+4.70%),1.92,+4.70%,197473,185420,4.006B,21.50,-15.87%,
17,AAP,"Advance Auto Parts, Inc.",,36.96 +1.59 (+4.50%),1.59,+4.50%,2.72M,2.144M,2.21B,-,-53.32%,
18,NSP,"Insperity, Inc.",,94.42 +4.06 (+4.49%),4.06,+4.49%,439798,439558,3.515B,39.02,-10.39%,
19,DFH,"Dream Finders Homes, Inc.",,26.44 +1.07 (+4.22%),1.07,+4.22%,375373,552039,2.47B,7.92,-33.85%,
20,REGN,"Regeneron Pharmaceuticals, Inc.",,738.64 +31.13 (+4.40%),31.13,+4.40%,865156,899898,80.752B,19.26,-26.64%,
21,LNTH,"Lantheus Holdings, Inc.",,110.78 +4.44 (+4.18%),4.44,+4.18%,1.008M,901577,7.586B,25.41,69.55%,
22,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.18 +0.24 (+4.04%),0.24,+4.04%,19553,264724,28.15B,13.15,-32.54%,
23,NEE,"NextEra Energy, Inc.",,75.62 +2.79 (+3.83%),2.79,+3.83%,12.665M,10.844M,155.553B,22.44,25.85%,
24,EQNR,Equinor ASA,,24.07 +0.90 (+3.86%),0.9,+3.86%,3.888M,3.958M,65.358B,7.74,-10.47%,
25,SMCAY,SMC Corporation,,19.58 +0.73 (+3.87%),0.73,+3.87%,69380,646891,24.961B,23.04,-35.33%,
