,Unnamed: 0,Volume,Last,Chg,% Chg
0,Redfin Corp. (RDFN),2.0M,10.1,4.29,73.63
1,Checkpoint Therapeutics Inc. (CKPT),926.2K,4.08,1.6,64.98
2,Trevi Therapeutics Inc. (TRVI),859.8K,6.48,2.18,50.7
3,Biodexa Pharmaceuticals PLC ADR (BDRX),619.2K,4.26,1.21,39.67
4,Mineralys Therapeutics Inc. (MLYS),84.5K,14.51,3.99,37.93
5,Protagonist Therapeutics Inc. (PTGX),138.1K,49.5,11.15,29.07
6,Veren Inc. (VRN),369.7K,5.74,0.83,16.88
7,Visionary Holdings Inc. (GV),205.0K,6.61,0.56,9.31
8,BigBear.ai Inc. (BBAI),1.0M,3.56,0.22,6.58
9,Dogwood Therapeutics Inc. (DWTX),90.9K,7.0,0.4,6.06
10,WillScot Holdings Corp. (WSC),85.6K,29.41,1.34,4.77
11,Equinor ASA ADR (EQNR),56.1K,24.21,1.04,4.49
12,Xunlei Ltd. ADR (XNET),264.0K,4.63,0.13,2.89
13,Shoals Technologies Group Inc. (SHLS),133.5K,2.9,0.08,2.84
14,Campbell's Co. (CPB),84.1K,42.73,0.92,2.2
15,Green Plains Inc. (GPRE),71.5K,5.86,0.13,2.18
16,Celsius Holdings Inc. (CELH),191.5K,27.98,0.59,2.16
17,Kraft Heinz Co. (KHC),311.1K,32.85,0.67,2.08
18,Array Technologies Inc. (ARRY),60.7K,6.28,0.13,2.03
19,Mondelez International Inc. Cl A (MDLZ),147.9K,69.02,1.28,1.89
20,Paccar Inc. (PCAR),59.6K,111.96,1.9,1.73
21,Stellantis N.V. (STLA),70.3K,12.94,0.21,1.65
22,Kratos Defense & Security Solutions Inc. (KTOS),78.3K,27.72,0.43,1.58
23,International Business Machines Corp. (IBM),58.3K,265.66,4.12,1.58
24,Moderna Inc. (MRNA),128.4K,36.17,0.56,1.57
25,Super Micro Computer Inc. (SMCI),927.7K,38.85,0.61,1.6
26,Hertz Global Holdings Inc. (HTZ),55.7K,4.23,0.06,1.44
27,Xerox Holdings Corp. (XRX),69.0K,6.45,0.09,1.42
28,Monster Beverage Corp. (MNST),63.0K,55.76,0.69,1.24
29,PepsiCo Inc. (PEP),143.7K,156.33,1.89,1.22
30,Keurig Dr Pepper Inc. (KDP),80.4K,33.72,0.38,1.14
31,BP PLC ADR (BP),113.8K,32.44,0.36,1.14
32,SunRun Inc. (RUN),117.7K,7.24,0.08,1.12
33,CNH Industrial N.V. (CNH),108.7K,13.54,0.14,1.08
34,Tractor Supply Co. (TSCO),71.8K,57.5,0.61,1.07
35,Sanofi ADR (SNY),52.6K,59.88,0.63,1.06
36,American Electric Power Co. Inc. (AEP),78.5K,105.62,1.0,0.96
37,Fastenal Co. (FAST),127.8K,80.74,0.76,0.95
38,CoStar Group Inc. (CSGP),53.2K,80.14,0.75,0.94
39,Verizon Communications Inc. (VZ),171.7K,46.49,0.43,0.93
40,Exelon Corp. (EXC),73.2K,43.51,0.4,0.93
41,Health In Tech Inc. Cl A (HIT),136.8K,7.21,0.06,0.84
42,Coca-Cola Co. (KO),172.1K,71.98,0.56,0.78
43,Hain Celestial Group Inc. (HAIN),67.1K,4.58,0.04,0.77
44,NIO Inc. ADR (NIO),291.5K,4.5,0.03,0.74
45,Kohl's Corp. (KSS),105.7K,12.3,0.09,0.74
46,Airbnb Inc. Cl A (ABNB),103.0K,135.28,0.9,0.67
47,Honeywell International Inc. (HON),52.3K,215.84,1.32,0.62
48,TG Therapeutics Inc. (TGTX),53.1K,38.67,0.23,0.6
49,Vodafone Group PLC ADR (VOD),84.9K,9.48,0.06,0.58
50,Paramount Global Cl B (PARA),129.3K,12.2,0.07,0.54
51,Baidu Inc. ADR (BIDU),107.0K,95.25,0.45,0.47
52,Beyond Meat Inc. (BYND),73.8K,3.37,0.01,0.36
53,AES Corp. (AES),62.5K,11.29,0.04,0.36
54,ADT Inc. (ADT),130.8K,7.82,0.03,0.32
55,Gilead Sciences Inc. (GILD),151.0K,117.78,0.37,0.32
56,T-Mobile US Inc. (TMUS),62.3K,265.96,0.72,0.27
57,MGE Energy Inc. (MGEE),64.9K,90.19,0.23,0.26
58,Arbor Realty Trust Inc. (ABR),96.2K,12.26,0.03,0.25
59,Nokia Corp. ADR (NOK),139.9K,5.24,0.01,0.19
60,Schlumberger Ltd. (SLB),76.6K,41.44,0.07,0.18
61,Newell Brands Inc. (NWL),102.2K,6.76,0.01,0.15
62,PubMatic Inc. (PUBM),56.0K,9.78,0.01,0.1
63,Amgen Inc. (AMGN),64.3K,325.18,0.32,0.1
64,B2Gold Corp. (BTG),75.9K,2.68,0.0,0.0
65,Patterson-UTI Energy Inc. (PTEN),112.9K,7.51,0.0,0.0
66,Oxford Square Capital Corp. (OXSQ),92.4K,2.81,0.0,0.0
67,Comcast Corp. Cl A (CMCSA),509.8K,37.59,0.0,0.0
68,Transocean Ltd. (RIG),95.2K,3.04,-0.0,-0.03
69,AGNC Investment Corp. (AGNC),281.6K,10.38,-0.01,-0.05
70,Chimerix Inc. (CMRX),78.7K,8.43,-0.01,-0.06
71,Fluence Energy Inc. (FLNC),70.2K,5.6,-0.01,-0.09
72,Arthur J. Gallagher & Co. (AJG),53.5K,323.67,-0.33,-0.1
73,Warner Bros. Discovery Inc. Series A (WBD),269.7K,11.05,-0.02,-0.18
74,Match Group Inc. (MTCH),67.4K,32.56,-0.06,-0.18
75,Drugs Made In America Acquisition Corp. (DMAA),67.5K,9.98,-0.02,-0.2
76,eBay Inc. (EBAY),100.8K,70.36,-0.15,-0.22
77,Lucid Group Inc. (LCID),854.8K,2.14,-0.01,-0.23
78,Cognizant Technology Solutions Corp. (CTSH),90.5K,83.04,-0.2,-0.23
79,AT&T Inc. (T),100.3K,27.06,-0.07,-0.24
80,Copart Inc. (CPRT),54.0K,53.6,-0.14,-0.26
81,Serve Robotics Inc. (SERV),84.2K,7.41,-0.02,-0.27
82,Pfizer Inc. (PFE),316.0K,26.65,-0.08,-0.3
83,NetEase Inc. ADR (NTES),53.1K,102.43,-0.35,-0.34
84,Host Hotels & Resorts Inc. (HST),80.0K,16.27,-0.06,-0.37
85,Baker Hughes Co. (BKR),93.5K,42.73,-0.16,-0.37
86,British American Tobacco PLC ADR (BTI),54.1K,40.73,-0.17,-0.42
87,iQIYI Inc. ADR (IQ),317.3K,2.34,-0.01,-0.43
88,Caesars Entertainment Inc. (CZR),83.7K,28.34,-0.14,-0.49
89,Zoom Communications Inc. (ZM),214.1K,75.6,-0.38,-0.49
90,Goodyear Tire & Rubber Co. (GT),100.6K,9.74,-0.05,-0.51
91,CSX Corp. (CSX),137.7K,31.08,-0.17,-0.56
92,Academy Sports & Outdoors Inc. (ASO),51.4K,48.96,-0.28,-0.57
93,Walgreens Boots Alliance Inc. (WBA),950.5K,11.32,-0.07,-0.57
94,Prospect Capital Corp. (PSEC),77.9K,4.36,-0.03,-0.57
95,Weibo Corp. ADR (WB),60.8K,10.86,-0.07,-0.6
96,APA Corp. (APA),211.0K,18.72,-0.12,-0.64
97,News Corp Cl A (NWSA),56.7K,27.78,-0.18,-0.66
98,Starbucks Corp. (SBUX),100.2K,105.75,-0.73,-0.69
99,Barrick Gold Corp. (GOLD),51.9K,18.47,-0.13,-0.7
