symbol,price,price_change,price_percent_change
TSVT,4.92,2.13,75.89
MYO,5.94,1.77,42.45
SNOA,3.88,1.09,39.07
METC,11.16,2.76,32.86
BVS,10.98,2.23,25.4
HSAI,20.05,4.04,25.23
LFMD,5.2,0.93,21.78
EXK,4.29,0.65,17.85
XPEV,26.96,4.01,17.47
JVA,7.65,1.12,17.17
XNET,5.3,0.76,16.74
DWTX,9.72,1.28,15.18
PAY,28.29,3.61,14.63
HLLY,2.73,0.33,13.75
TBRG,31.0,3.63,13.26
BIGC,6.51,0.75,13.02
MLGO,4.18,0.48,12.97
CURR,2.97,0.34,12.93
ROOT,142.72,14.8,11.57
NIO,4.95,0.49,10.99
RDDT,118.92,11.63,10.84
GH,39.72,3.88,10.83
BNED,9.55,0.93,10.79
RERE,3.51,0.33,10.36
KC,17.94,1.64,10.06
ZK,30.48,2.77,9.97
STIM,4.76,0.43,9.93
GRAB,4.52,0.4,9.77
API,5.61,0.48,9.43
NIU,2.51,0.21,9.13
APP,259.62,21.54,9.05
OCUL,8.34,0.69,9.02
BLND,3.47,0.28,8.78
SBSW,4.06,0.31,8.27
LUV,30.47,2.29,8.13
HIMS,37.22,2.75,7.98
TXNM,51.65,3.78,7.9
AG,5.98,0.43,7.84
CDE,5.53,0.4,7.8
MGIC,13.85,1.0,7.78
SMCI,39.75,2.85,7.72
LI,29.66,2.1,7.62
LITE,61.76,4.36,7.59
SARO,28.24,1.94,7.38
CORZ,8.6,0.59,7.36
SMR,15.73,1.06,7.23
LEGN,36.48,2.44,7.18
SPCE,3.16,0.21,7.12
JBLU,5.9,0.39,7.07
OKLO,25.33,1.64,6.94
CRK,18.89,1.22,6.9
VG,9.56,0.61,6.87
SERV,7.13,0.45,6.74
PPTA,8.74,0.55,6.72
BILI,23.23,1.42,6.51
MTN,163.49,9.91,6.45
SATL,2.97,0.18,6.45
BZ,18.53,1.12,6.43
QUBT,4.81,0.29,6.42
MASS,3.21,0.19,6.29
NGD,2.96,0.17,6.27
ORLA,7.7,0.45,6.21
SATS,26.74,1.56,6.2
JMIA,2.41,0.14,6.17
CYD,20.8,1.2,6.12
KOS,2.25,0.13,6.09
TSLA,235.4,13.25,5.96
HL,5.45,0.3,5.91
SVM,3.81,0.21,5.83
FSM,5.01,0.28,5.8
CRDO,41.7,2.25,5.7
YMM,12.88,0.69,5.7
CRWD,326.23,17.37,5.62
GRRR,25.55,1.35,5.58
KGC,11.15,0.59,5.57
EQT,50.13,2.64,5.56
COIN,189.18,9.95,5.55
QBTS,4.88,0.26,5.51
NOW,826.88,43.05,5.49
AIFF,3.29,0.17,5.45
TUYA,4.0,0.2,5.41
HMY,12.13,0.62,5.39
BABA,139.64,7.09,5.35
AAOI,14.9,0.75,5.32
VUZI,2.56,0.13,5.31
MGNI,12.95,0.65,5.28
WRD,16.85,0.84,5.25
GDS,38.32,1.91,5.25
IOVA,3.92,0.2,5.23
AMPY,4.16,0.2,5.18
ILMN,90.41,4.44,5.16
BE,23.78,1.16,5.13
FTAI,102.65,4.96,5.07
COHR,65.97,3.16,5.03
IAG,5.36,0.26,4.99
FCEL,6.65,0.32,4.98
MUX,7.34,0.34,4.94
LX,8.97,0.42,4.91
HOOD,37.38,1.75,4.91
NXT,43.75,2.04,4.89
