,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HSAI,Hesai Group,,19.48 +3.47 (+21.69%),3.47,+21.69%,1.962M,3.372M,2.483B,-,210.27%,
1,LUV,Southwest Airlines Co.,,31.66 +3.48 (+12.35%),3.48,+12.35%,3.547M,8.382M,18.764B,41.66,-2.02%,
2,XPEV,XPeng Inc.,,25.53 +2.58 (+11.26%),2.58,+11.26%,1.182M,10.758M,24.23B,-,122.38%,
3,MTN,"Vail Resorts, Inc.",,163.40 +9.82 (+6.39%),9.82,+6.39%,38628,584950,6.117B,23.78,-32.12%,
4,YMM,Full Truck Alliance Co. Ltd.,,12.74 +0.55 (+4.51%),0.55,+4.51%,570595,7.82M,13.323B,31.07,75.14%,
5,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.49 +0.31 (+1.05%),0.31,+1.05%,100409,2.183M,4.507B,268.05,62.74%,
6,BECN,"Beacon Roofing Supply, Inc.",,118.76 +0.24 (+0.20%),0.24,+0.20%,14577,896331,7.314B,20.91,37.22%,
7,BILI,Bilibili Inc.,,22.98 +1.17 (+5.38%),1.17,+5.38%,420436,6.781M,10.228B,-,71.87%,
8,GDS,GDS Holdings Limited,,38.28 +1.87 (+5.13%),1.87,+5.13%,139007,2.915M,7.499B,-,371.02%,
9,ZK,ZEEKR Intelligent Technology Holding Limited,,29.40 +1.68 (+6.06%),1.68,+6.06%,32538,623732,7.279B,-,-1.91%,
10,VNET,"VNET Group, Inc.",,11.92 +0.49 (+4.29%),0.49,+4.29%,669270,8.052M,3.182B,-,549.43%,
11,ILMN,"Illumina, Inc.",,90.69 +4.72 (+5.50%),4.72,+5.50%,119562,2.595M,14.366B,-,-33.41%,
12,LI,Li Auto Inc.,,29.01 +1.45 (+5.28%),1.45,+5.28%,738315,5.934M,31.741B,21.82,-30.61%,
13,BEKE,KE Holdings Inc.,,23.51 +1.04 (+4.63%),1.04,+4.63%,557893,8.092M,30.938B,47.98,54.97%,
14,SMCAY,SMC Corporation,,19.62 +0.77 (+4.08%),0.77,+4.08%,77577,663025,25.368B,23.08,-33.40%,
15,CWEN-A,"Clearway Energy, Inc.",,27.04 +0.07 (+0.26%),0.07,+0.26%,7885,195379,5.674B,36.05,32.53%,
16,NEE-PR,"NextEra Energy, Inc.",,43.22 +1.63 (+3.92%),1.63,+3.92%,104391,130323,--,-,19.77%,
17,FRO,Frontline plc,,15.62 +0.48 (+3.20%),0.48,+3.20%,256752,3.398M,3.478B,7.01,-33.25%,
18,LITE,Lumentum Holdings Inc.,,59.82 +2.41 (+4.20%),2.41,+4.20%,87428,2.243M,4.14B,-,22.46%,
19,ELV,"Elevance Health, Inc.",,420.01 +10.46 (+2.55%),10.46,+2.55%,94739,1.665M,95.49B,16.36,-18.99%,
20,PAY,"Paymentus Holdings, Inc.",,26.20 +1.52 (+6.21%),1.52,+6.21%,19463,425812,3.265B,81.88,3.13%,
21,OLCLY,"Oriental Land Co., Ltd.",,21.80 +0.74 (+3.51%),0.74,+3.51%,15949,113912,36.382B,45.42,-34.89%,
22,SOBO,South Bow Corporation,,25.19 +0.33 (+1.33%),0.33,+1.33%,8094,816579,5.257B,16.57,11.53%,
23,BMY,Bristol-Myers Squibb Company,,63.09 -0.02 (-0.03%),-0.02,-0.03%,507016,11.863M,128.029B,-,16.01%,
24,ORA,"Ormat Technologies, Inc.",,73.06 +0.13 (+0.18%),0.13,+0.18%,7497,679143,4.42B,35.81,11.31%,
25,CAMT,Camtek Ltd.,,64.91 +1.71 (+2.71%),1.71,+2.71%,23816,586182,2.95B,26.82,-16.28%,
26,CORZ,"Core Scientific, Inc.",,8.19 +0.18 (+2.25%),0.18,+2.25%,633415,13.229M,2.409B,-,126.27%,
27,AR,Antero Resources Corporation,,35.36 +0.67 (+1.93%),0.67,+1.93%,70140,4.683M,11.003B,196.44,32.51%,
28,NTOIY,Neste Oyj,,5.0000 +0.1500 (+3.09%),0.15,+3.09%,44509,169279,7.755B,-,-64.18%,
29,CME,CME Group Inc.,,262.34 +0.06 (+0.02%),0.06,+0.02%,41739,1.894M,94.251B,27.10,20.45%,
30,MSTR,MicroStrategy Incorporated,,246.36 +7.09 (+2.97%),7.09,+2.97%,1.233M,19.787M,64.157B,-,50.17%,
31,ENLT,Enlight Renewable Energy Ltd,,16.96 -0.15 (-0.88%),-0.15,-0.88%,260,19301,2.017B,47.11,0.29%,
