symbol,price,price_change,price_percent_change
RDUS,28.35,14.69,107.54
AAOI,22.0,6.13,38.63
QBTS,9.48,2.57,37.19
RBRK,68.93,13.65,24.69
BTMD,3.79,0.72,23.45
GRRR,31.89,5.98,23.07
QUBT,6.74,1.25,22.86
AIFF,4.2,0.74,21.39
JL,4.72,0.8,20.41
WEST,6.63,1.12,20.33
DM,2.43,0.39,19.36
JFIN,11.72,1.89,19.23
RGTI,10.4,1.65,18.81
DOCU,88.36,13.66,18.29
KINS,16.09,2.42,17.7
SNOA,3.62,0.54,17.53
EDBL,2.8,0.4,16.67
SMTC,38.12,5.42,16.55
MTEN,5.83,0.82,16.37
PD,18.16,2.55,16.34
IRBT,3.53,0.48,15.6
GDOT,7.6,0.96,14.46
NYXH,11.5,1.45,14.38
CDLX,2.36,0.29,14.01
IH,2.95,0.36,13.92
LX,10.33,1.26,13.89
MAXN,3.54,0.43,13.83
DOYU,9.05,1.09,13.69
MOB,2.37,0.28,13.22
PTON,6.86,0.8,13.1
LAES,3.1,0.36,13.09
LTBR,9.2,1.04,12.75
AFYA,18.26,2.04,12.59
PANL,5.44,0.6,12.4
ALGS,11.54,1.26,12.26
ARQQ,14.55,1.58,12.18
SHCO,5.82,0.63,12.14
FEIM,15.74,1.68,11.95
NVTS,2.5,0.26,11.61
WOLF,5.7,0.59,11.53
OKLO,26.71,2.76,11.53
CNSP,3.02,0.31,11.37
ULTA,350.1,35.63,11.33
WGS,99.38,10.06,11.26
NOTV,2.92,0.29,11.24
BBNX,15.62,1.57,11.22
ALBT,5.0,0.5,11.11
SGHT,2.67,0.27,11.02
TTAN,91.36,9.02,10.95
IONQ,23.69,2.32,10.86
SOUN,9.87,0.96,10.77
SMR,16.83,1.62,10.65
SNTI,3.55,0.34,10.59
RCAT,5.42,0.51,10.26
CCI,103.09,9.56,10.23
APLD,6.92,0.64,10.11
CMTG,3.98,0.36,10.11
PONY,14.1,1.29,10.11
VNET,11.45,1.05,10.1
AUR,6.89,0.63,10.07
BZAI,3.84,0.35,10.03
OSS,2.86,0.26,10.0
HNRG,11.03,0.99,9.86
EGY,4.16,0.37,9.77
TEM,46.26,4.09,9.71
MSTR,288.34,25.08,9.53
UMAC,6.2,0.54,9.46
NBR,42.92,3.69,9.4
WGRX,2.92,0.25,9.36
PLCE,7.74,0.66,9.32
PSQH,2.58,0.22,9.32
GENK,6.17,0.52,9.26
RAPP,10.94,0.93,9.23
FUFU,4.62,0.39,9.22
MCTR,7.65,0.65,9.21
NRXP,2.26,0.19,9.18
FULC,3.16,0.27,9.14
WRD,17.75,1.48,9.1
AISP,3.71,0.31,9.08
PDYN,7.03,0.58,8.99
SNDK,52.78,4.33,8.95
GLDD,8.54,0.7,8.93
EEX,3.98,0.33,8.9
LASE,3.5,0.28,8.88
HRTG,13.64,1.11,8.86
TNXP,14.84,1.21,8.83
HTZ,3.66,0.29,8.75
DNA,7.02,0.56,8.75
ZUMZ,13.89,1.11,8.69
RSI,10.52,0.84,8.68
POET,3.84,0.3,8.63
QRHC,2.91,0.23,8.58
NU,11.66,0.91,8.47
ALT,5.62,0.42,8.17
JUNE,5.57,0.42,8.16
MARA,13.14,0.98,8.06
CDXS,2.74,0.2,8.1
FUTU,116.08,8.56,7.97
TGTX,40.0,2.94,7.93
CANG,3.56,0.26,7.88
