,Unnamed: 0,Volume,Last,Chg,% Chg
0,Redfin Corp. (RDFN),92.4M,9.77,3.95,67.87
1,Checkpoint Therapeutics Inc. (CKPT),60.5M,3.98,1.51,61.13
2,Protagonist Therapeutics Inc. (PTGX),5.0M,55.95,17.6,45.89
3,Bally's Corp. (BALY),61.3K,17.25,5.13,42.33
4,Mineralys Therapeutics Inc. (MLYS),14.7M,14.96,4.44,42.21
5,Trevi Therapeutics Inc. (TRVI),57.1M,6.07,1.77,41.16
6,Pheton Holdings Ltd. Cl A (PTHL),483.0K,3.2,0.9,39.13
7,Atlantic International Corp. (ATLN),54.7K,4.87,1.3,36.41
8,LZ Technology Holdings Ltd. Cl B (LZMH),670.6K,15.66,3.62,30.07
9,Dogwood Therapeutics Inc. (DWTX),10.9M,8.44,1.84,27.88
10,Skyline Builders Group Holding Ltd. Cl A (SKBL),375.5K,10.85,2.18,25.14
11,SolarBank Corp. (SUUN),614.8K,4.49,0.8,21.68
12,Currenc Group Inc. (CURR),735.6K,2.63,0.38,16.89
13,Wang & Lee Group Inc. (WLGS),689.4K,4.42,0.62,16.32
14,CTRL Group Ltd. (MCTR),254.2K,5.55,0.75,15.62
15,Veren Inc. (VRN),64.3M,5.68,0.77,15.58
16,Karyopharm Therapeutics Inc. (KPTI),232.3K,7.66,0.77,11.18
17,Pro-Dex Inc. (PDEX),98.8K,44.37,4.29,10.7
18,Nuvectis Pharma Inc. (NVCT),164.1K,7.62,0.69,9.96
19,Embecta Corp. (EMBC),828.6K,13.96,1.21,9.49
20,WK Kellogg Co. (KLG),1.8M,21.95,1.9,9.48
21,908 Devices Inc. (MASS),1.7M,3.02,0.26,9.42
22,Electrovaya Inc. (ELVA),139.2K,2.45,0.21,9.37
23,Belpointe PREP LLC (OZ),56.1K,79.25,6.25,8.56
24,Xeris Biopharma Holdings Inc. (XERS),5.7M,4.59,0.35,8.25
25,iHuman Inc. ADR (IH),150.2K,2.25,0.17,8.17
26,Carter's Inc. (CRI),2.5M,44.0,3.27,8.03
27,Magic Software Enterprises Ltd. (MGIC),366.7K,12.85,0.95,7.98
28,Park Ha Biological Technology Co. Ltd. (PHH),406.8K,8.3,0.61,7.93
29,Dave & Buster's Entertainment Inc. (PLAY),1.5M,20.81,1.51,7.85
30,QuantaSing Group Ltd. ADR (QSG),81.1K,2.66,0.19,7.69
31,Rimini Street Inc. (RMNI),835.2K,3.96,0.28,7.61
32,Mueller Water Products Inc. (MWA),4.2M,26.92,1.86,7.45
33,ODP Corp. (ODP),864.5K,17.81,1.2,7.22
34,Staar Surgical Co. (STAA),1.9M,19.65,1.31,7.14
35,Kratos Defense & Security Solutions Inc. (KTOS),6.7M,29.18,1.89,6.93
36,Oncocyte Corp. (OCX),211.1K,4.17,0.27,6.92
37,Beacon Roofing Supply Inc. (BECN),4.5M,118.52,7.42,6.68
38,GH Research PLC (GHRS),410.4K,11.2,0.7,6.67
39,Medicus Pharma Ltd. (MDCX),165.7K,3.25,0.2,6.56
40,Bloomin' Brands Inc. (BLMN),3.6M,9.35,0.56,6.37
41,Core Natural Resources Inc. (CNR),973.5K,71.59,4.27,6.34
42,WillScot Holdings Corp. (WSC),8.1M,29.76,1.69,6.02
43,PMGC Holdings Inc. (ELAB),155.4K,5.34,0.3,5.95
44,Belite Bio Inc. ADR (BLTE),159.8K,66.95,3.76,5.95
45,Arq Inc. (ARQ),397.6K,5.17,0.29,5.94
46,OFS Capital Corp. (OFS),191.5K,9.45,0.52,5.82
47,Polar Power Inc. (POLA),164.5K,3.15,0.17,5.7
48,Toro Co. (TTC),1.6M,77.32,4.07,5.55
49,TTEC Holdings Inc. (TTEC),623.3K,3.73,0.19,5.37
50,Regeneron Pharmaceuticals Inc. (REGN),1.6M,744.83,37.32,5.27
51,2seventy bio Inc. (TSVT),541.0K,2.8,0.14,5.26
52,Aris Water Solutions Inc. (ARIS),902.5K,28.08,1.34,5.03
53,Stevanato Group S.p.A. (STVN),489.8K,22.62,1.06,4.92
54,AES Corp. (AES),16.5M,11.79,0.54,4.8
55,ProFrac Holding Corp. (ACDC),626.5K,7.38,0.33,4.68
56,e.l.f. Beauty Inc. (ELF),4.2M,73.98,3.3,4.67
57,Amplify Energy Corp. (AMPY),958.8K,3.96,0.17,4.62
58,NextEra Energy Inc. (NEE),17.7M,76.18,3.35,4.6
59,Oruka Therapeutics Inc. (ORKA),204.1K,10.94,0.48,4.59
60,Medifast Inc. (MED),213.0K,15.07,0.63,4.36
61,Equinor ASA ADR (EQNR),4.7M,24.16,0.99,4.27
62,Aldeyra Therapeutics Inc. (ALDX),734.8K,6.62,0.27,4.25
63,Claros Mortgage Trust Inc. (CMTG),1.7M,3.2,0.13,4.23
64,Insperity Inc. (NSP),643.8K,94.17,3.81,4.22
65,EUDA Health Holdings Ltd. (EUDA),100.4K,3.76,0.15,4.16
66,National Beverage Corp. (FIZZ),350.1K,42.56,1.69,4.14
67,Western Midstream Partners L.P. (WES),1.7M,40.52,1.6,4.11
68,Clearway Energy Inc. Cl A (CWEN.A),386.4K,26.98,1.06,4.09
69,Service Corp. International (SCI),2.1M,84.14,3.28,4.06
70,Harley-Davidson Inc. (HOG),4.1M,27.14,1.05,4.02
71,Mayville Engineering Co. Inc. (MEC),121.9K,14.94,0.57,4.0
72,ICF International Inc. (ICFI),441.2K,88.0,3.35,3.96
73,Etsy Inc. (ETSY),5.7M,48.65,1.85,3.95
74,Sandisk Corp. (SNDK),4.7M,53.0,2.0,3.92
75,Apogee Therapeutics Inc. (APGE),853.4K,37.54,1.4,3.87
76,Hooker Furnishings Corp. (HOFT),123.5K,12.88,0.48,3.87
77,Sight Sciences Inc. (SGHT),662.4K,2.45,0.09,3.81
78,Array Technologies Inc. (ARRY),5.6M,6.38,0.23,3.74
79,Clearway Energy Inc. Cl C (CWEN),1.2M,28.65,1.03,3.73
80,Anavex Life Sciences Corp. (AVXL),856.2K,8.99,0.32,3.69
81,Range Resources Corp. (RRC),2.3M,36.49,1.27,3.61
82,Infinity Natural Resources Inc. (INR),317.0K,16.21,0.56,3.58
83,Cracker Barrel Old Country Store Inc. (CBRL),1.6M,44.34,1.52,3.55
84,American Vanguard Corp. (AVD),159.1K,4.84,0.17,3.53
85,Revolve Group Inc. (RVLV),1.3M,24.88,0.84,3.49
86,Brookfield Renewable Corp. (BEPC),1.1M,28.64,0.96,3.49
87,Tonix Pharmaceuticals Holding Corp. (TNXP),2.2M,13.47,0.45,3.46
88,Lantheus Holdings Inc. (LNTH),1.6M,110.01,3.67,3.45
89,Peabody Energy Corp. (BTU),4.0M,12.9,0.42,3.41
90,Advance Auto Parts Inc. (AAP),3.5M,36.57,1.2,3.39
91,EPWK Holdings Ltd. Cl A (EPWK),266.4K,4.89,0.16,3.38
92,Bristol Myers Squibb Co. (BMY),15.4M,63.15,2.06,3.37
93,Acushnet Holdings Corp. (GOLF),553.0K,70.78,2.27,3.31
94,Ormat Technologies Inc. (ORA),964.4K,72.98,2.34,3.31
95,DaVita Inc. (DVA),1.1M,151.88,4.86,3.31
96,South Bow Corp. (SOBO),719.4K,24.84,0.79,3.28
97,Cable One Inc. (CABO),171.2K,286.52,8.87,3.19
98,Expand Energy Corp. (EXE),5.2M,99.09,3.06,3.19
99,Antero Resources Corp. (AR),6.0M,34.71,1.07,3.18
