symbol,price,price_change,price_percent_change
HSAI,19.48,3.47,21.69
LUV,31.66,3.48,12.35
XPEV,25.53,2.58,11.26
MTN,163.4,9.82,6.39
YMM,12.74,0.55,4.51
KTOS,29.49,0.31,1.05
BECN,118.76,0.24,0.2
BILI,22.98,1.17,5.38
GDS,38.28,1.87,5.13
ZK,29.4,1.68,6.06
VNET,11.92,0.49,4.29
ILMN,90.69,4.72,5.5
LI,29.01,1.45,5.28
BEKE,23.51,1.04,4.63
SMCAY,19.62,0.77,4.08
CWEN-A,27.04,0.07,0.26
NEE-PR,43.22,1.63,3.92
FRO,15.62,0.48,3.2
LITE,59.82,2.41,4.2
ELV,420.01,10.46,2.55
PAY,26.2,1.52,6.21
OLCLY,21.8,0.74,3.51
SOBO,25.19,0.33,1.33
BMY,63.09,-0.02,0.03
ORA,73.06,0.13,0.18
CAMT,64.91,1.71,2.71
CORZ,8.19,0.18,2.25
AR,35.36,0.67,1.93
NTOIY,5.0,0.15,3.09
CME,262.34,0.06,0.02
MSTR,246.36,7.09,2.97
ENLT,16.96,-0.15,0.88
