,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),7.9M,27.99,14.33,104.9
1,D-Wave Quantum Inc. (QBTS),250.8M,10.17,3.26,47.18
2,Applied Optoelectronics Inc. (AAOI),15.9M,22.1,6.22,39.22
3,USA Rare Earth Inc. (USAR),229.9K,14.06,3.27,30.37
4,Gorilla Technology Group Inc. (GRRR),7.2M,33.63,7.72,29.8
5,Quantum Computing Inc. (QUBT),41.1M,7.07,1.58,28.78
6,Rigetti Computing Inc. (RGTI),120.5M,11.24,2.48,28.4
7,Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),71.1K,8.26,1.81,28.02
8,Rubrik Inc. Cl A (RBRK),6.5M,70.53,15.25,27.59
9,Firefly Neuroscience Inc. (AIFF),2.0M,4.33,0.87,25.14
10,Westrock Coffee Co. (WEST),652.1K,6.88,1.37,24.86
11,Biote Corp. (BTMD),722.1K,3.76,0.69,22.48
12,SEALSQ Corp. (LAES),22.6M,3.34,0.59,21.72
13,Kingstone Cos. Inc. (KINS),640.5K,16.62,2.95,21.58
14,Desktop Metal Inc. (DM),628.6K,2.48,0.44,21.57
15,Eason Technology Ltd. ADR (DXF),63.2K,7.61,1.35,21.57
16,Semtech Corp. (SMTC),6.8M,39.58,6.87,21.0
17,Jiayin Group Inc. ADR (JFIN),322.9K,11.88,2.05,20.85
18,Callan JMB Inc. (CJMB),72.7K,5.31,0.91,20.77
19,J-Long Group Ltd. (JL),96.0K,4.72,0.8,20.36
20,iRobot Corp. (IRBT),7.6M,3.66,0.61,19.97
21,Children's Place Inc. (PLCE),849.3K,8.41,1.33,18.78
22,Maxeon Solar Technologies Ltd. (MAXN),266.0K,3.69,0.58,18.65
23,Cardlytics Inc. (CDLX),2.3M,2.45,0.38,18.36
24,Sleep Number Corp. (SNBR),1.0M,7.33,1.12,18.04
25,PagerDuty Inc. (PD),3.3M,18.4,2.79,17.91
26,Telesat Corp. Cl A (TSAT),251.9K,25.2,3.81,17.81
27,IonQ Inc. (IONQ),35.0M,25.12,3.75,17.57
28,Green Dot Corp. Cl A (GDOT),1.7M,7.76,1.11,16.79
29,Cloudastructure Inc. Cl A (CSAI),387.0K,5.2,0.74,16.7
30,Edible Garden AG Inc. (EDBL),109.9K,2.8,0.4,16.67
31,Peloton Interactive Inc. (PTON),27.4M,7.07,1.0,16.43
32,SoundHound AI Inc. (SOUN),37.1M,10.35,1.44,16.16
33,LexinFintech Holdings Ltd. ADR (LX),5.4M,10.53,1.46,16.1
34,CNS Pharmaceuticals Inc. (CNSP),335.1K,3.14,0.43,15.87
35,Oklo Inc. (OKLO),12.6M,27.75,3.8,15.87
36,Arqit Quantum Inc. (ARQQ),572.2K,14.98,2.01,15.5
37,Red Cat Holdings Inc. (RCAT),3.8M,5.68,0.76,15.45
38,ZJK Industrial Co. Ltd. (ZJK),60.7K,5.02,0.67,15.4
39,Mingteng International Corp. Inc. (MTEN),860.3K,5.78,0.77,15.37
40,Soho House & Co. Inc. (SHCO),611.8K,5.98,0.79,15.22
41,Pheton Holdings Ltd. Cl A (PTHL),63.0K,4.18,0.55,15.15
42,iHuman Inc. ADR (IH),259.7K,2.98,0.39,15.06
43,NuScale Power Corp. (SMR),6.3M,17.5,2.29,15.06
44,Wolfspeed Inc. (WOLF),25.8M,5.88,0.77,14.97
45,DocuSign Inc. (DOCU),10.9M,85.71,11.01,14.74
46,Lightbridge Corp. (LTBR),1.3M,9.36,1.2,14.71
47,Vaalco Energy Inc. (EGY),1.5M,4.32,0.54,14.12
48,Palladyne AI Corp. (PDYN),1.7M,7.36,0.91,14.11
49,Sonoma Pharmaceuticals Inc. (SNOA),376.4K,3.51,0.43,14.0
50,Ulta Beauty Inc. (ULTA),2.9M,357.65,43.18,13.73
51,Inotiv Inc. (NOTV),347.2K,2.98,0.36,13.71
52,Altimmune Inc. (ALT),11.3M,5.91,0.71,13.65
53,Barnes & Noble Education Inc. (BNED),595.5K,9.91,1.19,13.57
54,NRX Pharmaceuticals Inc. (NRXP),228.8K,2.35,0.28,13.48
55,Frequency Electronics Inc. (FEIM),241.3K,15.96,1.9,13.48
56,Laird Superfood Inc. (LSF),94.2K,5.34,0.63,13.38
