,Unnamed: 0,Volume,Last,Chg,% Chg
57,Sandisk Corp. (SNDK),3.7M,54.9,6.46,13.33
58,WeRide Inc. ADR (WRD),5.0M,18.43,2.16,13.28
59,Redwire Corp. (RDW),1.3M,10.62,1.24,13.22
60,Hertz Global Holdings Inc. (HTZ),4.6M,3.82,0.45,13.2
61,Cango Inc. ADR (CANG),707.4K,3.74,0.44,13.19
62,MicroStrategy Inc. (MSTR),19.0M,297.77,34.51,13.11
63,ServiceTitan Inc. Cl A (TTAN),750.1K,93.11,10.77,13.08
64,ALT5 Sigma Corp. (ALTS),148.1K,4.62,0.53,12.99
65,Unusual Machines Inc. (UMAC),683.2K,6.39,0.73,12.9
66,Root Inc. Cl A (ROOT),1.0M,151.34,17.11,12.75
67,PSQ Holdings Inc. Cl A (PSQH),988.0K,2.66,0.3,12.71
68,Pangaea Logistics Solutions Ltd. (PANL),438.7K,5.44,0.6,12.5
69,Sight Sciences Inc. (SGHT),173.2K,2.7,0.3,12.47
70,Heritage Global Inc. (HGBL),407.6K,2.35,0.26,12.44
71,GEN Restaurant Group Inc. Cl A (GENK),126.1K,6.34,0.69,12.21
72,Fold Holdings Inc. (FLD),68.1K,7.7,0.83,12.07
73,Applied Digital Corp. (APLD),17.5M,7.04,0.76,12.02
74,Wrap Technologies Inc. (WRAP),173.0K,2.25,0.24,12.0
75,Veritone Inc. (VERI),504.6K,2.62,0.28,11.97
76,CervoMed Inc. (CRVO),8.7M,6.48,0.69,11.92
77,Laser Photonics Corp. (LASE),207.5K,3.59,0.38,11.9
78,Tempus AI Inc. (TEM),10.2M,47.16,5.0,11.86
79,Aurora Innovation Inc. (AUR),20.8M,7.0,0.74,11.82
80,Innodata Inc. (INOD),1.1M,48.22,5.08,11.79
81,Yoshiharu Global Co. (YOSH),167.0K,20.11,2.12,11.75
82,Atlanticus Holdings Corp. (ATLC),70.5K,48.84,5.13,11.74
83,VNET Group Inc. ADR (VNET),10.0M,11.62,1.22,11.68
84,Avis Budget Group Inc. (CAR),1.8M,61.97,6.48,11.68
85,Navitas Semiconductor Corp. (NVTS),4.5M,2.5,0.26,11.61
86,Beyond Inc. (BYON),2.8M,5.62,0.58,11.61
87,One Stop Systems Inc. (OSS),131.3K,2.9,0.3,11.54
88,Aligos Therapeutics Inc. (ALGS),126.1K,11.44,1.16,11.28
89,Brag House Holdings Inc. (TBH),3.3M,4.86,0.49,11.21
90,Emerald Holding Inc. (EEX),266.2K,4.06,0.41,11.1
91,EHang Holdings Ltd. ADR (EH),2.6M,24.18,2.41,11.07
92,POET Technologies Inc. (POET),986.2K,3.92,0.39,11.03
93,Afya Ltd. (AFYA),185.4K,18.0,1.78,11.0
94,CTRL Group Ltd. (MCTR),190.9K,7.77,0.76,10.88
95,Grupo Aeroportuario del Sureste S.A.B. de C.V. ADR (ASR),71.6K,286.6,28.11,10.87
96,Rush Street Interactive Inc. (RSI),1.7M,10.72,1.04,10.8
97,Nabors Industries Ltd. (NBR),402.9K,43.44,4.21,10.72
98,Freightos Ltd. (CRGO),76.7K,2.44,0.23,10.68
99,Claros Mortgage Trust Inc. (CMTG),1.5M,4.0,0.39,10.78
