,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aveanna Healthcare Holdings Inc. (AVAH),66.5K,5.06,1.32,35.25
1,CervoMed Inc. (CRVO),671.2K,7.61,1.44,23.34
2,MeiraGTx Holdings PLC (MGTX),87.9K,7.9,1.49,23.24
3,Intel Corp. (INTC),5.8M,23.65,2.97,14.36
4,Heidmar Maritime Holdings Corp. (HMR),61.4K,2.87,0.32,12.56
5,Ceragon Networks Ltd. (CRNT),129.4K,2.74,0.25,10.04
6,E.W. Scripps Co. Cl A (SSP),113.4K,2.24,0.19,9.22
7,Health Catalyst Inc. (HCAT),81.3K,4.64,0.21,4.74
8,Gorilla Technology Group Inc. (GRRR),51.7K,29.26,1.32,4.72
9,Shoals Technologies Group Inc. (SHLS),54.6K,3.08,0.14,4.59
10,EHang Holdings Ltd. ADR (EH),50.9K,22.43,0.8,3.7
11,Funko Inc. Cl A (FNKO),55.9K,7.64,0.26,3.52
12,Tarsus Pharmaceuticals Inc. (TARS),50.1K,48.5,1.41,2.98
13,Dollar Tree Inc. (DLTR),73.4K,63.75,1.83,2.96
14,Moderna Inc. (MRNA),130.2K,35.89,0.88,2.51
15,Quantum Computing Inc. (QUBT),270.1K,5.55,0.13,2.38
16,SoundHound AI Inc. (SOUN),378.4K,9.34,0.21,2.3
17,Archer Aviation Inc. (ACHR),201.6K,7.62,0.14,1.8
18,SSR Mining Inc. (SSRM),79.4K,10.41,0.17,1.66
19,Trump Media & Technology Group Corp. (DJT),76.6K,20.39,0.32,1.59
20,IREN Ltd. (IREN),172.0K,7.15,0.11,1.56
21,AstraZeneca PLC ADR (AZN),149.4K,76.51,0.94,1.24
22,MicroStrategy Inc. (MSTR),100.4K,265.21,2.67,1.02
23,Synovus Financial Corp. (SNV),53.0K,45.24,0.45,1.0
24,New Gold Inc. (NGD),57.3K,3.11,0.03,0.98
25,Micron Technology Inc. (MU),309.2K,96.46,0.82,0.86
26,SoFi Technologies Inc. (SOFI),658.2K,12.02,0.1,0.84
27,Vodafone Group PLC ADR (VOD),138.8K,9.24,0.07,0.82
28,Eos Energy Enterprises Inc. (EOSE),51.4K,4.14,0.03,0.73
29,NVIDIA Corp. (NVDA),2.8M,116.49,0.75,0.65
30,MARA Holdings Inc. (MARA),205.3K,13.19,0.08,0.61
31,American Airlines Group Inc. (AAL),296.5K,10.99,0.06,0.59
32,Rigetti Computing Inc. (RGTI),432.8K,9.0,0.05,0.56
33,JetBlue Airways Corp. (JBLU),131.7K,5.57,0.03,0.54
34,ADMA Biologics Inc. (ADMA),67.0K,18.6,0.1,0.54
35,Tempus AI Inc. (TEM),63.2K,45.74,0.24,0.53
36,Huntington Bancshares Inc. (HBAN),195.7K,14.62,0.07,0.52
37,Arm Holdings PLC ADR (ARM),58.1K,113.27,0.57,0.51
38,Exelon Corp. (EXC),83.8K,42.82,0.21,0.5
39,Stitch Fix Inc. Cl A (SFIX),56.5K,4.02,0.02,0.5
40,CleanSpark Inc. (CLSK),113.7K,8.14,0.04,0.49
41,Lumen Technologies Inc. (LUMN),99.9K,5.0,0.02,0.4
42,Bank of America Corp. (BAC),75.2K,40.06,0.15,0.39
43,AGNC Investment Corp. (AGNC),172.7K,10.12,0.04,0.35
44,Four Corners Property Trust Inc. (FCPT),51.7K,27.78,0.1,0.34
45,JD.com Inc. ADR (JD),145.3K,40.51,0.14,0.33
46,Broadcom Inc. (AVGO),439.2K,194.83,0.6,0.31
47,United Airlines Holdings Inc. (UAL),96.3K,72.68,0.22,0.3
48,Clover Health Investments Corp. Cl A (CLOV),63.3K,3.62,0.01,0.28
49,Bit Digital Inc. (BTBT),67.0K,2.34,0.01,0.21
50,PepsiCo Inc. (PEP),83.3K,148.38,0.2,0.14
51,Applied Materials Inc. (AMAT),84.6K,149.24,0.18,0.12
52,Grab Holdings Ltd. (GRAB),408.0K,4.22,0.01,0.12
53,Elanco Animal Health Inc. (ELAN),65.1K,10.4,0.01,0.1
54,Star Bulk Carriers Corp. (SBLK),52.5K,16.52,0.01,0.09
55,Marvell Technology Inc. (MRVL),276.5K,69.91,0.06,0.09
56,Ares Capital Corp. (ARCC),57.0K,21.76,0.01,0.07
57,Kraft Heinz Co. (KHC),182.9K,30.31,0.01,0.03
58,Viatris Inc. (VTRS),130.5K,9.24,0.0,0.0
59,Walgreens Boots Alliance Inc. (WBA),89.9K,11.2,0.0,0.0
60,Keurig Dr Pepper Inc. (KDP),79.8K,32.81,0.0,0.0
61,Nu Holdings Ltd. Cl A (NU),232.3K,10.89,0.0,0.0
62,Coca-Cola Co. (KO),52.0K,69.92,-0.02,-0.03
63,Microsoft Corp. (MSFT),513.0K,383.07,-0.2,-0.05
64,Pfizer Inc. (PFE),66.5K,25.69,-0.02,-0.08
65,Comcast Corp. Cl A (CMCSA),323.1K,35.16,-0.03,-0.09
66,DraftKings Inc. Cl A (DKNG),69.3K,38.58,-0.05,-0.13
67,Gilead Sciences Inc. (GILD),123.5K,113.8,-0.19,-0.17
68,DexCom Inc. (DXCM),52.7K,70.62,-0.14,-0.19
69,Starbucks Corp. (SBUX),120.4K,98.5,-0.19,-0.19
70,CCC Intelligent Solutions Holdings Inc. (CCCS),78.8K,9.11,-0.02,-0.22
71,Linde PLC (LIN),50.9K,448.56,-1.11,-0.25
72,Qualcomm Inc. (QCOM),84.7K,152.41,-0.39,-0.25
73,Riot Platforms Inc. (RIOT),94.5K,7.83,-0.02,-0.25
74,Baker Hughes Co. (BKR),69.7K,42.37,-0.11,-0.26
75,Gen Digital Inc. (GEN),54.1K,26.63,-0.07,-0.26
76,CSX Corp. (CSX),137.9K,29.47,-0.08,-0.27
77,Nokia Corp. ADR (NOK),164.2K,5.19,-0.01,-0.27
78,Applied Digital Corp. (APLD),71.8K,6.6,-0.02,-0.3
79,Newell Brands Inc. (NWL),51.6K,6.56,-0.02,-0.3
80,Cleveland-Cliffs Inc. (CLF),63.7K,9.76,-0.03,-0.31
81,Recursion Pharmaceuticals Inc. (RXRX),115.1K,6.15,-0.02,-0.32
82,Meta Platforms Inc. (META),129.5K,617.48,-2.08,-0.34
83,Lyft Inc. Cl A (LYFT),71.0K,11.57,-0.04,-0.34
84,Cisco Systems Inc. (CSCO),329.2K,60.23,-0.23,-0.38
85,AppLovin Corp. (APP),65.9K,271.53,-1.06,-0.39
86,Mondelez International Inc. Cl A (MDLZ),148.2K,64.7,-0.28,-0.43
87,ON Semiconductor Corp. (ON),63.8K,42.66,-0.18,-0.43
88,Rocket Lab USA Inc. (RKLB),191.8K,18.32,-0.11,-0.6
89,Cipher Mining Inc. (CIFR),197.1K,3.18,-0.01,-0.47
90,IonQ Inc. (IONQ),163.6K,21.71,-0.11,-0.5
91,Super Micro Computer Inc. (SMCI),363.4K,42.25,-0.22,-0.52
