,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
32,TSCO,Tractor Supply Company,,59.01 +2.12 (+3.73%),2.12,+3.73%,2.981M,5.282M,31.367B,28.93,14.29%,
33,BIIB,Biogen Inc.,,155.79 +5.41 (+3.60%),5.41,+3.60%,1.085M,1.543M,22.804B,13.95,-34.64%,
34,MRNA,"Moderna, Inc.",,36.87 +1.26 (+3.54%),1.26,+3.54%,6.946M,11.547M,14.225B,-,-68.20%,
35,PPC,Pilgrim's Pride Corporation,,56.57 +1.95 (+3.57%),1.95,+3.57%,505616,1.171M,13.414B,12.38,66.22%,
36,CWEN-A,"Clearway Energy, Inc.",,26.84 +0.92 (+3.57%),0.92,+3.57%,276536,192033,5.646B,35.79,25.10%,
37,MKC,"McCormick & Company, Incorporated",,85.55 +2.93 (+3.55%),2.93,+3.55%,1.858M,1.954M,22.948B,29.30,18.21%,
38,COLM,Columbia Sportswear Company,,86.93 +2.97 (+3.54%),2.97,+3.54%,451219,649450,4.811B,22.76,5.59%,
39,NOG,"Northern Oil and Gas, Inc.",,28.46 +0.97 (+3.53%),0.97,+3.53%,1.25M,1.667M,2.821B,5.54,-25.20%,
40,BF-B,Brown-Forman Corporation,,38.11 +1.18 (+3.20%),1.18,+3.20%,2.45M,3.267M,17.954B,18.23,-33.05%,
41,NOC,Northrop Grumman Corporation,,503.49 +16.98 (+3.49%),16.98,+3.49%,755705,926800,72.884B,17.75,5.94%,
42,CTSH,Cognizant Technology Solutions Corporation,,86.08 +2.85 (+3.42%),2.85,+3.42%,4.772M,3.387M,42.577B,19.09,8.15%,
43,MEDP,"Medpace Holdings, Inc.",,344.02 +11.21 (+3.37%),11.21,+3.37%,275530,289586,10.481B,27.28,-17.49%,
44,CAG,"Conagra Brands, Inc.",,28.11 +0.88 (+3.23%),0.88,+3.23%,4.821M,5.714M,13.417B,27.29,-4.56%,
45,UAA,"Under Armour, Inc.",,7.31 +0.23 (+3.25%),0.23,+3.25%,6.849M,10.564M,3.006B,-,-14.70%,
46,GIS,"General Mills, Inc.",,66.60 +2.10 (+3.26%),2.1,+3.26%,3.802M,4.883M,36.712B,14.48,-1.77%,
47,CPB,The Campbell's Company,,43.15 +1.34 (+3.19%),1.34,+3.19%,1.937M,3.171M,12.865B,24.94,-2.79%,
48,CWEN,"Clearway Energy, Inc.",,28.52 +0.90 (+3.27%),0.9,+3.27%,682678,856917,5.63B,38.03,23.91%,
49,PCAR,PACCAR Inc,,113.71 +3.65 (+3.32%),3.65,+3.32%,2.357M,2.406M,59.675B,14.39,-3.48%,
50,NEE,"NextEra Energy, Inc.",,75.27 +2.44 (+3.35%),2.44,+3.35%,8.524M,10.844M,154.833B,22.34,25.85%,
51,RHP,"Ryman Hospitality Properties, Inc.",,101.87 +3.05 (+3.09%),3.05,+3.09%,1.043M,515036,6.102B,23.26,-14.99%,
52,MUR,Murphy Oil Corporation,,26.17 +0.81 (+3.19%),0.81,+3.19%,1.662M,2.535M,3.817B,9.62,-39.63%,
53,ORA,"Ormat Technologies, Inc.",,72.69 +2.05 (+2.90%),2.05,+2.90%,368834,665472,4.398B,35.63,4.25%,
54,EXEL,"Exelixis, Inc.",,39.73 +1.15 (+2.97%),1.15,+2.97%,1.766M,2.521M,11.119B,22.57,71.77%,
55,AEP,"American Electric Power Company, Inc.",,107.86 +3.24 (+3.10%),3.24,+3.10%,2.105M,3.197M,57.512B,19.33,24.95%,
56,COP,ConocoPhillips,,93.56 +2.93 (+3.23%),2.93,+3.23%,5.431M,7.534M,119.044B,11.98,-21.36%,
57,HOG,"Harley-Davidson, Inc.",,26.89 +0.80 (+3.05%),0.8,+3.05%,2.583M,2.09M,3.348B,7.82,-33.14%,
58,BEPC,Brookfield Renewable Corporation,,28.55 +0.88 (+3.18%),0.88,+3.18%,519345,1.009M,5.159B,21.79,9.63%,
59,DVA,DaVita Inc.,,151.51 +4.49 (+3.05%),4.49,+3.05%,634710,865275,12.12B,14.12,8.25%,
60,BEP,Brookfield Renewable Partners L.P.,,23.13 +0.62 (+2.77%),0.62,+2.77%,476851,759603,14.516B,-,-5.46%,
61,LKQ,LKQ Corporation,,44.68 +1.30 (+3.00%),1.3,+3.00%,1.784M,2.364M,11.579B,16.99,-16.16%,
