,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,56.74 +18.40 (+48.11%),18.4,+48.11%,3.452M,725662,3.483B,13.41,27.32%,
1,VRN,Veren Inc.,,5.64 +0.73 (+14.87%),0.73,+14.87%,44.473M,16.737M,3.471B,17.63,-34.97%,
2,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.56 +2.27 (+8.33%),2.27,+8.33%,3.517M,2.069M,4.518B,268.75,50.44%,
3,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
4,ELF,"e.l.f. Beauty, Inc.",,76.26 +5.58 (+7.90%),5.58,+7.90%,2.776M,2.645M,4.301B,45.67,-63.56%,
5,MWA,"Mueller Water Products, Inc.",,26.98 +1.93 (+7.70%),1.93,+7.70%,2.508M,1.336M,4.225B,31.01,59.35%,
6,BECN,"Beacon Roofing Supply, Inc.",,119.43 +8.33 (+7.49%),8.33,+7.49%,2.678M,821962,7.355B,21.03,30.12%,
7,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.96 +0.94 (+7.22%),0.94,+7.22%,1.924M,1.975M,78.043M,-,-98.87%,
8,ENPH,"Enphase Energy, Inc.",,65.40 +3.77 (+6.12%),3.77,+6.12%,3.642M,4.035M,8.664B,87.20,-52.11%,
9,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
11,NSP,"Insperity, Inc.",,95.14 +4.78 (+5.28%),4.78,+5.28%,346280,439558,3.542B,39.31,-10.39%,
12,REGN,"Regeneron Pharmaceuticals, Inc.",,741.91 +34.40 (+4.86%),34.4,+4.86%,681397,899898,81.109B,19.35,-26.64%,
13,AES,The AES Corporation,,11.82 +0.57 (+5.11%),0.57,+5.11%,9.445M,15.023M,8.408B,4.99,-31.36%,
14,TTC,The Toro Company,,77.04 +3.79 (+5.17%),3.79,+5.17%,847599,1.078M,7.69B,19.70,-17.41%,
15,WSC,WillScot Holdings Corporation,,29.46 +1.39 (+4.95%),1.39,+4.95%,3.906M,2.445M,5.408B,196.40,-39.04%,
16,AAP,"Advance Auto Parts, Inc.",,37.13 +1.76 (+4.98%),1.76,+4.98%,2.33M,2.144M,2.22B,-,-53.32%,
17,CBT,Cabot Corporation,,88.87 +3.99 (+4.70%),3.99,+4.70%,272541,423451,4.819B,11.83,-3.76%,
18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116358,39818,2.107B,-,41.68%,
19,SCI,Service Corporation International,,84.49 +3.63 (+4.49%),3.63,+4.49%,844138,1.141M,12.184B,23.93,7.66%,
20,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
21,HCA,"HCA Healthcare, Inc.",,344.93 +14.78 (+4.48%),14.78,+4.48%,1.252M,1.613M,85.661B,15.69,2.77%,
22,ADM,Archer-Daniels-Midland Company,,51.67 +2.23 (+4.50%),2.23,+4.50%,3.293M,3.641M,24.784B,14.15,-9.96%,
23,EQNR,Equinor ASA,,24.23 +1.06 (+4.57%),1.06,+4.57%,3.427M,3.958M,65.806B,7.79,-10.47%,
24,DFH,"Dream Finders Homes, Inc.",,26.50 +1.12 (+4.43%),1.12,+4.43%,277656,552039,2.476B,7.93,-33.85%,
25,RMD,ResMed Inc.,,242.65 +10.21 (+4.39%),10.21,+4.39%,729843,930212,35.637B,28.68,22.50%,
26,WES,"Western Midstream Partners, LP",,40.68 +1.76 (+4.52%),1.76,+4.52%,910565,1.329M,15.512B,10.12,14.50%,
27,ETSY,"Etsy, Inc.",,48.83 +2.03 (+4.34%),2.03,+4.34%,2.458M,3.736M,5.228B,20.78,-35.82%,
28,SMCAY,SMC Corporation,,19.64 +0.79 (+4.19%),0.79,+4.19%,48020,646891,25.038B,23.11,-35.33%,
29,LNTH,"Lantheus Holdings, Inc.",,110.65 +4.32 (+4.06%),4.32,+4.06%,719851,901577,7.577B,25.38,69.55%,
30,FIZZ,National Beverage Corp.,,42.47 +1.60 (+3.91%),1.6,+3.91%,154132,185420,3.976B,21.34,-15.87%,
31,AWK,"American Water Works Company, Inc.",,150.93 +5.53 (+3.80%),5.53,+3.80%,1.499M,1.32M,29.423B,28.00,20.83%,
