,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,56.63 +18.28 (+47.68%),18.28,+47.68%,3.211M,725662,3.476B,13.39,27.32%,
1,VRN,Veren Inc.,,5.66 +0.75 (+15.17%),0.75,+15.17%,39.342M,16.737M,3.481B,17.67,-34.97%,
2,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.97 +2.67 (+9.80%),2.67,+9.80%,3.134M,2.069M,4.58B,272.41,50.44%,
3,ELF,"e.l.f. Beauty, Inc.",,77.12 +6.44 (+9.11%),6.44,+9.11%,2.606M,2.645M,4.349B,46.18,-63.56%,
4,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.15 +1.13 (+8.72%),1.13,+8.72%,1.884M,1.975M,79.133M,-,-98.87%,
5,MWA,"Mueller Water Products, Inc.",,27.12 +2.07 (+8.26%),2.07,+8.26%,2.255M,1.336M,4.247B,31.17,59.35%,
6,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
7,ENPH,"Enphase Energy, Inc.",,66.56 +4.93 (+8.00%),4.93,+8.00%,3.035M,4.035M,8.817B,88.75,-52.11%,
8,BECN,"Beacon Roofing Supply, Inc.",,119.46 +8.36 (+7.52%),8.36,+7.52%,2.561M,821962,7.356B,21.03,30.12%,
9,AAP,"Advance Auto Parts, Inc.",,37.62 +2.25 (+6.35%),2.25,+6.35%,2.094M,2.144M,2.249B,-,-53.32%,
10,WSC,WillScot Holdings Corporation,,29.71 +1.64 (+5.84%),1.64,+5.84%,3.57M,2.445M,5.454B,198.07,-39.04%,
11,AMKBY,A.P. Møller - Mærsk A/S,,9.62 +0.50 (+5.48%),0.5,+5.48%,89155,201637,29.397B,4.98,31.27%,
12,REGN,"Regeneron Pharmaceuticals, Inc.",,745.70 +38.19 (+5.40%),38.19,+5.40%,602187,899898,81.524B,19.44,-26.64%,
13,HOG,"Harley-Davidson, Inc.",,27.50 +1.41 (+5.39%),1.41,+5.39%,2.354M,2.09M,3.424B,7.99,-33.14%,
14,DFH,"Dream Finders Homes, Inc.",,26.72 +1.35 (+5.32%),1.35,+5.32%,243128,552039,2.497B,8.00,-33.85%,
15,TTC,The Toro Company,,77.06 +3.81 (+5.20%),3.81,+5.20%,779758,1.078M,7.692B,19.71,-17.41%,
16,SCI,Service Corporation International,,84.92 +4.06 (+5.02%),4.06,+5.02%,780485,1.141M,12.246B,24.06,7.66%,
17,BLTE,"Belite Bio, Inc",,66.35 +3.16 (+5.00%),3.16,+5.00%,111309,39818,2.113B,-,41.68%,
18,ETSY,"Etsy, Inc.",,49.14 +2.34 (+5.00%),2.34,+5.00%,2.289M,3.736M,5.262B,20.91,-35.82%,
