,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
19,NSP,"Insperity, Inc.",,94.71 +4.35 (+4.81%),4.35,+4.81%,310656,439558,3.526B,39.14,-10.39%,
20,HCA,"HCA Healthcare, Inc.",,345.27 +15.12 (+4.58%),15.12,+4.58%,1.16M,1.613M,85.746B,15.70,2.77%,
21,RMD,ResMed Inc.,,243.30 +10.86 (+4.67%),10.86,+4.67%,645687,930212,35.733B,28.76,22.50%,
22,CBT,Cabot Corporation,,89.05 +4.17 (+4.91%),4.17,+4.91%,239651,423451,4.828B,11.86,-3.76%,
23,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
24,COTY,Coty Inc.,,6.11 +0.26 (+4.53%),0.26,+4.53%,2.612M,6.507M,5.332B,-,-53.86%,
25,COLM,Columbia Sportswear Company,,87.43 +3.47 (+4.13%),3.47,+4.13%,411344,649450,4.839B,22.89,5.59%,
26,AES,The AES Corporation,,11.74 +0.49 (+4.36%),0.49,+4.36%,8.657M,15.023M,8.348B,4.95,-31.36%,
27,EQNR,Equinor ASA,,24.17 +1.00 (+4.29%),1.0,+4.29%,3.243M,3.958M,65.63B,7.77,-10.47%,
28,MEDP,"Medpace Holdings, Inc.",,347.12 +14.31 (+4.30%),14.31,+4.30%,253861,289586,10.576B,27.53,-17.49%,
29,CTSH,Cognizant Technology Solutions Corporation,,86.90 +3.67 (+4.41%),3.67,+4.41%,4.354M,3.387M,42.982B,19.27,8.15%,
30,MKC,"McCormick & Company, Incorporated",,85.96 +3.33 (+4.04%),3.33,+4.04%,1.691M,1.954M,23.056B,29.44,18.21%,
31,BF-B,Brown-Forman Corporation,,38.34 +1.41 (+3.82%),1.41,+3.82%,2.143M,3.267M,18.062B,18.34,-33.05%,
32,MRNA,"Moderna, Inc.",,37.14 +1.53 (+4.30%),1.53,+4.30%,6.216M,11.547M,14.329B,-,-68.20%,
33,WES,"Western Midstream Partners, LP",,40.51 +1.59 (+4.09%),1.59,+4.09%,815028,1.329M,15.447B,10.08,14.50%,
34,SMCAY,SMC Corporation,,19.60 +0.75 (+3.98%),0.75,+3.98%,32148,646891,24.987B,23.06,-35.33%,
35,TSCO,Tractor Supply Company,,59.10 +2.22 (+3.89%),2.22,+3.89%,2.752M,5.282M,31.417B,28.97,14.29%,
36,UAA,"Under Armour, Inc.",,7.37 +0.29 (+4.08%),0.29,+4.08%,6.345M,10.564M,3.03B,-,-14.70%,
37,CPB,The Campbell's Company,,43.32 +1.51 (+3.61%),1.51,+3.61%,1.711M,3.171M,12.917B,25.04,-2.79%,
38,PAYC,"Paycom Software, Inc.",,220.99 +8.35 (+3.92%),8.35,+3.92%,380261,612920,12.372B,24.75,15.46%,
39,ADM,Archer-Daniels-Midland Company,,51.27 +1.83 (+3.70%),1.83,+3.70%,3.004M,3.641M,24.595B,14.05,-9.96%,
40,RRC,Range Resources Corporation,,36.47 +1.25 (+3.56%),1.25,+3.56%,1.269M,2.734M,8.803B,33.46,7.77%,
41,NOG,"Northern Oil and Gas, Inc.",,28.52 +1.03 (+3.75%),1.03,+3.75%,1.121M,1.667M,2.827B,5.55,-25.20%,
42,IBP,"Installed Building Products, Inc.",,183.66 +6.62 (+3.74%),6.62,+3.74%,108929,359941,5.098B,20.18,-25.18%,
43,FND,"Floor & Decor Holdings, Inc.",,94.53 +3.32 (+3.64%),3.32,+3.64%,862563,1.642M,10.152B,49.75,-24.52%,
44,LNTH,"Lantheus Holdings, Inc.",,110.00 +3.67 (+3.45%),3.67,+3.45%,637187,901577,7.533B,25.23,69.55%,
45,TGTX,"TG Therapeutics, Inc.",,39.85 +1.41 (+3.67%),1.41,+3.67%,2.407M,2.416M,6.259B,265.67,134.82%,
46,PCAR,PACCAR Inc,,114.01 +3.95 (+3.59%),3.95,+3.59%,2.193M,2.406M,59.833B,14.43,-3.48%,
47,NOC,Northrop Grumman Corporation,,504.23 +17.71 (+3.64%),17.71,+3.64%,680615,926800,72.991B,17.78,5.94%,
48,CAG,"Conagra Brands, Inc.",,28.15 +0.92 (+3.36%),0.92,+3.36%,4.343M,5.714M,13.434B,27.33,-4.56%,
49,CWEN-A,"Clearway Energy, Inc.",,26.83 +0.91 (+3.53%),0.91,+3.53%,257266,192033,5.644B,35.78,25.10%,
50,EXEL,"Exelixis, Inc.",,39.93 +1.35 (+3.50%),1.35,+3.50%,1.504M,2.521M,11.176B,22.69,71.77%,
51,AWK,"American Water Works Company, Inc.",,150.52 +5.12 (+3.52%),5.12,+3.52%,1.247M,1.32M,29.343B,27.93,20.83%,
52,FIZZ,National Beverage Corp.,,42.29 +1.42 (+3.47%),1.42,+3.47%,114661,185420,3.959B,21.25,-15.87%,
53,DVA,DaVita Inc.,,151.92 +4.90 (+3.33%),4.9,+3.33%,581972,865275,12.154B,14.16,8.25%,
54,OGN,Organon & Co.,,15.97 +0.53 (+3.43%),0.53,+3.43%,1.52M,3.58M,4.119B,4.80,-15.81%,
55,GIS,"General Mills, Inc.",,66.54 +2.04 (+3.16%),2.04,+3.16%,3.451M,4.883M,36.676B,14.46,-1.77%,
56,LKQ,LKQ Corporation,,44.78 +1.40 (+3.22%),1.4,+3.22%,1.626M,2.364M,11.604B,17.02,-16.16%,
57,TAP,Molson Coors Beverage Company,,63.92 +2.06 (+3.33%),2.06,+3.33%,1.451M,2.011M,12.956B,11.95,-6.20%,
58,INSP,"Inspire Medical Systems, Inc.",,189.13 +5.85 (+3.19%),5.85,+3.19%,312335,561687,5.612B,108.70,-6.89%,
59,AR,Antero Resources Corporation,,34.73 +1.09 (+3.24%),1.09,+3.24%,3.978M,4.637M,10.807B,192.94,27.81%,
60,HSY,The Hershey Company,,190.13 +5.07 (+2.74%),5.07,+2.74%,1.124M,2.099M,38.484B,17.41,-7.01%,
61,JJSF,J&J Snack Foods Corp.,,142.82 +4.44 (+3.21%),4.44,+3.21%,97983,136327,2.784B,32.91,-4.26%,
62,UA,"Under Armour, Inc.",,6.65 +0.21 (+3.26%),0.21,+3.26%,2.396M,3.493M,3.006B,-,-18.79%,
63,CWEN,"Clearway Energy, Inc.",,28.49 +0.87 (+3.15%),0.87,+3.15%,635775,856917,5.624B,37.99,23.91%,
64,ORA,"Ormat Technologies, Inc.",,72.85 +2.21 (+3.13%),2.21,+3.13%,348215,665472,4.407B,35.71,4.25%,
65,MUSA,Murphy USA Inc.,,470.18 +14.73 (+3.23%),14.73,+3.23%,86644,218150,9.411B,19.52,12.27%,
66,MOH,"Molina Healthcare, Inc.",,338.00 +10.67 (+3.26%),10.67,+3.26%,259975,731853,18.759B,16.54,-18.63%,
67,FBIN,"Fortune Brands Innovations, Inc.",,65.71 +1.98 (+3.11%),1.98,+3.11%,713709,1.486M,8.055B,17.52,-21.66%,
68,HALO,"Halozyme Therapeutics, Inc.",,62.83 +1.85 (+3.04%),1.85,+3.04%,830682,1.353M,7.738B,18.32,48.01%,
69,AZTA,"Azenta, Inc.",,45.09 +1.41 (+3.23%),1.41,+3.23%,411495,579362,2.06B,-,-32.94%,
70,KVUE,Kenvue Inc.,,24.12 +0.70 (+3.01%),0.7,+3.01%,5.928M,13.716M,46.109B,44.68,16.23%,
71,BF-A,Brown-Forman Corporation,,37.70 +1.11 (+3.03%),1.11,+3.03%,136190,156068,17.926B,18.04,-34.86%,
72,PPC,Pilgrim's Pride Corporation,,56.43 +1.81 (+3.31%),1.81,+3.31%,443463,1.171M,13.381B,12.35,66.22%,
