symbol,price,price_change,price_percent_change
RDFN,9.81,3.99,68.56
MLYS,17.59,7.07,67.21
CKPT,4.04,1.56,63.36
PTGX,56.0,17.65,46.02
TRVI,5.92,1.63,37.79
LZMH,15.4,3.36,27.91
DWTX,8.34,1.74,26.29
SKBL,10.85,2.18,25.14
PTHL,2.85,0.55,23.91
SUUN,4.4,0.71,19.24
VRN,5.62,0.71,14.46
KPTI,7.81,0.92,13.35
NVCT,7.8,0.87,12.55
PDEX,44.8,4.72,11.78
WLGS,4.24,0.44,11.58
IH,2.32,0.23,11.3
STAA,20.31,1.97,10.74
KLG,22.01,1.96,9.77
BDRX,3.34,0.29,9.5
KTOS,29.86,2.58,9.44
ELF,77.16,6.48,9.17
PLAY,20.94,1.65,8.53
ELVA,2.42,0.18,8.26
MWA,27.08,2.04,8.12
CURR,2.43,0.18,8.12
CRI,43.94,3.21,7.88
MDCX,3.29,0.24,7.85
BECN,119.58,8.47,7.63
TNXP,13.99,0.97,7.47
ENPH,66.15,4.52,7.33
BLMN,9.42,0.63,7.17
DBVT,4.47,0.29,7.05
TTEC,3.78,0.24,6.92
TSVT,2.84,0.18,6.77
PHH,8.21,0.52,6.76
HOFT,13.23,0.83,6.68
ARQ,5.2,0.32,6.56
ARRY,6.54,0.39,6.26
AARD,10.75,0.62,6.12
AMPY,4.02,0.23,6.07
AIRS,3.6,0.2,6.04
ODP,17.61,1.0,6.0
AAP,37.46,2.09,5.91
CBRL,45.27,2.45,5.72
CNR,70.99,3.67,5.45
EVH,9.48,0.49,5.45
CAPS,3.5,0.18,5.42
KOD,3.82,0.2,5.39
HOG,27.48,1.39,5.33
EMBC,13.42,0.67,5.25
WSC,29.54,1.47,5.24
MASS,2.9,0.14,5.08
BLTE,66.35,3.16,5.0
AVXL,9.1,0.43,4.96
RUN,7.52,0.35,4.96
SCI,84.79,3.93,4.86
TTC,76.8,3.55,4.85
ETSY,48.99,2.19,4.68
REGN,740.36,32.85,4.64
NSP,94.5,4.14,4.58
CBT,88.68,3.8,4.48
ACDC,7.36,0.32,4.47
BGS,7.99,0.34,4.44
SHLS,2.94,0.13,4.43
COTY,6.1,0.26,4.36
AES,11.74,0.49,4.36
SBH,9.72,0.41,4.35
HCA,344.42,14.27,4.32
DFH,26.46,1.09,4.3
MKC,86.15,3.53,4.27
YALA,4.18,0.17,4.24
SGHT,2.46,0.1,4.24
RMD,242.2,9.76,4.2
SPRU,2.62,0.1,4.17
EQNR,24.14,0.96,4.16
MED,15.04,0.6,4.16
MEC,14.96,0.59,4.14
OCX,4.06,0.16,4.1
CMTG,3.2,0.13,4.07
COLM,87.35,3.39,4.04
PBT,10.48,0.4,3.97
CTSH,86.53,3.3,3.96
TSCO,59.12,2.23,3.91
ADM,51.37,1.93,3.9
MEDP,345.8,12.99,3.9
ICFI,87.92,3.27,3.86
NX,21.0,0.78,3.86
WES,40.41,1.49,3.83
nan,38.33,1.4,3.79
NOC,504.71,18.19,3.74
NOG,28.5,1.01,3.69
CPB,43.35,1.54,3.68
TRVG,4.11,0.14,3.66
MRNA,36.91,1.3,3.65
LNTH,110.19,3.85,3.62
SNDK,52.82,1.82,3.57
CAG,28.18,0.95,3.51
HIT,7.4,0.25,3.5
RRC,36.45,1.23,3.49
nan,26.82,0.9,3.47
