,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,57.13 +18.78 (+48.97%),18.78,+48.97%,3.467M,725662,3.507B,13.51,27.32%,
1,VRN,Veren Inc.,,5.64 +0.73 (+14.84%),0.73,+14.84%,44.732M,16.737M,3.47B,17.62,-34.97%,
2,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
3,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.53 +2.24 (+8.21%),2.24,+8.21%,3.552M,2.069M,4.513B,268.45,50.44%,
4,ELF,"e.l.f. Beauty, Inc.",,76.39 +5.71 (+8.08%),5.71,+8.08%,2.786M,2.645M,4.308B,45.74,-63.56%,
5,MWA,"Mueller Water Products, Inc.",,27.00 +1.95 (+7.78%),1.95,+7.78%,2.521M,1.336M,4.228B,31.03,59.35%,
6,BECN,"Beacon Roofing Supply, Inc.",,119.40 +8.31 (+7.48%),8.31,+7.48%,2.683M,821962,7.353B,21.02,30.12%,
7,TNXP,Tonix Pharmaceuticals Holding Corp.,,13.96 +0.94 (+7.22%),0.94,+7.22%,1.924M,1.975M,78.043M,-,-98.87%,
8,ENPH,"Enphase Energy, Inc.",,65.49 +3.86 (+6.26%),3.86,+6.26%,3.673M,4.035M,8.676B,87.32,-52.11%,
9,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
10,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
11,NSP,"Insperity, Inc.",,95.12 +4.76 (+5.27%),4.76,+5.27%,347116,439558,3.542B,39.31,-10.39%,
12,TTC,The Toro Company,,77.01 +3.76 (+5.13%),3.76,+5.13%,850713,1.078M,7.687B,19.70,-17.41%,
13,AES,The AES Corporation,,11.82 +0.57 (+5.11%),0.57,+5.11%,9.472M,15.023M,8.408B,4.99,-31.36%,
14,REGN,"Regeneron Pharmaceuticals, Inc.",,744.64 +37.12 (+5.25%),37.12,+5.25%,683421,899898,81.407B,19.42,-26.64%,
15,AAP,"Advance Auto Parts, Inc.",,37.12 +1.75 (+4.95%),1.75,+4.95%,2.34M,2.144M,2.22B,-,-53.32%,
16,WSC,WillScot Holdings Corporation,,29.45 +1.38 (+4.92%),1.38,+4.92%,3.925M,2.445M,5.406B,196.33,-39.04%,
17,CBT,Cabot Corporation,,89.01 +4.14 (+4.87%),4.14,+4.87%,277268,423451,4.827B,11.85,-3.76%,
18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116358,39818,2.107B,-,41.68%,
19,ADM,Archer-Daniels-Midland Company,,51.66 +2.22 (+4.49%),2.22,+4.49%,3.307M,3.641M,24.782B,14.15,-9.96%,
20,EQNR,Equinor ASA,,24.22 +1.05 (+4.53%),1.05,+4.53%,3.436M,3.958M,65.779B,7.79,-10.47%,
21,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
22,SCI,Service Corporation International,,84.50 +3.64 (+4.50%),3.64,+4.50%,845479,1.141M,12.186B,23.94,7.66%,
23,RMD,ResMed Inc.,,242.62 +10.18 (+4.38%),10.18,+4.38%,735106,930212,35.633B,28.68,22.50%,
24,DFH,"Dream Finders Homes, Inc.",,26.56 +1.18 (+4.67%),1.18,+4.67%,279815,552039,2.481B,7.95,-33.85%,
25,HCA,"HCA Healthcare, Inc.",,344.74 +14.60 (+4.42%),14.6,+4.42%,1.259M,1.613M,85.615B,15.68,2.77%,
26,WES,"Western Midstream Partners, LP",,40.56 +1.64 (+4.20%),1.64,+4.20%,925311,1.329M,15.464B,10.09,14.50%,
27,ETSY,"Etsy, Inc.",,48.81 +2.01 (+4.28%),2.01,+4.28%,2.477M,3.736M,5.226B,20.77,-35.82%,
28,SMCAY,SMC Corporation,,19.64 +0.79 (+4.19%),0.79,+4.19%,51920,646891,25.038B,23.11,-35.33%,
29,AWK,"American Water Works Company, Inc.",,151.29 +5.89 (+4.05%),5.89,+4.05%,1.51M,1.32M,29.494B,28.07,20.83%,
30,LNTH,"Lantheus Holdings, Inc.",,110.87 +4.53 (+4.26%),4.53,+4.26%,721304,901577,7.592B,25.43,69.55%,
31,FIZZ,National Beverage Corp.,,42.47 +1.60 (+3.90%),1.6,+3.90%,154996,185420,3.976B,21.34,-15.87%,
32,TSCO,Tractor Supply Company,,58.99 +2.10 (+3.68%),2.1,+3.68%,2.991M,5.282M,31.353B,28.91,14.29%,
33,PPC,Pilgrim's Pride Corporation,,56.63 +2.01 (+3.68%),2.01,+3.68%,507464,1.171M,13.428B,12.39,66.22%,
34,COLM,Columbia Sportswear Company,,87.03 +3.07 (+3.66%),3.07,+3.66%,454207,649450,4.816B,22.78,5.59%,
35,MKC,"McCormick & Company, Incorporated",,85.61 +2.99 (+3.61%),2.99,+3.61%,1.861M,1.954M,22.962B,29.32,18.21%,
36,NOG,"Northern Oil and Gas, Inc.",,28.47 +0.98 (+3.58%),0.98,+3.58%,1.258M,1.667M,2.822B,5.54,-25.20%,
37,BIIB,Biogen Inc.,,155.82 +5.44 (+3.62%),5.44,+3.62%,1.088M,1.543M,22.808B,13.95,-34.64%,
38,CWEN-A,"Clearway Energy, Inc.",,26.86 +0.94 (+3.65%),0.94,+3.65%,277762,192033,5.651B,35.82,25.10%,
39,CTSH,Cognizant Technology Solutions Corporation,,86.19 +2.96 (+3.56%),2.96,+3.56%,4.787M,3.387M,42.633B,19.11,8.15%,
40,NOC,Northrop Grumman Corporation,,503.47 +16.95 (+3.48%),16.95,+3.48%,757170,926800,72.88B,17.75,5.94%,
41,NEE,"NextEra Energy, Inc.",,75.39 +2.56 (+3.51%),2.56,+3.51%,8.572M,10.844M,155.079B,22.37,25.85%,
42,MEDP,"Medpace Holdings, Inc.",,344.40 +11.60 (+3.48%),11.6,+3.48%,277706,289586,10.493B,27.31,-17.49%,
43,CWEN,"Clearway Energy, Inc.",,28.56 +0.94 (+3.40%),0.94,+3.40%,687853,856917,5.637B,38.08,23.91%,
44,GIS,"General Mills, Inc.",,66.66 +2.16 (+3.35%),2.16,+3.35%,3.815M,4.883M,36.745B,14.49,-1.77%,
45,UAA,"Under Armour, Inc.",,7.32 +0.24 (+3.32%),0.24,+3.32%,6.868M,10.564M,3.008B,-,-14.70%,
46,PCAR,PACCAR Inc,,113.75 +3.69 (+3.35%),3.69,+3.35%,2.367M,2.406M,59.694B,14.40,-3.48%,
47,CAG,"Conagra Brands, Inc.",,28.14 +0.91 (+3.34%),0.91,+3.34%,4.837M,5.714M,13.432B,27.32,-4.56%,
48,MUR,Murphy Oil Corporation,,26.15 +0.78 (+3.10%),0.78,+3.10%,1.672M,2.535M,3.813B,9.61,-39.63%,
49,MRNA,"Moderna, Inc.",,36.85 +1.24 (+3.48%),1.24,+3.48%,6.982M,11.547M,14.217B,-,-68.20%,
50,HOG,"Harley-Davidson, Inc.",,26.99 +0.90 (+3.45%),0.9,+3.45%,2.601M,2.09M,3.361B,7.85,-33.14%,
51,BEPC,Brookfield Renewable Corporation,,28.58 +0.91 (+3.27%),0.91,+3.27%,521793,1.009M,5.163B,21.81,9.63%,
52,CPB,The Campbell's Company,,43.11 +1.30 (+3.11%),1.3,+3.11%,1.947M,3.171M,12.855B,24.92,-2.79%,
53,AEP,"American Electric Power Company, Inc.",,108.02 +3.40 (+3.25%),3.4,+3.25%,2.119M,3.197M,57.597B,19.36,24.95%,
54,COP,ConocoPhillips,,93.59 +2.96 (+3.27%),2.96,+3.27%,5.457M,7.534M,119.082B,11.98,-21.36%,
55,BF-B,Brown-Forman Corporation,,38.09 +1.16 (+3.14%),1.16,+3.14%,2.467M,3.267M,17.945B,18.22,-33.05%,
56,RHP,"Ryman Hospitality Properties, Inc.",,101.89 +3.07 (+3.10%),3.07,+3.10%,1.05M,515036,6.103B,23.26,-14.99%,
57,LKQ,LKQ Corporation,,44.70 +1.32 (+3.04%),1.32,+3.04%,1.809M,2.364M,11.584B,17.00,-16.16%,
58,BLDR,"Builders FirstSource, Inc.",,138.68 +4.18 (+3.10%),4.18,+3.10%,919134,1.698M,15.758B,15.29,-30.20%,
59,MGEE,"MGE Energy, Inc.",,92.74 +2.78 (+3.08%),2.78,+3.08%,107542,164260,3.386B,27.85,13.73%,
60,COTY,Coty Inc.,,6.03 +0.18 (+3.16%),0.18,+3.16%,3.347M,6.507M,5.262B,-,-53.86%,
61,EXEL,"Exelixis, Inc.",,39.72 +1.14 (+2.97%),1.14,+2.97%,1.769M,2.521M,11.118B,22.57,71.77%,
62,RRC,Range Resources Corporation,,36.29 +1.07 (+3.04%),1.07,+3.04%,1.417M,2.734M,8.758B,33.29,7.77%,
