,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PTGX,"Protagonist Therapeutics, Inc.",,56.67 +18.32 (+47.76%),18.32,+47.76%,3.324M,725662,3.478B,13.40,27.32%,
1,VRN,Veren Inc.,,5.63 +0.72 (+14.63%),0.72,+14.63%,43.073M,16.737M,3.464B,17.59,-34.97%,
2,KTOS,"Kratos Defense & Security Solutions, Inc.",,29.74 +2.45 (+8.98%),2.45,+8.98%,3.362M,2.069M,4.546B,270.36,50.44%,
3,ELF,"e.l.f. Beauty, Inc.",,76.55 +5.87 (+8.31%),5.87,+8.31%,2.713M,2.645M,4.317B,45.84,-63.56%,
4,DNBBF,DNB Bank ASA,,25.62 +1.99 (+8.42%),1.99,+8.42%,1.045M,51662,37.986B,9.52,25.81%,
5,MWA,"Mueller Water Products, Inc.",,26.96 +1.91 (+7.62%),1.91,+7.62%,2.428M,1.336M,4.222B,30.99,59.35%,
6,ENPH,"Enphase Energy, Inc.",,66.26 +4.63 (+7.51%),4.63,+7.51%,3.393M,4.035M,8.778B,88.35,-52.11%,
7,BECN,"Beacon Roofing Supply, Inc.",,119.33 +8.23 (+7.41%),8.23,+7.41%,2.629M,821962,7.349B,21.01,30.12%,
8,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.04 +1.02 (+7.84%),1.02,+7.84%,1.909M,1.975M,78.494M,-,-98.87%,
9,LSRCY,Lasertec Corporation,,20.02 +1.11 (+5.87%),1.11,+5.87%,20091,116200,9.028B,16.68,-62.68%,
10,AAP,"Advance Auto Parts, Inc.",,37.36 +1.99 (+5.63%),1.99,+5.63%,2.255M,2.144M,2.234B,-,-53.32%,
11,AMKBY,A.P. Møller - Mærsk A/S,,9.63 +0.51 (+5.59%),0.51,+5.59%,89255,201637,29.427B,4.99,31.27%,
12,REGN,"Regeneron Pharmaceuticals, Inc.",,747.20 +39.69 (+5.61%),39.69,+5.61%,649662,899898,81.688B,19.48,-26.64%,
13,TTC,The Toro Company,,76.88 +3.63 (+4.96%),3.63,+4.96%,825978,1.078M,7.674B,19.66,-17.41%,
14,AES,The AES Corporation,,11.85 +0.60 (+5.32%),0.6,+5.32%,9.192M,15.023M,8.425B,5.00,-31.36%,
15,NSP,"Insperity, Inc.",,94.82 +4.46 (+4.94%),4.46,+4.94%,327386,439558,3.53B,39.18,-10.39%,
16,SCI,Service Corporation International,,84.85 +3.98 (+4.93%),3.98,+4.93%,819989,1.141M,12.236B,24.04,7.66%,
17,ADM,Archer-Daniels-Midland Company,,51.84 +2.40 (+4.85%),2.4,+4.85%,3.191M,3.641M,24.868B,14.20,-9.96%,
18,BLTE,"Belite Bio, Inc",,66.16 +2.97 (+4.70%),2.97,+4.70%,116002,39818,2.107B,-,41.68%,
19,CBT,Cabot Corporation,,88.86 +3.99 (+4.69%),3.99,+4.69%,261647,423451,4.818B,11.83,-3.76%,
20,HCA,"HCA Healthcare, Inc.",,345.09 +14.94 (+4.53%),14.94,+4.53%,1.217M,1.613M,85.7B,15.69,2.77%,
21,MRNA,"Moderna, Inc.",,37.34 +1.73 (+4.86%),1.73,+4.86%,6.74M,11.547M,14.406B,-,-68.20%,
22,DRPRY,Dr. Ing. h.c. F. Porsche AG,,6.21 +0.27 (+4.55%),0.27,+4.55%,18953,264724,28.287B,13.21,-32.54%,
23,DFH,"Dream Finders Homes, Inc.",,26.49 +1.12 (+4.41%),1.12,+4.41%,260671,552039,2.475B,7.93,-33.85%,
24,EQNR,Equinor ASA,,24.22 +1.05 (+4.53%),1.05,+4.53%,3.347M,3.958M,65.778B,7.79,-10.47%,
25,WSC,WillScot Holdings Corporation,,29.35 +1.28 (+4.56%),1.28,+4.56%,3.79M,2.445M,5.388B,195.67,-39.04%,
26,ETSY,"Etsy, Inc.",,48.87 +2.07 (+4.41%),2.07,+4.41%,2.399M,3.736M,5.232B,20.79,-35.82%,
