,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
27,HOG,"Harley-Davidson, Inc.",,27.17 +1.08 (+4.14%),1.08,+4.14%,2.505M,2.09M,3.384B,7.90,-33.14%,
28,RMD,ResMed Inc.,,242.65 +10.21 (+4.39%),10.21,+4.39%,698031,930212,35.637B,28.68,22.50%,
29,WES,"Western Midstream Partners, LP",,40.65 +1.73 (+4.45%),1.73,+4.45%,863258,1.329M,15.502B,10.11,14.50%,
30,FIZZ,National Beverage Corp.,,42.60 +1.74 (+4.25%),1.74,+4.25%,151051,185420,3.989B,21.41,-15.87%,
31,MKC,"McCormick & Company, Incorporated",,86.03 +3.40 (+4.12%),3.4,+4.12%,1.818M,1.954M,23.075B,29.46,18.21%,
32,COTY,Coty Inc.,,6.09 +0.24 (+4.10%),0.24,+4.10%,2.833M,6.507M,5.31B,-,-53.86%,
33,BF-B,Brown-Forman Corporation,,38.43 +1.50 (+4.06%),1.5,+4.06%,2.285M,3.267M,18.105B,18.39,-33.05%,
34,SMCAY,SMC Corporation,,19.63 +0.78 (+4.14%),0.78,+4.14%,33911,646891,25.025B,23.09,-35.33%,
35,MEDP,"Medpace Holdings, Inc.",,346.44 +13.63 (+4.10%),13.63,+4.10%,262898,289586,10.555B,27.47,-17.49%,
36,AWK,"American Water Works Company, Inc.",,151.04 +5.64 (+3.88%),5.64,+3.88%,1.433M,1.32M,29.444B,28.02,20.83%,
37,CTSH,Cognizant Technology Solutions Corporation,,86.43 +3.20 (+3.85%),3.2,+3.85%,4.617M,3.387M,42.75B,19.16,8.15%,
38,CWEN-A,"Clearway Energy, Inc.",,26.90 +0.98 (+3.76%),0.98,+3.76%,266149,192033,5.657B,35.86,25.10%,
39,LNTH,"Lantheus Holdings, Inc.",,110.59 +4.25 (+4.00%),4.25,+4.00%,700728,901577,7.573B,25.36,69.55%,
40,NOC,Northrop Grumman Corporation,,504.45 +17.93 (+3.69%),17.93,+3.69%,730608,926800,73.023B,17.79,5.94%,
41,EXEL,"Exelixis, Inc.",,39.89 +1.31 (+3.40%),1.31,+3.40%,1.719M,2.521M,11.164B,22.66,71.77%,
42,TSCO,Tractor Supply Company,,58.90 +2.01 (+3.53%),2.01,+3.53%,2.904M,5.282M,31.308B,28.87,14.29%,
43,UAA,"Under Armour, Inc.",,7.33 +0.25 (+3.57%),0.25,+3.57%,6.703M,10.564M,3.015B,-,-14.70%,
44,GIS,"General Mills, Inc.",,66.79 +2.29 (+3.56%),2.29,+3.56%,3.667M,4.883M,36.819B,14.52,-1.77%,
45,BIIB,Biogen Inc.,,155.91 +5.53 (+3.68%),5.53,+3.68%,1.055M,1.543M,22.821B,13.96,-34.64%,
46,TGTX,"TG Therapeutics, Inc.",,39.69 +1.25 (+3.26%),1.25,+3.26%,2.51M,2.416M,6.234B,264.61,134.82%,
47,COLM,Columbia Sportswear Company,,87.03 +3.07 (+3.66%),3.07,+3.66%,442414,649450,4.816B,22.78,5.59%,
48,PCAR,PACCAR Inc,,113.93 +3.87 (+3.52%),3.87,+3.52%,2.295M,2.406M,59.791B,14.42,-3.48%,
49,NOG,"Northern Oil and Gas, Inc.",,28.47 +0.98 (+3.56%),0.98,+3.56%,1.213M,1.667M,2.822B,5.54,-25.20%,
50,CPB,The Campbell's Company,,43.26 +1.45 (+3.48%),1.45,+3.48%,1.841M,3.171M,12.901B,25.01,-2.79%,
51,PPC,Pilgrim's Pride Corporation,,56.65 +2.03 (+3.72%),2.03,+3.72%,471534,1.171M,13.433B,12.40,66.22%,
52,OGN,Organon & Co.,,15.97 +0.53 (+3.43%),0.53,+3.43%,1.626M,3.58M,4.119B,4.80,-15.81%,
53,CWEN,"Clearway Energy, Inc.",,28.56 +0.94 (+3.40%),0.94,+3.40%,662819,856917,5.637B,38.08,23.91%,
54,CAG,"Conagra Brands, Inc.",,28.13 +0.90 (+3.31%),0.9,+3.31%,4.696M,5.714M,13.427B,27.31,-4.56%,
55,ORA,"Ormat Technologies, Inc.",,72.87 +2.23 (+3.16%),2.23,+3.16%,363561,665472,4.409B,35.72,4.25%,
56,LKQ,LKQ Corporation,,44.78 +1.40 (+3.23%),1.4,+3.23%,1.724M,2.364M,11.605B,17.03,-16.16%,
57,CNH,CNH Industrial N.V.,,13.80 +0.40 (+3.03%),0.4,+3.03%,15.219M,14.192M,17.216B,13.93,10.66%,
58,JJSF,J&J Snack Foods Corp.,,142.82 +4.44 (+3.21%),4.44,+3.21%,99865,136327,2.784B,32.91,-4.26%,
59,DVA,DaVita Inc.,,151.46 +4.44 (+3.02%),4.44,+3.02%,622829,865275,12.117B,14.12,8.25%,
60,NEE,"NextEra Energy, Inc.",,75.15 +2.32 (+3.19%),2.32,+3.19%,8.262M,10.844M,154.586B,22.30,25.85%,
61,BF-A,Brown-Forman Corporation,,37.76 +1.17 (+3.20%),1.17,+3.20%,142512,156068,17.955B,18.07,-34.86%,
62,AEP,"American Electric Power Company, Inc.",,107.83 +3.21 (+3.06%),3.21,+3.06%,2.03M,3.197M,57.494B,19.32,24.95%,
63,LMT,Lockheed Martin Corporation,,488.10 +14.45 (+3.05%),14.45,+3.05%,1.177M,1.536M,114.892B,21.88,8.95%,
64,RHP,"Ryman Hospitality Properties, Inc.",,101.89 +3.07 (+3.11%),3.07,+3.11%,1.006M,515036,6.104B,23.26,-14.99%,
65,RRC,Range Resources Corporation,,36.32 +1.10 (+3.12%),1.1,+3.12%,1.374M,2.734M,8.765B,33.32,7.77%,
66,MUSA,Murphy USA Inc.,,469.52 +14.07 (+3.09%),14.07,+3.09%,95560,218150,9.398B,19.49,12.27%,
67,FND,"Floor & Decor Holdings, Inc.",,93.89 +2.68 (+2.94%),2.68,+2.94%,968103,1.642M,10.083B,49.42,-24.52%,
68,TAP,Molson Coors Beverage Company,,63.78 +1.92 (+3.10%),1.92,+3.10%,1.524M,2.011M,12.927B,11.92,-6.20%,
69,PAYC,"Paycom Software, Inc.",,219.51 +6.86 (+3.23%),6.86,+3.23%,413002,612920,12.29B,24.58,15.46%,
70,HSY,The Hershey Company,,190.51 +5.46 (+2.95%),5.46,+2.95%,1.226M,2.099M,38.562B,17.45,-7.01%,
71,FLO,"Flowers Foods, Inc.",,19.99 +0.59 (+3.04%),0.59,+3.04%,1.149M,1.975M,4.215B,17.09,-16.13%,
72,UA,"Under Armour, Inc.",,6.64 +0.20 (+3.11%),0.2,+3.11%,2.479M,3.493M,3.002B,-,-18.79%,
73,ASO,"Academy Sports and Outdoors, Inc.",,50.68 +1.44 (+2.92%),1.44,+2.92%,1.457M,1.586M,3.517B,8.38,-28.02%,
