,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),5.4M,28.35,14.69,107.54
1,Applied Optoelectronics Inc. (AAOI),12.6M,22.0,6.13,38.63
2,D-Wave Quantum Inc. (QBTS),175.7M,9.48,2.57,37.19
3,Rubrik Inc. Cl A (RBRK),4.1M,68.93,13.65,24.69
4,Biote Corp. (BTMD),511.9K,3.79,0.72,23.45
5,Gorilla Technology Group Inc. (GRRR),5.1M,31.89,5.98,23.07
6,Quantum Computing Inc. (QUBT),30.1M,6.74,1.25,22.86
7,Firefly Neuroscience Inc. (AIFF),864.1K,4.2,0.74,21.39
8,J-Long Group Ltd. (JL),75.1K,4.72,0.8,20.41
9,Westrock Coffee Co. (WEST),387.1K,6.63,1.12,20.33
10,Desktop Metal Inc. (DM),199.3K,2.43,0.39,19.36
11,Jiayin Group Inc. ADR (JFIN),241.9K,11.72,1.89,19.23
12,Rigetti Computing Inc. (RGTI),83.8M,10.4,1.65,18.81
13,DocuSign Inc. (DOCU),7.3M,88.36,13.66,18.29
14,Kingstone Cos. Inc. (KINS),427.3K,16.09,2.42,17.7
15,Sonoma Pharmaceuticals Inc. (SNOA),276.9K,3.62,0.54,17.53
16,Edible Garden AG Inc. (EDBL),67.9K,2.8,0.4,16.67
17,Semtech Corp. (SMTC),4.3M,38.12,5.42,16.55
18,Mingteng International Corp. Inc. (MTEN),564.4K,5.83,0.82,16.37
19,PagerDuty Inc. (PD),1.8M,18.16,2.55,16.34
20,iRobot Corp. (IRBT),5.8M,3.53,0.48,15.6
21,Green Dot Corp. Cl A (GDOT),924.7K,7.6,0.96,14.46
22,Nyxoah S.A. (NYXH),106.5K,11.5,1.45,14.38
23,Cardlytics Inc. (CDLX),1.5M,2.36,0.29,14.01
24,iHuman Inc. ADR (IH),248.5K,2.95,0.36,13.92
25,LexinFintech Holdings Ltd. ADR (LX),4.0M,10.33,1.26,13.89
26,Maxeon Solar Technologies Ltd. (MAXN),123.7K,3.54,0.43,13.83
27,DouYu International Holdings Ltd. ADR (DOYU),450.5K,9.05,1.09,13.69
28,Mobilicom Ltd. ADR (MOB),104.4K,2.37,0.28,13.22
29,Peloton Interactive Inc. (PTON),18.3M,6.86,0.8,13.1
30,SEALSQ Corp. (LAES),17.3M,3.1,0.36,13.09
