,Unnamed: 0,Volume,Last,Chg,% Chg
31,Lightbridge Corp. (LTBR),947.0K,9.2,1.04,12.75
32,Afya Ltd. (AFYA),132.0K,18.26,2.04,12.59
33,Pangaea Logistics Solutions Ltd. (PANL),328.4K,5.44,0.6,12.4
34,Aligos Therapeutics Inc. (ALGS),53.8K,11.54,1.26,12.26
35,Arqit Quantum Inc. (ARQQ),396.2K,14.55,1.58,12.18
36,Soho House & Co. Inc. (SHCO),315.0K,5.82,0.63,12.14
37,Frequency Electronics Inc. (FEIM),143.5K,15.74,1.68,11.95
38,Navitas Semiconductor Corp. (NVTS),2.9M,2.5,0.26,11.61
39,Wolfspeed Inc. (WOLF),12.6M,5.7,0.59,11.53
40,Oklo Inc. (OKLO),8.5M,26.71,2.76,11.53
41,CNS Pharmaceuticals Inc. (CNSP),199.6K,3.02,0.31,11.37
42,Ulta Beauty Inc. (ULTA),1.9M,350.1,35.63,11.33
43,GeneDx Holdings Corp. (WGS),304.2K,99.38,10.06,11.26
44,Inotiv Inc. (NOTV),246.4K,2.92,0.29,11.24
45,Beta Bionics Inc. (BBNX),100.2K,15.62,1.57,11.22
46,Avalon GloboCare Corp. (ALBT),54.7K,5.0,0.5,11.11
47,Sight Sciences Inc. (SGHT),125.3K,2.67,0.27,11.02
48,ServiceTitan Inc. Cl A (TTAN),421.1K,91.36,9.02,10.95
49,IonQ Inc. (IONQ),24.3M,23.69,2.32,10.86
50,SoundHound AI Inc. (SOUN),24.7M,9.87,0.96,10.77
51,NuScale Power Corp. (SMR),3.9M,16.83,1.62,10.65
52,Senti Biosciences Inc. (SNTI),80.3K,3.55,0.34,10.59
53,Red Cat Holdings Inc. (RCAT),2.4M,5.42,0.51,10.26
54,Crown Castle Inc. (CCI),4.6M,103.09,9.56,10.23
55,Applied Digital Corp. (APLD),11.4M,6.92,0.64,10.11
56,Claros Mortgage Trust Inc. (CMTG),935.7K,3.98,0.36,10.11
57,Pony AI Inc. ADR (PONY),1.1M,14.1,1.29,10.11
58,VNET Group Inc. ADR (VNET),6.8M,11.45,1.05,10.1
59,Aurora Innovation Inc. (AUR),7.2M,6.89,0.63,10.07
60,Blaize Holdings Inc. (BZAI),1.1M,3.84,0.35,10.03
61,One Stop Systems Inc. (OSS),99.7K,2.86,0.26,10.0
62,Hallador Energy Co. (HNRG),513.0K,11.03,0.99,9.86
63,Vaalco Energy Inc. (EGY),789.4K,4.16,0.37,9.77
64,Tempus AI Inc. (TEM),7.3M,46.26,4.09,9.71
65,MicroStrategy Inc. (MSTR),11.2M,288.34,25.08,9.53
66,Unusual Machines Inc. (UMAC),468.9K,6.2,0.54,9.46
67,Nabors Industries Ltd. (NBR),149.0K,42.92,3.69,9.4
68,Wellgistics Health Inc. (WGRX),55.6K,2.92,0.25,9.36
69,Children's Place Inc. (PLCE),258.8K,7.74,0.66,9.32
70,PSQ Holdings Inc. Cl A (PSQH),796.4K,2.58,0.22,9.32
71,GEN Restaurant Group Inc. Cl A (GENK),67.8K,6.17,0.52,9.26
72,Rapport Therapeutics Inc. (RAPP),66.2K,10.94,0.93,9.23
73,BitFuFu Inc. (FUFU),154.7K,4.62,0.39,9.22
74,CTRL Group Ltd. (MCTR),62.1K,7.65,0.65,9.21
75,NRX Pharmaceuticals Inc. (NRXP),84.7K,2.26,0.19,9.18
76,Fulcrum Therapeutics Inc. (FULC),345.9K,3.16,0.27,9.14
77,WeRide Inc. ADR (WRD),2.0M,17.75,1.48,9.1
78,Airship AI Holdings Inc. Cl A (AISP),278.7K,3.71,0.31,9.08
79,Palladyne AI Corp. (PDYN),1.1M,7.03,0.58,8.99
80,Sandisk Corp. (SNDK),2.1M,52.78,4.33,8.95
81,Great Lakes Dredge & Dock Corp. (GLDD),246.8K,8.54,0.7,8.93
82,Emerald Holding Inc. (EEX),111.8K,3.98,0.33,8.9
83,Laser Photonics Corp. (LASE),123.4K,3.5,0.28,8.88
84,Heritage Insurance Holdings Inc. (HRTG),164.5K,13.64,1.11,8.86
85,Tonix Pharmaceuticals Holding Corp. (TNXP),574.8K,14.84,1.21,8.83
86,Hertz Global Holdings Inc. (HTZ),2.5M,3.66,0.29,8.75
87,Ginkgo Bioworks Holdings Inc. (DNA),773.7K,7.02,0.56,8.75
88,Zumiez Inc. (ZUMZ),405.0K,13.89,1.11,8.69
89,Rush Street Interactive Inc. (RSI),691.3K,10.52,0.84,8.68
90,POET Technologies Inc. (POET),546.9K,3.84,0.3,8.63
91,Quest Resource Holding Corp. (QRHC),97.1K,2.91,0.23,8.58
92,Nu Holdings Ltd. Cl A (NU),24.5M,11.66,0.91,8.47
93,Altimmune Inc. (ALT),2.0M,5.62,0.42,8.17
94,Junee Ltd. (JUNE),91.5K,5.57,0.42,8.16
95,MARA Holdings Inc. (MARA),26.8M,13.14,0.98,8.06
96,Codexis Inc. (CDXS),537.1K,2.74,0.2,8.1
97,Futu Holdings Ltd. ADR (FUTU),3.4M,116.08,8.56,7.97
98,TG Therapeutics Inc. (TGTX),1.5M,40.0,2.94,7.93
99,Cango Inc. ADR (CANG),439.6K,3.56,0.26,7.88
