symbol,price,price_change,price_percent_change
IONQ,21.83,3.13,16.74
CXM,9.42,1.34,16.58
TLN,199.09,22.53,12.76
DJTWW,12.19,1.28,11.77
VKTX,29.55,3.03,11.43
NBIS,28.4,2.95,11.59
RGTI,8.95,0.9,11.18
VIST,47.26,4.56,10.68
RNA,32.61,3.03,10.24
TGS,26.72,2.45,10.09
GEO,25.95,2.34,9.91
RNMBY,278.9,25.25,9.95
ACHR,7.47,0.66,9.77
CRDO,47.53,4.17,9.62
CLF,9.77,0.75,8.37
RKT,14.23,1.05,8.0
AMTM,18.41,1.37,8.04
VRNA,67.6,4.9,7.81
CXW,20.1,1.37,7.31
SMMT,19.91,1.41,7.62
TSLA,248.09,17.51,7.59
ONTO,134.01,9.44,7.57
MU,95.64,6.59,7.4
PLTR,83.65,5.6,7.17
HOOD,38.92,2.56,7.04
SOUN,9.13,0.59,6.91
VST,121.93,7.57,6.62
FNMA,5.53,0.34,6.55
SMNEY,62.83,3.86,6.55
GLNG,34.04,2.05,6.39
ADMA,18.5,1.15,6.63
RDDT,130.49,7.76,6.32
NVDA,115.74,6.99,6.43
SITM,166.46,10.06,6.43
UPST,49.66,3.01,6.45
PTON,6.1,0.36,6.27
ACLX,72.72,4.36,6.38
VICR,53.31,3.22,6.43
BBAR,18.57,1.14,6.51
YPF,33.89,2.0,6.27
ASAN,13.4,0.76,6.01
GGAL,57.78,3.39,6.23
NVMI,224.75,13.11,6.19
DNLI,15.95,0.91,6.05
PAM,80.59,4.69,6.18
RBRK,57.04,3.22,5.98
CASY,402.07,23.36,6.17
PINS,33.27,1.88,5.99
SOC,24.43,1.38,6.0
INTR,5.46,0.3,5.81
MTSI,106.97,6.04,5.98
IOT,38.04,2.14,5.96
CIVI,34.93,1.93,5.85
BRZE,35.6,2.0,5.95
AXON,557.89,31.25,5.93
SOFI,11.92,0.66,5.86
APP,272.59,14.83,5.75
DUOL,291.02,16.11,5.86
IESC,179.35,9.8,5.78
BTSG,17.76,0.97,5.78
VERX,33.99,1.84,5.72
WGS,92.08,4.91,5.63
SPOT,536.29,27.85,5.48
RUM,8.21,0.42,5.39
GKOS,103.32,5.53,5.66
KYMR,35.1,1.83,5.5
GLBE,38.67,1.94,5.28
MOD,84.37,4.3,5.37
MNSO,20.97,1.05,5.27
ALVO,11.37,0.56,5.18
CRWD,346.76,17.01,5.16
USLM,92.73,4.66,5.29
RARE,40.29,1.96,5.11
GEV,298.56,14.35,5.05
SMTC,33.85,1.65,5.12
TGLS,67.92,3.21,4.96
PCVX,73.24,3.39,4.85
RSI,10.57,0.49,4.86
AVPT,14.29,0.67,4.92
PKX,53.26,2.45,4.82
KGS,37.0,1.7,4.82
AMBA,52.0,2.38,4.8
AKRO,45.85,2.03,4.63
MPW,5.97,0.27,4.74
JOBY,6.32,0.28,4.73
ORCL,150.89,6.71,4.65
RYCEY,10.37,0.45,4.54
RH,241.31,10.74,4.66
INTC,20.68,0.9,4.55
AFRM,48.81,2.04,4.36
NOW,843.72,35.32,4.37
LRCX,76.59,3.23,4.4
CDE,5.71,0.24,4.39
PRYMY,30.58,1.28,4.37
ICLR,183.39,7.61,4.33
NRG,92.44,3.82,4.31
ODD,46.14,1.84,4.15
SLNO,46.7,1.92,4.29
KVYO,34.6,1.35,4.08
AMD,100.79,4.03,4.16
APO-PA,72.99,2.74,3.9
ALAB,68.82,2.77,4.19
AA,33.25,1.29,4.03
CRH,98.39,3.76,3.97
CVNA,179.24,7.02,4.08
DOCS,64.28,2.57,4.16
RHHBY,43.67,1.7,4.05
TSEM,38.37,1.52,4.12
JBSAY,11.34,0.44,4.04
DIOD,47.29,1.81,3.98
MRVL,69.85,2.69,4.01
BMA,84.89,3.27,4.01
FLG,11.69,0.46,4.05
SMCI,42.47,1.63,3.99
MLTX,39.31,1.57,4.16
DTM,93.47,3.57,3.97
SAFRY,68.69,2.68,4.06
TOST,34.77,1.32,3.95
VRN,6.1,0.24,4.1
TECK,40.03,1.51,3.91
RBLX,56.88,2.13,3.9
SHOP,96.54,3.59,3.86
DFS,163.48,5.71,3.62
MMYT,93.01,3.35,3.74
CORZ,8.95,0.32,3.71
CIEN,66.43,2.48,3.88
GXO,38.44,1.45,3.92
MRNA,35.01,1.25,3.7
BEAM,27.42,1.0,3.8
SRRK,35.79,1.29,3.74
PCOR,67.55,2.34,3.59
BIRK,46.4,1.52,3.39
ROOT,140.92,5.03,3.7
CROX,101.88,3.56,3.62
CNTA,17.06,0.59,3.58
ACVA,14.28,0.5,3.63
FIX,336.24,11.66,3.6
TSM,177.21,6.24,3.65
PR,13.33,0.47,3.65
CTRE,27.0,0.93,3.57
BROS,62.31,2.14,3.56
APO,134.99,4.57,3.5
ONON,46.72,1.55,3.42
FRPT,86.77,2.99,3.57
DY,149.13,5.01,3.48
ETN,292.03,9.72,3.44
CLS,89.58,2.99,3.45
HUBS,611.18,20.51,3.47
BURL,243.47,8.04,3.42
MRUS,49.16,1.58,3.32
WCC,163.7,5.5,3.48
BILL,45.88,1.49,3.36
INTA,61.05,2.05,3.47
DELL,94.61,3.04,3.32
AI,21.62,0.7,3.35
ASND,150.31,4.68,3.21
SSRM,10.24,0.33,3.33
TAC,9.65,0.33,3.54
ELAN,10.37,0.33,3.32
SONY,23.69,0.74,3.22
SPGYF,5.95,0.19,3.3
CRNX,35.4,1.14,3.33
PRMB,31.31,0.99,3.27
RKLB,18.43,0.6,3.37
TRGP,186.88,5.69,3.14
NUVL,72.52,2.27,3.23
ET,18.4,0.57,3.2
CEG,215.35,6.77,3.25
HBM,7.28,0.22,3.19
PAAS,25.26,0.78,3.19
NTRA,144.5,4.48,3.2
COMP,8.81,0.27,3.16
CALX,32.46,0.99,3.15
DLR,151.62,4.61,3.14
MAC,16.83,0.51,3.13
BPMC,90.5,2.74,3.12
FICO,1777.83,54.98,3.19
TLK,15.01,0.45,3.1
BA,158.8,4.74,3.08
NOG,28.8,0.85,3.04
LITE,64.02,1.97,3.17
AAP,37.61,1.09,2.97
SYF,53.61,1.62,3.12
COF,170.46,5.06,3.06
CRGY,10.73,0.34,3.27
TECH,60.24,1.76,3.02
