,Unnamed: 0,Volume,Last,Chg,% Chg
87,SpringWorks Therapeutics Inc. (SWTX),4.3M,59.28,4.15,7.53
88,Nano Nuclear Energy Inc. (NNE),5.6M,34.62,2.42,7.52
89,Kaspi.kz JSC ADR (KSPI),379.2K,102.62,7.13,7.47
90,Bullfrog AI Holdings Inc. (BFRG),1.6M,3.24,0.23,7.46
91,Gilead Sciences Inc. (GILD),16.2M,103.31,7.17,7.46
92,Replimune Group Inc. (REPL),930.3K,13.79,0.94,7.32
93,Inseego Corp. (INSG),151.0K,13.62,0.92,7.24
94,Galapagos N.V. ADR (GLPG),616.5K,24.97,1.68,7.21
95,Intel Corp. (INTC),162.6M,22.48,1.51,7.2
96,IRSA-Inversiones y Representaciones S.A. GDR (IRS),261.2K,13.97,0.92,7.05
97,Checkpoint Therapeutics Inc. (CKPT),792.0K,3.35,0.22,7.03
98,Jiayin Group Inc. ADR (JFIN),244.1K,9.93,0.65,7.0
99,Coffee Holding Co. Inc. (JVA),134.5K,5.35,0.35,7.0
